"Codigo";"UF";"Municipio";"Total";"Unipessoa";"TotalNuclear";"CasalSFilhos";"CasalCFilhos";"HomemCFilhos";"MulherCFilhos";"Classe";"TotalFamEstendida";"EstCasalSFilhos";"EstCasalCFilhos";"EstHomemCFilhos";"EstMulherCFilhos";"EstOutros";"TotalComposta";"CompCasalSFilhos";"CompCasalCFilhos";"CompHomemCFilhos";"CompMulherCFilhos";"CompOutros"
3529104;"SP";"Marinópolis";690;12,75;492;25;64,02;1,02;9,96;"Até 5 mil";109;17,43;43,12;0,92;22,94;15,6;1;NA;NA;NA;100;NA
3140209;"MG";"Maripá de Minas";886;11,85;605;24,46;59,5;3,8;12,23;"Até 5 mil";157;14,01;42,04;6,37;29,3;8,28;19;26,32;21,05;5,26;10,53;36,84
3140308;"MG";"Marliéria";1244;12,06;873;26,92;60,14;1,15;11,8;"Até 5 mil";206;15,05;42,72;1,46;24,27;16,5;15;20;20;NA;26,67;33,33
3140407;"MG";"Marmelópolis";905;10,28;689;20,32;67,78;3,19;8,71;"Até 5 mil";121;14,05;42,15;6,61;15,7;21,49;2;NA;NA;NA;50;50
4312054;"RS";"Marques de Souza";1435;14,7;962;39,71;51,66;1,46;7,17;"Até 5 mil";241;16,18;61,41;1,66;10,79;9,96;21;19,05;28,57;NA;4,76;47,62
4115457;"PR";"Marquinho";1434;8,23;1088;21,6;69,85;2,48;6,07;"Até 5 mil";210;13,33;57,62;3,81;12,38;12,86;18;38,89;33,33;11,11;5,56;11,11
4115507;"PR";"Marumbi";1509;11,66;1097;25,71;61,8;0,91;11,58;"Até 5 mil";222;17,12;46,4;2,25;14,41;19,82;14;35,71;50;NA;14,29;NA
5212907;"GO";"Marzagão";709;17,35;464;29,09;56,47;1,94;12,5;"Até 5 mil";116;25,86;35,34;6,9;16,38;15,52;6;16,67;33,33;NA;16,67;33,33
1712702;"TO";"Mateiros";556;14,57;334;13,77;71,26;4,19;10,78;"Até 5 mil";122;9,84;49,18;2,46;19,67;18,85;19;5,26;57,89;NA;5,26;31,58
3140605;"MG";"Materlândia";1280;14,69;750;15,33;62,27;2,67;19,73;"Até 5 mil";298;7,05;46,64;1,34;25,17;19,8;44;9,09;31,82;2,27;18,18;38,64
3171501;"MG";"Mathias Lobato";990;13,03;630;18,41;60,95;2,22;18,41;"Até 5 mil";212;16,98;38,68;1,89;26,42;16,04;19;21,05;26,32;NA;26,32;26,32
2509339;"PB";"Matinhas";1136;8,01;796;16,08;69,47;2,76;11,68;"Até 5 mil";231;14,72;47,19;2,16;21,65;14,29;18;16,67;50;5,56;5,56;22,22
4312138;"RS";"Mato Castelhano";804;9,7;623;30,34;61,32;1,93;6,42;"Até 5 mil";99;14,14;36,36;3,03;17,17;29,29;4;25;50;NA;NA;25
2509370;"PB";"Mato Grosso";719;4,59;527;17,84;71,16;1,9;9,11;"Até 5 mil";157;14,01;52,87;6,37;19,75;7,01;2;NA;100;NA;NA;NA
4312153;"RS";"Mato Leitão";1324;13,07;966;29,5;59,52;2,07;8,9;"Até 5 mil";175;16;53,71;4,57;16,57;9,14;10;10;20;NA;10;60
4312179;"RS";"Mato Queimado";620;10,32;469;37,53;54,8;2,56;5,12;"Até 5 mil";84;16,67;46,43;2,38;22,62;11,9;3;66,67;33,33;NA;NA;NA
4115739;"PR";"Mato Rico";1168;13,61;829;19,3;66,34;4,34;10,01;"Até 5 mil";156;16,03;50,64;6,41;12,18;14,74;24;4,17;50;4,17;8,33;33,33
4210704;"SC";"Matos Costa";833;10,68;585;22,74;67,18;1,88;8,21;"Até 5 mil";135;14,07;47,41;4,44;18,52;15,56;24;12,5;33,33;4,17;16,67;33,33
5212956;"GO";"Matrinchã";1490;15,5;1008;28,17;59,82;1,59;10,42;"Até 5 mil";238;24,79;35,71;1,68;18,91;18,91;13;15,38;46,15;NA;15,38;23,08
3141207;"MG";"Matutina";1393;18,31;988;29,76;53,44;2,13;14,68;"Até 5 mil";137;19,71;28,47;3,65;16,79;31,39;13;30,77;15,38;7,69;7,69;38,46
1712801;"TO";"Maurilândia do Tocantins";850;11,41;534;17,42;69,66;4,12;8,8;"Até 5 mil";203;21,67;44,33;1,97;18,72;13,3;16;31,25;43,75;NA;12,5;12,5
4312203;"RS";"Maximiliano de Almeida";1620;12,96;1152;29,77;59,64;1,82;8,77;"Até 5 mil";245;10,2;52,65;5,71;20;11,43;13;7,69;7,69;NA;15,38;69,23
3141306;"MG";"Medeiros";1121;12,58;859;25,61;65,08;1,98;7,33;"Até 5 mil";103;11,65;48,54;3,88;18,45;17,48;18;5,56;33,33;5,56;22,22;33,33
3529500;"SP";"Mendonça";1555;11,32;1132;29,68;58,66;1,77;9,89;"Até 5 mil";225;21,78;48;4;12,89;13,33;22;18,18;22,73;NA;13,64;45,45
3529609;"SP";"Meridiano";1262;10,7;916;27,18;57,53;2,18;13,1;"Até 5 mil";201;12,44;52,74;3,98;15,42;15,42;10;20;50;NA;20;10
3529658;"SP";"Mesópolis";648;16,51;435;28,51;58,39;1,38;11,72;"Até 5 mil";97;21,65;42,27;4,12;17,53;14,43;9;33,33;22,22;NA;NA;44,44
2407609;"RN";"Messias Targino";1176;9,69;748;16,31;68,45;1,6;13,64;"Até 5 mil";260;11,92;51,15;1,54;25,38;10;54;18,52;40,74;NA;16,67;24,07
2206308;"PI";"Miguel Leão";329;8,51;226;23,89;68,58;0,88;6,64;"Até 5 mil";64;12,5;51,56;NA;21,88;14,06;11;36,36;36,36;NA;9,09;18,18
5213053;"GO";"Mimoso de Goiás";867;15,46;584;25,51;57,36;2,91;14,21;"Até 5 mil";121;19,01;44,63;4,96;14,88;16,53;28;25;28,57;NA;14,29;32,14
3141900;"MG";"Minduri";1128;12,15;770;14,68;64,16;2,86;18,31;"Até 5 mil";196;7,14;39,29;4,08;31,63;17,86;25;8;52;8;8;24
3530003;"SP";"Mira Estrela";1035;18,07;693;34,05;53,82;0,87;11,26;"Até 5 mil";143;27,27;34,97;0,7;13,29;23,78;12;25;41,67;NA;NA;33,33
4115903;"PR";"Mirador";751;14,38;485;23,51;61,65;3,09;11,75;"Até 5 mil";150;15,33;45,33;6,67;21,33;11,33;8;NA;37,5;NA;25;37,5
4312302;"RS";"Miraguaí";1626;12,61;1171;29,97;59,01;2,48;8,54;"Até 5 mil";227;22,03;50,66;4,85;8,81;13,66;23;21,74;26,09;4,35;8,7;39,13
4116000;"PR";"Miraselva";602;10,96;413;29,06;58,6;1,94;10,41;"Até 5 mil";110;17,27;49,09;3,64;16,36;13,64;13;30,77;38,46;7,69;7,69;15,38
3530409;"SP";"Mirassolândia";1413;11,25;1024;29,49;58,11;2,73;9,67;"Até 5 mil";220;16,36;45;5;17,73;15,91;10;20;30;NA;20;30
3142254;"MG";"Miravânia";1177;12,49;774;19,25;68,99;2,58;9,17;"Até 5 mil";232;11,64;52,16;6,9;16,81;12,5;24;25;20,83;12,5;8,33;33,33
4210852;"SC";"Mirim Doce";791;9,73;570;32,46;58,95;1,4;7,19;"Até 5 mil";129;19,38;49,61;4,65;17,05;9,3;15;6,67;60;NA;13,33;20
4210902;"SC";"Modelo";1273;8,64;939;25,45;63,15;1,81;9,58;"Até 5 mil";202;17,33;57,92;1,98;13,37;9,41;22;22,73;22,73;NA;NA;54,55
3142304;"MG";"Moeda";1479;16,36;963;20,25;62,72;2,91;14,12;"Até 5 mil";247;8,5;44,94;5,26;19,84;21,46;27;14,81;33,33;11,11;3,7;37,04
5213400;"GO";"Moiporá";636;18,71;436;33,94;57,11;1,38;7,57;"Até 5 mil";75;26,67;32;2,67;22,67;16;6;33,33;33,33;NA;NA;33,33
3530904;"SP";"Mombuca";941;9,99;637;18,84;65,15;2,98;13,03;"Até 5 mil";161;9,32;57,76;5,59;13,66;13,66;49;2,04;6,12;36,73;18,37;36,73
3531001;"SP";"Monções";748;11,63;535;31,4;57,01;1,68;9,91;"Até 5 mil";104;22,12;39,42;3,85;14,42;20,19;22;NA;9,09;NA;9,09;81,82
3142502;"MG";"Monjolos";685;15,18;416;15,38;65,63;3,61;15,38;"Até 5 mil";126;5,56;45,24;6,35;23,02;19,84;39;12,82;33,33;NA;28,21;25,64
2509503;"PB";"Montadas";1445;8,51;1030;20,39;64,56;1,75;13,3;"Até 5 mil";269;17,1;49,07;3,35;18,59;11,9;23;13,04;30,43;NA;13,04;43,48
4312351;"RS";"Montauri";468;7,26;311;30,23;59,16;2,57;8,04;"Até 5 mil";115;6,96;73,91;3,48;7,83;7,83;8;12,5;50;NA;12,5;25
4312377;"RS";"Monte Alegre dos Campos";988;14,98;668;26,05;64,22;2,1;7,63;"Até 5 mil";150;22,67;45,33;6;14;12;22;27,27;45,45;NA;9,09;18,18
4312385;"RS";"Monte Belo do Sul";826;7,87;548;25,36;64,78;0,73;9,12;"Até 5 mil";187;14,97;56,68;3,74;14,44;10,16;26;11,54;30,77;11,54;11,54;34,62
3531605;"SP";"Monte Castelo";1391;14,81;943;28,1;57,69;1,59;12,62;"Até 5 mil";233;18,88;38,63;6,01;23,61;12,88;9;22,22;33,33;NA;NA;44,44
2407906;"RN";"Monte das Gameleiras";654;9,48;504;20,63;70,44;2,18;6,75;"Até 5 mil";81;11,11;54,32;1,23;14,81;18,52;7;28,57;57,14;NA;NA;14,29
3143153;"MG";"Monte Formoso";1223;10,3;858;15,73;69,46;2,68;12,12;"Até 5 mil";208;16,83;46,63;1,44;15,87;19,23;31;25,81;22,58;12,9;6,45;32,26
2509602;"PB";"Monte Horebe";1307;11,4;921;19,65;65,04;1,74;13,57;"Até 5 mil";215;16,74;38,14;2,33;21,86;20,93;22;18,18;45,45;NA;4,55;31,82
1713700;"TO";"Monte Santo do Tocantins";686;14,87;469;28,14;58,64;3,41;9,81;"Até 5 mil";93;31,18;35,48;6,45;11,83;15,05;22;4,55;54,55;NA;9,09;31,82
3531704;"SP";"Monteiro Lobato";1335;16,33;925;25,73;58,7;3,57;12;"Até 5 mil";177;11,3;46,89;2,26;22,6;16,95;15;13,33;33,33;NA;13,33;40
5213772;"GO";"Montividiu do Norte";1238;14,14;838;26,25;63,01;1,91;8,83;"Até 5 mil";202;27,72;39,11;2,48;17,82;12,87;23;34,78;13,04;4,35;4,35;43,48
4312427;"RS";"Mormaço";879;9,78;637;28,57;62,95;2,51;5,97;"Até 5 mil";136;22,06;47,06;1,47;19,85;9,56;20;10;35;NA;15;40
4312443;"RS";"Morrinhos do Sul";1156;14,45;915;30,6;58,58;1,53;9,29;"Até 5 mil";74;12,16;55,41;1,35;17,57;13,51;NA;NA;NA;NA;NA;NA
5213855;"GO";"Morro Agudo de Goiás";827;13,54;609;30,54;57,47;2,3;9,69;"Até 5 mil";100;28;32;3;14;23;6;33,33;33,33;NA;16,67;16,67
2206654;"PI";"Morro Cabeça no Tempo";982;5,6;709;16,08;74,05;0,85;9,03;"Até 5 mil";210;15,71;59,05;0,95;15,24;9,05;8;NA;75;12,5;NA;12,5
3143609;"MG";"Morro da Garça";808;15,22;535;18,13;65,05;2,24;14,58;"Até 5 mil";133;8,27;34,59;8,27;25,56;23,31;17;11,76;23,53;5,88;23,53;35,29
3143708;"MG";"Morro do Pilar";1069;18,62;645;20;59,84;3,26;16,9;"Até 5 mil";192;6,25;41,67;4,69;25;22,4;33;21,21;21,21;3,03;18,18;36,36
4211256;"SC";"Morro Grande";890;6,07;716;19,97;71,79;2,23;6,01;"Até 5 mil";109;11,93;66,06;0,92;7,34;13,76;11;27,27;27,27;9,09;18,18;18,18
3532058;"SP";"Motuca";1357;12,68;946;21,25;64,69;2,64;11,42;"Até 5 mil";231;14,29;48,48;2,16;21,65;13,42;8;NA;37,5;NA;NA;62,5
4312609;"RS";"Muçum";1682;13,73;1127;33,54;52,44;1,6;12,42;"Até 5 mil";304;21,38;49,01;0,66;17,43;11,51;20;NA;15;NA;15;70
4312617;"RS";"Muitos Capões";986;13,59;676;26,04;63,76;2,81;7,4;"Até 5 mil";148;20,27;44,59;3,38;14,19;17,57;28;25;25;14,29;3,57;32,14
4312625;"RS";"Muliterno";544;10,48;385;23,38;67,79;1,56;7,27;"Até 5 mil";95;13,68;62,11;3,16;10,53;10,53;7;28,57;NA;NA;14,29;57,14
4116307;"PR";"Munhoz de Melo";1199;12,26;863;24,57;59,44;2,32;13,67;"Até 5 mil";176;21,59;45,45;2,27;15,34;15,34;13;15,38;7,69;23,08;NA;53,85
1713957;"TO";"Muricilândia";875;15,09;538;23,23;64,87;2,23;9,67;"Até 5 mil";182;19,78;46,7;2,2;17,58;13,74;23;17,39;34,78;8,7;13,04;26,09
3532108;"SP";"Murutinga do Sul";1439;15,71;986;29,31;57,71;1,93;11,05;"Até 5 mil";215;21,4;39,53;2,79;19,53;16,74;12;41,67;16,67;16,67;NA;25
