"Codigo";"UF";"Municipio";"Total";"Unipessoa";"TotalNuclear";"CasalSFilhos";"CasalCFilhos";"HomemCFilhos";"MulherCFilhos";"Classe";"TotalFamEstendida";"EstCasalSFilhos";"EstCasalCFilhos";"EstHomemCFilhos";"EstMulherCFilhos";"EstOutros";"TotalComposta";"CompCasalSFilhos";"CompCasalCFilhos";"CompHomemCFilhos";"CompMulherCFilhos";"CompOutros"
4200051;"SC";"Abdon Batista";846;7,57;673;35,96;60,03;0,59;3,42;"Até 5 mil";102;12,75;61,76;8,82;10,78;5,88;7;28,57;14,29;NA;42,86;14,29
1700251;"TO";"Abreulândia";760;16,05;501;26,55;61,08;2,59;9,78;"Até 5 mil";112;24,11;37,5;4,46;12,5;21,43;25;28;28;4;12;28
3100401;"MG";"Acaiaca";1261;16,26;821;18,88;58,47;4,02;18,64;"Até 5 mil";210;17,14;29,05;1,9;32,38;19,52;25;16;28;4;24;28
4300034;"RS";"Aceguá";1397;14,82;930;26,24;61,08;3,33;9,35;"Até 5 mil";189;14,81;56,08;4,23;12,17;12,7;71;11,27;26,76;2,82;8,45;50,7
5200159;"GO";"Adelândia";844;12,68;596;34,06;56,04;2,01;7,89;"Até 5 mil";136;24,26;38,24;4,41;14,71;18,38;5;NA;20;NA;40;40
3500204;"SP";"Adolfo";1200;12,58;845;29,94;57,04;2,01;11,01;"Até 5 mil";200;18,5;45,5;3,5;16,5;16;4;25;NA;NA;NA;75
4200309;"SC";"Agronômica";1510;7,68;1172;24,57;66,98;1,71;6,74;"Até 5 mil";200;15;59;2;12,5;11,5;22;13,64;59,09;NA;4,55;22,73
3100708;"MG";"Água Comprida";709;19,61;457;27,57;58,42;2,84;11,16;"Até 5 mil";102;24,51;31,37;3,92;17,65;22,55;11;9,09;9,09;NA;NA;81,82
5200209;"GO";"Água Limpa";734;18,26;481;36,38;52,18;1,87;9,56;"Até 5 mil";104;22,12;38,46;4,81;16,35;18,27;15;13,33;26,67;6,67;13,33;40
2400406;"RN";"Água Nova";792;6,31;580;14,66;70;1,9;13,45;"Até 5 mil";150;9,33;45,33;4;30,67;10,67;12;8,33;50;8,33;8,33;25
4300059;"RS";"Água Santa";1165;9,27;876;27,05;66,1;1,26;5,59;"Até 5 mil";165;10,91;61,21;4,24;12,12;11,52;16;NA;31,25;NA;12,5;56,25
3100807;"MG";"Aguanil";1353;14,41;955;26,28;61,47;2,41;9,84;"Até 5 mil";188;16,49;42,55;7,98;19,68;13,3;15;NA;40;NA;20;40
3500600;"SP";"Águas de São Pedro";990;19,39;624;35,42;46,47;2,4;15,71;"Até 5 mil";146;12,33;42,47;3,42;25,34;16,44;28;14,29;10,71;3,57;21,43;50
4200556;"SC";"Águas Frias";724;6,63;532;24,25;68,98;1,88;4,89;"Até 5 mil";132;12,88;70,45;1,52;9,09;6,06;12;NA;41,67;NA;NA;58,33
2900603;"BA";"Aiquara";1359;17,14;752;19,81;62,5;3,19;14,49;"Até 5 mil";347;13,83;40,06;4,32;25,07;16,71;27;33,33;3,7;14,81;11,11;37,04
3101300;"MG";"Alagoa";866;15,59;580;23,62;64,14;2,59;9,66;"Até 5 mil";141;7,8;44,68;7,09;15,6;24,82;10;20;50;NA;10;20
3500758;"SP";"Alambari";1525;12,92;1102;24,14;63,79;1,91;10,16;"Até 5 mil";215;14,88;53,49;2,79;17,21;11,63;11;27,27;18,18;9,09;27,27;18,18
3101409;"MG";"Albertina";898;9,69;659;22,15;67,07;1,67;9,1;"Até 5 mil";146;6,85;46,58;2,74;28,77;15,07;6;16,67;50;NA;16,67;16,67
5000252;"MS";"Alcinópolis";1587;19,72;1017;25,27;59,49;3,15;12,09;"Até 5 mil";205;22,44;48,78;2,44;12,68;13,66;52;11,54;28,85;5,77;11,54;42,31
4300455;"RS";"Alegria";1491;12,21;1073;34,67;56,38;1,77;7,18;"Até 5 mil";211;25,12;44,55;3,32;15,64;11,37;25;16;24;NA;12;48
3500808;"SP";"Alfredo Marcondes";1348;13,28;994;30,48;55,13;2,52;11,87;"Até 5 mil";165;16,36;40;4,24;17,58;21,82;10;10;40;NA;20;30
2500577;"PB";"Algodão de Jandaíra";673;9,51;485;20,82;66,19;1,24;11,75;"Até 5 mil";119;10,08;45,38;2,52;30,25;11,76;5;NA;40;NA;20;40
2400604;"RN";"Almino Afonso";1436;9,82;1005;17,11;66,97;2,69;13,23;"Até 5 mil";255;12,55;47,45;2,35;26,27;11,37;35;11,43;45,71;5,71;14,29;22,86
4300471;"RS";"Almirante Tamandaré do Sul";728;12,09;540;34,07;58,52;1,11;6,3;"Até 5 mil";92;19,57;56,52;2,17;8,7;13,04;8;NA;25;NA;12,5;62,5
5200506;"GO";"Aloândia";800;22,63;527;35,48;51,04;3,23;10,25;"Até 5 mil";81;25,93;30,86;1,23;19,75;22,22;11;27,27;9,09;NA;9,09;54,55
3500907;"SP";"Altair";1183;14,2;770;21,04;67,27;2,34;9,35;"Até 5 mil";214;16,36;49,53;1,87;20,09;12,15;31;6,45;22,58;NA;3,23;67,74
4100459;"PR";"Altamira do Paraná";1380;12,1;989;25,58;63,5;2,12;8,8;"Até 5 mil";208;19,71;40,87;2,4;19,23;17,79;16;12,5;31,25;NA;6,25;50
3501103;"SP";"Alto Alegre";1375;11,27;988;29,15;58,6;1,82;10,43;"Até 5 mil";214;20,09;44,39;6,07;12,15;17,29;18;16,67;27,78;5,56;11,11;38,89
4300554;"RS";"Alto Alegre";623;12,2;453;26,49;64,9;1,32;7,28;"Até 5 mil";88;15,91;47,73;4,55;15,91;15,91;6;NA;33,33;16,67;NA;50
4200754;"SC";"Alto Bela Vista";678;12,39;483;37,89;55,07;1,04;6;"Até 5 mil";103;9,71;55,34;6,8;17,48;10,68;8;12,5;62,5;12,5;NA;12,5
4300570;"RS";"Alto Feliz";999;13,51;706;29,6;59,07;1,27;10,06;"Até 5 mil";147;16,33;54,42;0,68;10,88;17,69;11;36,36;63,64;NA;NA;NA
5200555;"GO";"Alto Horizonte";1453;13,97;1003;25,92;61,91;2,39;9,77;"Até 5 mil";223;17,94;48,43;2,24;17,04;14,35;24;16,67;25;NA;12,5;45,83
4128625;"PR";"Alto Paraíso";1071;14,38;748;28,07;58,02;2,27;11,63;"Até 5 mil";163;23,31;41,72;2,45;19,63;12,88;6;NA;16,67;NA;33,33;50
3102209;"MG";"Alvarenga";1402;12,41;980;24,59;62,04;2,96;10,41;"Até 5 mil";222;19,82;45,05;3,15;17,57;14,41;26;3,85;57,69;3,85;11,54;23,08
3501202;"SP";"Álvares Florence";1428;15,2;1041;35,35;53,03;1,92;9,7;"Até 5 mil";161;22,98;45,34;2,48;11,18;18,01;9;55,56;NA;NA;22,22;22,22
3501400;"SP";"Álvaro de Carvalho";1012;13,44;672;22,77;56,85;2,68;17,71;"Até 5 mil";193;9,33;47,15;4,66;27,98;10,88;11;9,09;27,27;NA;18,18;45,45
3501509;"SP";"Alvinlândia";910;11,98;615;20,49;61,95;3,25;14,31;"Até 5 mil";177;14,12;40,68;3,39;29,94;11,86;9;11,11;55,56;11,11;11,11;11,11
3102407;"MG";"Alvorada de Minas";966;17,49;580;14,31;67,76;1,9;16,03;"Até 5 mil";176;9,09;42,61;5,68;26,7;15,91;41;21,95;19,51;NA;17,07;41,46
5200829;"GO";"Amaralina";1091;13,47;745;31,95;59,06;2,15;6,85;"Até 5 mil";185;17,84;45,95;5,41;16,22;14,59;14;14,29;28,57;7,14;NA;50
5200902;"GO";"Amorinópolis";1286;18,04;866;31,52;55,31;1,62;11,55;"Até 5 mil";168;30,95;29,17;2,38;17,86;19,64;20;25;15;15;20;25
2500734;"PB";"Amparo";636;11,16;458;19,43;66,59;2,4;11,57;"Até 5 mil";103;16,5;40,78;1,94;17,48;23,3;4;NA;50;NA;50;NA
2800100;"SE";"Amparo de São Francisco";682;13,78;472;20,76;65,04;1,27;12,92;"Até 5 mil";111;8,11;35,14;4,5;28,83;23,42;5;NA;40;NA;NA;60
4101051;"PR";"Anahy";938;9,7;696;30,17;58,33;2,59;8,91;"Até 5 mil";146;18,49;44,52;2,05;21,23;13,7;5;20;60;NA;NA;20
3502002;"SP";"Analândia";1374;13,03;959;27,11;60,69;3,02;9,18;"Até 5 mil";214;15,42;48,13;2,34;21,03;13,08;22;9,09;31,82;NA;27,27;31,82
4300661;"RS";"André da Rocha";425;12,71;313;35,46;57,19;1,92;5,43;"Até 5 mil";53;13,21;52,83;3,77;9,43;20,75;5;NA;NA;NA;NA;100
1701051;"TO";"Angico";842;7,84;563;16,16;69,45;4,09;10,3;"Até 5 mil";188;13,3;50,53;2,66;22,34;11,17;25;28;40;4;12;16
4101150;"PR";"Ângulo";924;11,26;685;24,38;63,21;2,34;10,07;"Até 5 mil";123;12,2;52,85;3,25;19,51;12,2;12;8,33;16,67;NA;16,67;58,33
5201207;"GO";"Anhanguera";350;18;223;25,11;54,71;4,93;15,25;"Até 5 mil";63;19,05;39,68;3,17;19,05;19,05;1;100;NA;NA;NA;NA
3502408;"SP";"Anhumas";1154;11,7;811;20,84;64,73;1,73;12,7;"Até 5 mil";194;13,92;46,39;4,12;23,71;11,86;14;21,43;42,86;7,14;21,43;7,14
4201109;"SC";"Anitápolis";1075;14,42;771;24,38;62,91;3,37;9,34;"Até 5 mil";144;18,06;54,86;1,39;16,67;9,03;5;20;60;20;NA;NA
2200806;"PI";"Antônio Almeida";867;10,84;557;18,85;66,25;2,15;12,75;"Até 5 mil";177;15,82;45,2;6,21;19,77;12,99;39;17,95;58,97;2,56;5,13;15,38
3103108;"MG";"Antônio Prado de Minas";556;13,49;391;27,37;60,87;2,81;8,95;"Até 5 mil";81;19,75;49,38;2,47;12,35;16,05;9;NA;33,33;NA;33,33;33,33
5201454;"GO";"Aparecida do Rio Doce";818;14,43;560;30,18;58,21;1,43;10,18;"Até 5 mil";122;19,67;44,26;0,82;22,13;13,11;18;11,11;33,33;NA;5,56;50
1701101;"TO";"Aparecida do Rio Negro";1250;13,92;811;20,96;64,86;3,33;10,85;"Até 5 mil";239;16,74;44,77;2,09;17,15;19,25;26;15,38;26,92;NA;11,54;46,15
3502606;"SP";"Aparecida d'Oeste";1553;14,17;1093;32,94;55,44;1,28;10,34;"Até 5 mil";234;27,35;36,32;3,85;17,95;14,53;6;16,67;16,67;NA;NA;66,67
5201504;"GO";"Aporé";1262;14,34;843;33,21;55,87;2,61;8,3;"Até 5 mil";194;25,26;48,97;4,12;13,4;8,25;44;11,36;27,27;2,27;6,82;52,27
4201273;"SC";"Arabutã";1339;8,07;996;31,63;59,24;1,71;7,43;"Até 5 mil";220;23,18;59,09;2,27;8,18;7,27;15;26,67;53,33;6,67;13,33;NA
3103207;"MG";"Araçaí";719;16,83;473;20,3;57,93;3,17;18,6;"Até 5 mil";102;11,76;42,16;0,98;23,53;21,57;23;17,39;52,17;NA;13,04;17,39
3103306;"MG";"Aracitaba";700;15;492;26,02;56,5;3,05;14,43;"Até 5 mil";101;11,88;34,65;2,97;18,81;31,68;2;NA;NA;NA;NA;100
5201603;"GO";"Araçu";1299;13,47;898;29,4;54,45;1,67;14,48;"Até 5 mil";214;21,03;35,51;4,21;20,56;18,69;12;8,33;25;8,33;8,33;50
5101001;"MT";"Araguaiana";1087;14,17;741;31,31;54,66;3,51;10,53;"Até 5 mil";180;20;43,33;6,11;15,56;15;12;8,33;33,33;16,67;NA;41,67
5101209;"MT";"Araguainha";387;21,96;238;27,73;58,4;2,1;11,76;"Até 5 mil";58;25,86;43,1;1,72;17,24;12,07;6;50;16,67;NA;NA;33,33
4300851;"RS";"Arambaré";1331;18,48;881;33,83;53,58;2,38;10,22;"Até 5 mil";182;24,18;36,26;2,2;16,48;20,88;22;9,09;4,55;4,55;9,09;72,73
3103603;"MG";"Arantina";932;14,48;635;20,63;60,31;3,15;15,91;"Até 5 mil";153;14,38;37,25;7,19;23,53;17,65;9;11,11;44,44;11,11;NA;33,33
3503158;"SP";"Arapeí";796;15,83;504;22,22;55,36;4,17;18,25;"Até 5 mil";150;12,67;40,67;4;22;20,67;16;18,75;50;NA;12,5;18,75
3103801;"MG";"Arapuá";985;16,24;724;26,38;60,91;1,8;10,91;"Até 5 mil";96;16,67;31,25;2,08;20,83;29,17;5;20;20;NA;NA;60
4101655;"PR";"Arapuã";1156;10,03;898;27,28;60,91;1,78;10,02;"Até 5 mil";129;18,6;49,61;3,88;13,95;13,95;13;15,38;30,77;7,69;7,69;38,46
4300877;"RS";"Araricá";1688;12,97;1264;26,5;61,23;2,22;10,05;"Até 5 mil";183;22,4;42,62;3,28;18,58;13,11;22;13,64;18,18;4,55;13,64;50
3503356;"SP";"Arco-Íris";643;11,2;474;28,27;60,34;1,9;9,49;"Até 5 mil";92;19,57;42,39;4,35;17,39;16,3;5;20;20;NA;20;40
2501153;"PB";"Areia de Baraúnas";488;6,97;332;13,25;78,01;1,2;7,53;"Até 5 mil";110;12,73;55,45;6,36;13,64;11,82;12;16,67;58,33;NA;8,33;16,67
3503505;"SP";"Areias";1082;13,4;738;18,43;63,28;2,57;15,72;"Até 5 mil";190;10;47,89;3,16;25,26;13,68;9;NA;22,22;22,22;22,22;33,33
5202353;"GO";"Arenópolis";1200;19,5;781;35,08;52,88;1,92;10,12;"Até 5 mil";165;29,7;35,76;0,61;18,18;15,76;20;30;55;NA;5;10
3104403;"MG";"Argirita";937;14,09;599;27,21;56,59;3,01;13,19;"Até 5 mil";175;10,29;34,29;4,57;27,43;23,43;31;6,45;29,03;3,23;9,68;51,61
3104452;"MG";"Aricanduva";1299;12,01;880;16,25;71,25;1,59;10,91;"Até 5 mil";197;8,63;50,76;3,05;20,3;17,26;66;13,64;42,42;NA;12,12;31,82
4101853;"PR";"Ariranha do Ivaí";803;10,83;605;26,94;58,84;3,14;11,07;"Até 5 mil";109;15,6;48,62;5,5;16,51;13,76;2;NA;50;NA;NA;50
2200954;"PI";"Aroeiras do Itaim";669;8,67;462;18,4;69,05;2,6;9,96;"Até 5 mil";140;10,71;50,71;2,86;18,57;17,14;9;22,22;66,67;NA;NA;11,11
2201002;"PI";"Arraial";1250;9,52;811;16,52;65,6;2,1;15,78;"Até 5 mil";309;13,92;40,13;2,59;25,24;18,12;11;9,09;54,55;NA;27,27;9,09
4301073;"RS";"Arroio do Padre";708;4,52;441;26,08;66,21;0,45;7,26;"Até 5 mil";221;9,05;68,78;2,71;11,31;8,14;14;7,14;71,43;7,14;NA;14,29
4201604;"SC";"Arroio Trinta";1142;7,88;878;29,5;62,07;1,14;7,29;"Até 5 mil";163;15,34;55,21;1,23;16,56;11,66;11;18,18;18,18;9,09;36,36;18,18
4201653;"SC";"Arvoredo";629;5,09;461;19,09;74,84;1,08;4,99;"Até 5 mil";124;7,26;74,19;2,42;10,48;5,65;12;8,33;41,67;NA;16,67;33,33
3503950;"SP";"Aspásia";605;11,74;452;28,54;62,17;1,99;7,3;"Até 5 mil";77;24,68;46,75;2,6;14,29;11,69;5;20;NA;NA;40;40
2501351;"PB";"Assunção";1042;12,38;740;17,84;66,62;1,89;13,65;"Até 5 mil";166;12,05;41,57;2,41;25,3;18,67;7;NA;42,86;NA;14,29;42,86
4102208;"PR";"Atalaia";1299;10,62;961;28,3;60,35;1,87;9,47;"Até 5 mil";194;20,62;43,81;1,55;20,62;13,4;6;16,67;16,67;NA;33,33;33,33
4201802;"SC";"Atalanta";1067;11,34;802;27,06;62,22;1,75;8,98;"Até 5 mil";133;13,53;57,14;1,5;17,29;10,53;11;NA;45,45;NA;27,27;27,27
3104809;"MG";"Augusto de Lima";1494;14,99;980;20,31;62,86;2,65;14,18;"Até 5 mil";255;9,8;38,82;6,27;28,63;16,47;35;17,14;42,86;2,86;14,29;22,86
4301552;"RS";"Áurea";1218;11,99;882;29,02;59,64;1,02;10,32;"Até 5 mil";176;11,93;56,82;5,11;10,8;15,34;14;NA;42,86;NA;7,14;50
5202601;"GO";"Aurilândia";1362;19,75;866;34,87;49,42;3,12;12,59;"Até 5 mil";205;23,9;30,73;3,41;14,63;27,32;22;27,27;13,64;9,09;22,73;27,27
1702703;"TO";"Aurora do Tocantins";1105;15,02;708;24,15;60,31;3,11;12,43;"Até 5 mil";219;22,37;33,33;4,57;20,55;19,18;12;8,33;50;NA;8,33;33,33
3504305;"SP";"Avaí";1562;13,76;1065;23,19;60,47;1,88;14,46;"Até 5 mil";268;16,04;45,15;3,36;20,15;15,3;14;7,14;35,71;NA;14,29;42,86
5202809;"GO";"Avelinópolis";853;17,12;567;30,51;55,38;2,29;11,82;"Até 5 mil";122;17,21;38,52;3,28;18,85;22,13;18;5,56;33,33;NA;5,56;55,56
3504701;"SP";"Balbinos";471;15,07;326;28,83;56,13;1,23;13,8;"Até 5 mil";68;13,24;36,76;4,41;29,41;16,18;6;16,67;50;NA;16,67;16,67
5203104;"GO";"Baliza";1269;20,65;759;32,41;57,18;3,16;7,25;"Até 5 mil";216;25,93;42,13;3,24;13,43;15,28;32;18,75;25;NA;3,13;53,13
3105202;"MG";"Bandeira";1517;11,67;971;25,33;62,51;1,65;10,5;"Até 5 mil";319;15,05;48,59;3,13;20,38;12,85;50;22;44;2;10;22
4202081;"SC";"Bandeirante";899;9,23;636;28,77;62,26;2,04;6,92;"Até 5 mil";174;13,79;65,52;2,3;10,92;7,47;6;33,33;NA;33,33;NA;33,33
1703057;"TO";"Bandeirantes do Tocantins";915;11,58;612;24,67;63,89;2,78;8,66;"Até 5 mil";143;19,58;46,15;2,1;18,18;13,99;54;7,41;38,89;1,85;11,11;40,74
1501253;"PA";"Bannach";984;12,2;628;25,64;64,17;2,55;7,64;"Até 5 mil";176;24,43;51,14;2,27;14,2;7,95;60;25;33,33;NA;11,67;30
3505005;"SP";"Barão de Antonina";1025;16,2;689;27,72;57,76;2,32;12,19;"Até 5 mil";156;15,38;43,59;2,56;22,44;16,03;14;14,29;28,57;7,14;28,57;21,43
2501534;"PB";"Baraúna";1300;12,69;861;19,51;62,25;2,21;16,03;"Até 5 mil";262;14,89;41,98;1,53;24,43;17,18;12;16,67;16,67;NA;33,33;33,33
2401503;"RN";"Barcelona";1137;10,82;776;20,36;66,62;1,8;11,21;"Até 5 mil";219;16,89;43,38;1,83;21,46;16,44;19;10,53;42,11;NA;21,05;26,32
4202099;"SC";"Barra Bonita";577;7,63;403;33;60,05;1,99;4,96;"Até 5 mil";120;15,83;59,17;2,5;12,5;10;10;20;70;NA;10;NA
2201176;"PI";"Barra D'Alcântara";1177;12,66;809;20,4;64,03;1,48;14,09;"Até 5 mil";211;15,17;30,81;2,84;30,81;20,38;8;37,5;12,5;NA;25;25
4301859;"RS";"Barra do Guarita";1003;12,06;696;27,44;59,34;1,87;11,35;"Até 5 mil";179;18,99;53,07;2,79;15,64;9,5;7;14,29;42,86;NA;14,29;28,57
4102703;"PR";"Barra do Jacaré";868;11,06;638;23,82;64,58;2,35;9,25;"Até 5 mil";126;15,87;48,41;3,97;15,08;16,67;8;25;12,5;12,5;12,5;37,5
1703073;"TO";"Barra do Ouro";1014;9,47;638;14,58;69,59;3,92;11,91;"Até 5 mil";252;11,9;49,6;5,16;22,62;10,71;28;14,29;35,71;10,71;7,14;32,14
4301875;"RS";"Barra do Quaraí";1212;15,02;790;20;67,47;1,77;10,76;"Até 5 mil";202;13,37;47,52;5,45;22,77;10,89;38;10,53;26,32;NA;13,16;50
4301925;"RS";"Barra do Rio Azul";620;6,77;448;31,25;62,5;1,79;4,46;"Até 5 mil";122;12,3;71,31;4,1;5,74;6,56;8;25;25;NA;25;25
4301958;"RS";"Barra Funda";718;7,66;511;21,53;68,1;0,98;9,39;"Até 5 mil";137;11,68;52,55;5,84;17,52;12,41;15;6,67;46,67;NA;NA;46,67
2201309;"PI";"Barreiras do Piauí";796;10,68;467;11,78;69,38;2,14;16,7;"Até 5 mil";209;5,74;49,28;5,74;24,88;14,35;35;31,43;25,71;NA;20;22,86
4102752;"PR";"Bela Vista da Caroba";1245;10,68;931;28,14;63,16;1,72;6,98;"Até 5 mil";172;19,77;54,07;4,65;10,47;11,05;9;NA;77,78;11,11;NA;11,11
2201556;"PI";"Bela Vista do Piauí";936;5,56;644;15,84;78,11;1,09;4,97;"Até 5 mil";223;10,76;64,13;2,69;13,45;8,97;17;11,76;64,71;NA;17,65;5,88
2700805;"AL";"Belém";1303;9,82;908;19,38;65,42;2,64;12,56;"Até 5 mil";243;13,17;37,04;2,47;25,1;22,22;24;12,5;37,5;NA;16,67;33,33
2201572;"PI";"Belém do Piauí";933;11,9;596;18,96;65,6;1,34;14,09;"Até 5 mil";224;10,27;51,34;3,57;20,98;13,84;2;NA;50;NA;50;NA
3106101;"MG";"Belmiro Braga";1085;17,7;669;22,87;63,38;3,14;10,61;"Até 5 mil";195;13,85;39,49;5,13;21,54;20;29;13,79;31,03;6,9;6,9;41,38
4202156;"SC";"Belmonte";791;8,6;569;24,78;63,62;2,81;8,79;"Até 5 mil";147;13,61;60,54;5,44;12,93;7,48;7;28,57;42,86;14,29;14,29;NA
4302055;"RS";"Benjamin Constant do Sul";621;6,76;434;24,88;63,59;1,61;9,91;"Até 5 mil";137;8,03;64,96;3,65;14,6;8,76;8;NA;37,5;NA;25;37,5
3506201;"SP";"Bento de Abreu";862;13,34;604;20,03;65,89;2,32;11,75;"Até 5 mil";136;9,56;56,62;5,15;16,91;11,76;7;NA;28,57;14,29;14,29;42,86
3106655;"MG";"Berizal";1250;11,52;860;17,09;71,28;1,16;10,47;"Até 5 mil";227;13,22;46,7;3,96;25,99;10,13;19;5,26;63,16;10,53;15,79;5,26
2502052;"PB";"Bernardino Batista";799;7,13;592;16,89;71,96;2,03;9,12;"Até 5 mil";142;12,68;47,18;3,52;22,54;14,08;8;12,5;75;NA;NA;12,5
1703206;"TO";"Bernardo Sayão";1344;12,65;923;21,89;65,55;2,38;10,18;"Até 5 mil";234;22,65;45,73;3,42;16,67;11,54;17;17,65;29,41;5,88;5,88;41,18
3106606;"MG";"Bertópolis";1272;13,29;794;19,4;68,39;1,51;10,71;"Até 5 mil";253;16,21;46,64;4,35;20,95;11,86;56;21,43;35,71;3,57;7,14;32,14
3106804;"MG";"Bias Fortes";1207;15,74;747;24,63;61,18;2,81;11,38;"Até 5 mil";253;12,65;39,53;1,58;21,34;24,9;17;11,76;5,88;5,88;17,65;58,82
3107000;"MG";"Biquinhas";977;19,96;657;30,44;52,21;3,81;13,55;"Até 5 mil";111;24,32;31,53;4,5;18,02;21,62;14;21,43;14,29;7,14;14,29;42,86
4103008;"PR";"Boa Esperança";1519;11,78;1106;28,21;59,13;2,17;10,49;"Até 5 mil";212;14,62;39,62;3,77;23,11;18,87;22;NA;27,27;4,55;9,09;59,09
4103024;"PR";"Boa Esperança do Iguaçu";836;7,42;643;22,86;70,3;1,09;5,75;"Até 5 mil";121;19,01;54,55;3,31;12,4;10,74;10;20;50;NA;NA;30
4302154;"RS";"Boa Vista das Missões";703;10,81;545;26,97;62,57;0,92;9,54;"Até 5 mil";76;21,05;52,63;1,32;14,47;10,53;6;16,67;33,33;NA;16,67;33,33
4302220;"RS";"Boa Vista do Cadeado";810;10,37;615;31,06;62,28;1,63;5,04;"Até 5 mil";103;5,83;58,25;2,91;9,71;23,3;8;NA;50;NA;NA;50
4302238;"RS";"Boa Vista do Incra";777;11,07;564;25,18;66,84;1,42;6,56;"Até 5 mil";115;16,52;52,17;3,48;14,78;13,04;12;25;33,33;16,67;NA;25
4302253;"RS";"Boa Vista do Sul";915;10,82;635;29,13;60,94;1,73;8,19;"Até 5 mil";170;9,41;61,76;6,47;14,12;8,24;11;NA;36,36;NA;18,18;45,45
2201804;"PI";"Bocaina";1383;12,65;987;22,9;60,89;2,74;13,48;"Até 5 mil";216;12,96;47,69;2,78;18,52;18,06;5;20;40;NA;NA;40
4202438;"SC";"Bocaina do Sul";1042;11,23;728;28,3;61,13;1,79;8,79;"Até 5 mil";183;14,21;49,73;4,37;18,03;13,66;14;21,43;35,71;7,14;7,14;28,57
2401651;"RN";"Bodó";695;8,92;512;18,75;69,34;0,98;10,94;"Até 5 mil";109;14,68;44,04;5,5;19,27;16,51;12;8,33;50;8,33;8,33;25
4202503;"SC";"Bom Jardim da Serra";1317;9,26;911;24,81;63,01;2,74;9,44;"Até 5 mil";251;15,54;49;3,59;18,33;13,55;33;15,15;30,3;3,03;18,18;33,33
2502201;"PB";"Bom Jesus";699;8,87;504;20,63;63,89;3,37;12,1;"Até 5 mil";117;19,66;41,03;2,56;17,09;19,66;16;25;37,5;6,25;12,5;18,75
4202537;"SC";"Bom Jesus";766;9,01;564;22,52;65,96;2,3;9,22;"Até 5 mil";118;11,02;60,17;3,39;11,86;13,56;15;13,33;26,67;NA;6,67;53,33
3107604;"MG";"Bom Jesus da Penha";1328;15,36;987;24,11;64,84;1,72;9,32;"Até 5 mil";128;15,63;41,41;4,69;13,28;25;9;11,11;44,44;11,11;11,11;22,22
4202578;"SC";"Bom Jesus do Oeste";671;8,64;511;31,12;62,43;1,17;5,28;"Até 5 mil";99;14,14;68,69;3,03;8,08;6,06;3;66,67;33,33;NA;NA;NA
4103156;"PR";"Bom Jesus do Sul";1191;10,58;872;27,52;63,3;2,18;7;"Até 5 mil";180;22,78;52,78;2,22;12,22;10;13;15,38;46,15;7,69;15,38;15,38
1703305;"TO";"Bom Jesus do Tocantins";1050;11,81;650;20,77;64;3,23;12;"Até 5 mil";238;14,29;50;2,52;15,97;17,23;38;5,26;36,84;NA;18,42;39,47
4302378;"RS";"Bom Progresso";782;14,19;533;28,52;60,41;1,88;9,19;"Até 5 mil";132;15,91;40,91;3,79;20,45;18,94;6;33,33;33,33;NA;NA;33,33
3507159;"SP";"Bom Sucesso de Itararé";991;10,39;701;16,98;73,18;1,57;8,27;"Até 5 mil";174;10,92;59,2;2,87;17,24;9,77;13;7,69;30,77;7,69;23,08;30,77
4103222;"PR";"Bom Sucesso do Sul";1026;9,65;739;26,93;64,95;1,49;6,63;"Até 5 mil";171;13,45;54,97;3,51;19,88;8,19;17;17,65;23,53;NA;11,76;47,06
5203575;"GO";"Bonópolis";1022;15,85;661;26,48;60,97;2,12;10,44;"Até 5 mil";175;23,43;37,14;2,86;16;20,57;24;12,5;33,33;NA;8,33;45,83
3507209;"SP";"Borá";239;8,79;160;23,75;64,38;3,75;8,13;"Até 5 mil";51;1,96;52,94;NA;33,33;11,76;7;NA;57,14;14,29;28,57;NA
3507308;"SP";"Boracéia";1256;8,76;903;18,83;68,22;2,33;10,63;"Até 5 mil";228;14,47;53,51;3,51;17,98;10,53;15;6,67;26,67;NA;20;46,67
3507456;"SP";"Borebi";701;11,98;470;22,55;61,49;1,91;14,04;"Até 5 mil";137;12,41;39,42;2,19;33,58;12,41;10;NA;30;10;10;50
4202701;"SC";"Botuverá";1467;9,07;1152;28,21;63,63;1,3;6,86;"Até 5 mil";166;11,45;63,25;1,2;10,84;13,25;16;25;25;6,25;12,5;31,25
4302584;"RS";"Bozano";702;10,54;488;30,12;61,89;1,23;6,76;"Até 5 mil";131;14,5;58,78;4,58;12,21;9,92;9;22,22;22,22;NA;NA;55,56
4202859;"SC";"Braço do Trombudo";1119;9,65;812;32,64;56,9;1,48;8,99;"Até 5 mil";166;13,86;58,43;2,41;16,27;9,04;33;12,12;9,09;33,33;9,09;36,36
4302600;"RS";"Braga";1211;12,8;863;28,04;60,49;1,74;9,73;"Até 5 mil";186;18,28;47,31;2,69;15,59;16,13;7;14,29;14,29;NA;NA;71,43
3108701;"MG";"Brás Pires";1459;14,87;995;23,32;60,4;3,42;12,86;"Até 5 mil";238;10,08;42,02;4,2;24,37;19,33;9;22,22;22,22;NA;44,44;11,11
