"Codigo";"UF";"Municipio";"Adequado_2000";"Adequado_2010";"Semi_2000";"Semi_2010";"Inadequado_2000";"Inadequado_2010";"Classe"
3502606;"SP";"Aparecida d'Oeste";68,88;81,26;8,79;4,64;22,33;14,1;"Até 5 mil"
5201504;"GO";"Aporé";0,49;16,64;61,64;62,28;37,88;21,08;"Até 5 mil"
4201273;"SC";"Arabutã";11,26;29,95;29,32;61,31;59,42;8,74;"Até 5 mil"
3103207;"MG";"Araçaí";0,87;49,93;80,03;28,79;19,1;21,28;"Até 5 mil"
3103306;"MG";"Aracitaba";52,07;65,14;25,37;19,14;22,55;15,71;"Até 5 mil"
5201603;"GO";"Araçu";5,7;6,39;78,73;84,6;15,57;9,01;"Até 5 mil"
5101001;"MT";"Araguaiana";1,21;2,3;59,72;67,34;39,07;30,36;"Até 5 mil"
5101209;"MT";"Araguainha";NA;8,01;81,98;79,59;18,02;12,4;"Até 5 mil"
4300851;"RS";"Arambaré";57,52;58,83;25,27;34,64;17,21;6,54;"Até 5 mil"
3103603;"MG";"Arantina";72,12;79,94;18,94;14,48;8,94;5,58;"Até 5 mil"
3503158;"SP";"Arapeí";48,26;47,99;25,45;44,6;26,29;7,41;"Até 5 mil"
3103801;"MG";"Arapuá";60,43;71,57;2,15;4,47;37,43;23,96;"Até 5 mil"
4101655;"PR";"Arapuã";1,87;4,07;46,98;63,41;51,16;32,53;"Até 5 mil"
4300877;"RS";"Araricá";2,07;1,01;96,52;98,16;1,41;0,83;"Até 5 mil"
3503356;"SP";"Arco-Íris";48,43;57,85;4,46;15,71;47,11;26,44;"Até 5 mil"
2501153;"PB";"Areia de Baraúnas";6,57;36,89;48,74;18,85;44,7;44,26;"Até 5 mil"
3503505;"SP";"Areias";47,5;63,31;27,41;20,24;25,08;16,45;"Até 5 mil"
5202353;"GO";"Arenópolis";8,22;7,83;57,62;81,67;34,16;10,5;"Até 5 mil"
3104403;"MG";"Argirita";59,63;67,45;13,65;13,87;26,72;18,68;"Até 5 mil"
3104452;"MG";"Aricanduva";9,23;28,56;18,13;20,94;72,64;50,5;"Até 5 mil"
4101853;"PR";"Ariranha do Ivaí";0,13;2,86;37,18;50,31;62,68;46,82;"Até 5 mil"
2200954;"PI";"Aroeiras do Itaim";NA;0,15;NA;67,71;NA;32,14;"Até 5 mil"
2201002;"PI";"Arraial";0,25;9,68;39,75;60,48;60;29,84;"Até 5 mil"
4301073;"RS";"Arroio do Padre";NA;3,25;NA;75,28;NA;21,47;"Até 5 mil"
4201604;"SC";"Arroio Trinta";33,64;63,66;31,01;28,55;35,35;7,79;"Até 5 mil"
4201653;"SC";"Arvoredo";4,69;18,28;28,7;39,11;66,61;42,61;"Até 5 mil"
3503950;"SP";"Aspásia";62,11;70,41;4,92;9,92;32,97;19,67;"Até 5 mil"
2501351;"PB";"Assunção";30,2;NA;44,94;81,96;24,86;18,04;"Até 5 mil"
4102208;"PR";"Atalaia";1,49;1,08;81,44;91,92;17,08;7,01;"Até 5 mil"
4201802;"SC";"Atalanta";28,06;36,93;13,61;51,64;58,32;11,43;"Até 5 mil"
3104809;"MG";"Augusto de Lima";0,78;15,39;56,3;53,08;42,91;31,53;"Até 5 mil"
4301552;"RS";"Áurea";6,28;19,79;33,52;67,08;60,2;13,14;"Até 5 mil"
5202601;"GO";"Aurilândia";0,6;1,62;77,39;84,51;22;13,88;"Até 5 mil"
1702703;"TO";"Aurora do Tocantins";2,57;1,81;61,61;71,04;35,82;27,15;"Até 5 mil"
3504305;"SP";"Avaí";61,81;65,88;10,47;22,41;27,72;11,72;"Até 5 mil"
5202809;"GO";"Avelinópolis";47,61;21,34;22,21;67,64;30,19;11,02;"Até 5 mil"
3504701;"SP";"Balbinos";79,3;85,99;2,74;7,64;17,96;6,37;"Até 5 mil"
5203104;"GO";"Baliza";0,14;6,38;42,67;34,44;57,18;59,18;"Até 5 mil"
3105202;"MG";"Bandeira";27,88;45,02;21,17;13,91;50,96;41,07;"Até 5 mil"
4202081;"SC";"Bandeirante";NA;6,01;17,65;52,06;82,35;41,94;"Até 5 mil"
1703057;"TO";"Bandeirantes do Tocantins";11,41;1,53;64,79;65,36;23,79;33,11;"Até 5 mil"
1501253;"PA";"Bannach";NA;0,71;14,1;44,72;85,9;54,57;"Até 5 mil"
3505005;"SP";"Barão de Antonina";52,14;54,44;21,49;38,83;26,37;6,73;"Até 5 mil"
2501534;"PB";"Baraúna";0,12;0,08;60,41;76,85;39,47;23,08;"Até 5 mil"
2401503;"RN";"Barcelona";0,32;22,25;46,66;58,4;53,02;19,35;"Até 5 mil"
4202099;"SC";"Barra Bonita";9,57;4,51;35,46;67,76;54,97;27,73;"Até 5 mil"
2201176;"PI";"Barra D'Alcântara";13,69;0,76;38;92,01;48,31;7,22;"Até 5 mil"
4301859;"RS";"Barra do Guarita";0,6;3,39;52,47;75,77;46,93;20,84;"Até 5 mil"
4102703;"PR";"Barra do Jacaré";16,1;15,21;58,36;67,86;25,53;16,94;"Até 5 mil"
