"Codigo";"UF";"Municipio";"Total_2000";"Total_2010";"15-24_2000";"15-24_2010";"25-59_2000";"25-59_2010";"60+_2000";"60+_2010";"Classe"
4200051;"SC";"Abdon Batista";10,85;9,73;2,74;1,88;9,59;8,15;33,06;23,94;"Até 5 mil"
1700251;"TO";"Abreulândia";20,75;13,38;7,01;3,41;21,66;11,75;56,96;36,09;"Até 5 mil"
3100401;"MG";"Acaiaca";18,97;13,94;5,22;2,45;17,55;9,61;46,25;39,39;"Até 5 mil"
4300034;"RS";"Aceguá";NA;6,4;NA;0,89;NA;4,96;NA;17,68;"Até 5 mil"
5200159;"GO";"Adelândia";20,75;14,65;4,88;3,34;18,63;9,34;61,86;47,21;"Até 5 mil"
3500204;"SP";"Adolfo";13,14;8,13;1,8;0,9;8,94;4,16;47,09;27,61;"Até 5 mil"
4200309;"SC";"Agronômica";6,92;5,49;2,18;0,58;5,55;4,07;21,97;18,74;"Até 5 mil"
3100708;"MG";"Água Comprida";9,84;7,87;3,2;1,71;8,36;6,29;27,65;20;"Até 5 mil"
5200209;"GO";"Água Limpa";14,69;10,13;6,4;1,22;11,13;7,22;44,86;27,61;"Até 5 mil"
2400406;"RN";"Água Nova";42,15;22,66;21,85;2,75;45,91;22,74;74,25;58,7;"Até 5 mil"
4300059;"RS";"Água Santa";8,34;5,39;1,4;1,43;5,04;3,65;33,65;16,47;"Até 5 mil"
3100807;"MG";"Aguanil";17,96;13,15;3,92;1,8;14,13;10,04;49,89;34,48;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";2,94;1,45;0,62;0,57;2,06;1,52;6,74;1,78;"Até 5 mil"
4200556;"SC";"Águas Frias";9,43;9,09;2,94;1,22;7,84;6,88;28,19;26,67;"Até 5 mil"
2900603;"BA";"Aiquara";32,64;23,76;12,82;3,58;34,89;22,62;65,59;55,66;"Até 5 mil"
3101300;"MG";"Alagoa";17,16;14,44;3,36;2,24;14,46;12,21;43,49;33,5;"Até 5 mil"
3500758;"SP";"Alambari";11,13;6,57;1,59;0,95;9,73;4,34;37,75;23,64;"Até 5 mil"
3101409;"MG";"Albertina";16,14;11,94;1,91;1,26;13,93;8,63;48,87;37,11;"Até 5 mil"
5000252;"MS";"Alcinópolis";14,37;11,04;3,89;1,3;15,84;10,16;37,04;37,8;"Até 5 mil"
4300455;"RS";"Alegria";12,25;10,13;2,1;2;9,96;6;33,33;24,69;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";11,2;10,13;2,63;1,33;7,32;4,76;32,97;29,24;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";48,54;32,68;26,02;4,54;54,94;34,5;74,14;69,35;"Até 5 mil"
2400604;"RN";"Almino Afonso";32,89;25,05;15,04;6,36;34,3;25,05;60,07;51,89;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";NA;4,27;NA;1,36;NA;2,85;NA;10,8;"Até 5 mil"
5200506;"GO";"Aloândia";18,86;14,93;1,66;3,16;13,83;9,55;55,26;38,1;"Até 5 mil"
3500907;"SP";"Altair";14,72;10,2;5,56;2,92;12,45;9,06;47,39;27,03;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";23,33;17,57;4,63;2,03;24,95;15,42;62,35;45,62;"Até 5 mil"
3501103;"SP";"Alto Alegre";13,31;8,56;2,47;0,94;8,37;5,2;39,97;22,65;"Até 5 mil"
4300554;"RS";"Alto Alegre";8,13;7,26;1,36;1,1;6,37;4,84;22,92;18,5;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";4,96;4,04;2,85;1,84;3,7;2,89;10,9;8,4;"Até 5 mil"
4300570;"RS";"Alto Feliz";4,36;2,69;0,72;0,91;2,82;1,02;11,49;8,72;"Até 5 mil"
5200555;"GO";"Alto Horizonte";15,53;12,39;2,49;1,25;15,36;10,72;46,63;49,18;"Até 5 mil"
4128625;"PR";"Alto Paraíso";19,56;14,66;3,75;1,9;19,68;12,01;52,56;40,29;"Até 5 mil"
3102209;"MG";"Alvarenga";24,82;18,13;7,52;2,17;24,74;14,15;55,43;48,25;"Até 5 mil"
3501202;"SP";"Álvares Florence";14,2;9,22;1,38;0,95;9,52;4,8;41,39;25,12;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";15,08;8,84;5,5;1,48;12,74;5,76;53,96;39,17;"Até 5 mil"
3501509;"SP";"Alvinlândia";15,14;10,52;2,06;1;12,56;7,06;50,84;34,51;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";28,1;20,6;13,08;5,56;28,31;21,13;55,49;44,97;"Até 5 mil"
5200829;"GO";"Amaralina";23;15,87;5,35;1,83;23,43;14,37;60,98;43,28;"Até 5 mil"
5200902;"GO";"Amorinópolis";18,63;18,12;3,02;1,38;16,32;12,9;53,42;48,22;"Até 5 mil"
2500734;"PB";"Amparo";34,44;21,49;13,18;2,77;38,31;21,44;65,13;49,62;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";32,61;23,84;13,54;6,09;35,81;23,85;62,98;55,42;"Até 5 mil"
4101051;"PR";"Anahy";15,36;11,82;2,9;0,89;14,32;7,97;40,94;34,38;"Até 5 mil"
3502002;"SP";"Analândia";7,98;6,61;1,62;1,8;5,67;5,23;28,68;16,8;"Até 5 mil"
4300661;"RS";"André da Rocha";7,67;6,67;1,71;1,76;5,45;5,34;22,08;14,56;"Até 5 mil"
1701051;"TO";"Angico";20,91;17,56;5,45;3,73;20,37;14,35;58,7;52,72;"Até 5 mil"
4101150;"PR";"Ângulo";16,82;11,29;4,14;0,82;14,11;8,47;46,98;34,64;"Até 5 mil"
5201207;"GO";"Anhanguera";9,77;3,73;1,18;0,68;7,27;1,76;35,42;13,61;"Até 5 mil"
3502408;"SP";"Anhumas";15,01;7,87;3,37;0,94;11,62;5,18;48,4;25,48;"Até 5 mil"
4201109;"SC";"Anitápolis";13,92;10,7;3,25;3,09;12,99;8,4;32,4;26,17;"Até 5 mil"
2200806;"PI";"Antônio Almeida";26,8;24,8;10,32;6;27,44;21,94;59,25;65,83;"Até 5 mil"
3103108;"MG";"Antônio Prado de Minas";13,1;11,08;1,63;2,05;10,92;7,46;34,98;26,85;"Até 5 mil"
5201454;"GO";"Aparecida do Rio Doce";17,57;12,9;3,8;2,01;17,68;9,42;47,44;43,6;"Até 5 mil"
1701101;"TO";"Aparecida do Rio Negro";20,51;14,93;4,99;1,3;20,03;11,2;64,31;49,36;"Até 5 mil"
3502606;"SP";"Aparecida d'Oeste";18,07;12,1;2,16;1,55;11,35;6,4;57,3;34,68;"Até 5 mil"
5201504;"GO";"Aporé";16,3;12,81;4,52;1,7;15,16;11,14;48,89;39,03;"Até 5 mil"
4201273;"SC";"Arabutã";5,35;4,04;1,05;0,51;3,85;2,58;16,95;10,39;"Até 5 mil"
3103207;"MG";"Araçaí";9,01;10,29;1,64;1,61;8,35;8,17;26,27;28,01;"Até 5 mil"
3103306;"MG";"Aracitaba";19,65;12,6;6,74;1,25;16,94;10,31;45,29;29,21;"Até 5 mil"
5201603;"GO";"Araçu";20,88;16,23;2,84;1,98;19,21;11,54;57,37;45,06;"Até 5 mil"
5101001;"MT";"Araguaiana";15,86;12,42;4,42;0,93;16,11;10,48;47,52;37,53;"Até 5 mil"
5101209;"MT";"Araguainha";18,7;14,59;5,22;0,64;15,47;9,16;52,63;44,12;"Até 5 mil"
4300851;"RS";"Arambaré";14,02;7,38;3,77;1;12,72;5,83;30,21;15,65;"Até 5 mil"
3103603;"MG";"Arantina";15,11;10,34;3,16;2,04;10,28;6,13;50,57;31,62;"Até 5 mil"
3503158;"SP";"Arapeí";14,47;7,67;2,27;1,2;10,24;4,27;44,18;26,35;"Até 5 mil"
3103801;"MG";"Arapuá";12,96;7,98;1,5;NA;10,08;4,11;39,71;24,85;"Até 5 mil"
4101655;"PR";"Arapuã";21;16,59;5,87;2,06;20,31;11,35;49,31;44,8;"Até 5 mil"
4300877;"RS";"Araricá";6,54;4,93;2,88;0,26;5,05;3,55;20,67;17,65;"Até 5 mil"
3503356;"SP";"Arco-Íris";17,92;15,3;0,76;1,61;13,13;7,61;57,34;48,67;"Até 5 mil"
2501153;"PB";"Areia de Baraúnas";38,2;32,56;16,94;7,52;43,33;35,76;65,99;69,01;"Até 5 mil"
3503505;"SP";"Areias";15,03;8,44;4,69;1,42;11,85;6,06;45,45;27,17;"Até 5 mil"
5202353;"GO";"Arenópolis";20,4;15,6;2,89;1,07;19,45;9,1;56,68;49,23;"Até 5 mil"
3104403;"MG";"Argirita";13,79;10,47;4,03;1,27;10,18;6,48;35,97;27,97;"Até 5 mil"
3104452;"MG";"Aricanduva";30,14;21,37;7,05;1,44;33,52;20,46;69,29;58,9;"Até 5 mil"
4101853;"PR";"Ariranha do Ivaí";21,92;15,14;3,55;1,82;22,42;11,41;53,04;38,14;"Até 5 mil"
2200954;"PI";"Aroeiras do Itaim";NA;36,64;NA;5,42;NA;37,36;NA;69,97;"Até 5 mil"
2201002;"PI";"Arraial";38,99;31,52;18,7;6,36;40,45;32,7;74,94;69,87;"Até 5 mil"
4301073;"RS";"Arroio do Padre";NA;4,76;NA;0,96;NA;3,73;NA;10,36;"Até 5 mil"
4201604;"SC";"Arroio Trinta";10,59;5,62;1,88;1,08;8,19;3,77;39,87;17,09;"Até 5 mil"
4201653;"SC";"Arvoredo";17,34;10,1;4,43;0,72;17,51;8,18;44,44;30,48;"Até 5 mil"
3503950;"SP";"Aspásia";17,75;12,47;2,89;1,02;13,23;7,97;50,98;35,9;"Até 5 mil"
2501351;"PB";"Assunção";30,52;26,26;13,47;4,08;31,72;27,76;61,06;57,87;"Até 5 mil"
4102208;"PR";"Atalaia";13,33;9,29;1,26;0,68;11,78;5,77;39,95;28,73;"Até 5 mil"
4201802;"SC";"Atalanta";5,01;4,1;1,34;0,52;3,6;2,89;17,91;13,3;"Até 5 mil"
3104809;"MG";"Augusto de Lima";18,66;14,47;6,47;2,92;15,77;11,93;50,73;36,93;"Até 5 mil"
4301552;"RS";"Áurea";8,35;5,42;1,61;1,01;6,08;3,16;23,92;14,27;"Até 5 mil"
5202601;"GO";"Aurilândia";17,51;15,3;5,5;1,16;14,99;11,65;44,49;36,97;"Até 5 mil"
1702703;"TO";"Aurora do Tocantins";28,28;20,97;7,89;2,4;30,46;17,18;67,29;58,18;"Até 5 mil"
3504305;"SP";"Avaí";12,2;7,86;1,85;1,31;10,41;5,69;35,71;25,78;"Até 5 mil"
5202809;"GO";"Avelinópolis";19,27;13,52;3,75;1,05;19,51;11,65;51,26;34,85;"Até 5 mil"
3504701;"SP";"Balbinos";10,93;6,04;0,91;2,64;7,32;4,65;34,25;31,06;"Até 5 mil"
5203104;"GO";"Baliza";22,93;17,35;5,12;1,84;22;16,19;53,44;44,03;"Até 5 mil"
3105202;"MG";"Bandeira";37,99;30,6;11,08;3,99;40,67;25,98;78,21;71,69;"Até 5 mil"
4202081;"SC";"Bandeirante";12,6;8,92;4,93;2,36;11,35;6,86;27,89;20,73;"Até 5 mil"
1703057;"TO";"Bandeirantes do Tocantins";22,53;17,6;11,58;4,35;24,03;16,87;51,63;46,44;"Até 5 mil"
1501253;"PA";"Bannach";24,42;18,28;10,81;3,96;29,4;18,83;54,05;47,1;"Até 5 mil"
3505005;"SP";"Barão de Antonina";14,83;9,42;1,43;1,03;12,75;7,4;40,57;24,25;"Até 5 mil"
2501534;"PB";"Baraúna";35,09;28,29;10,06;4,18;36,91;26,82;69,04;64,01;"Até 5 mil"
2401503;"RN";"Barcelona";40,34;29,51;17,96;6,15;42,24;28,65;71,05;58,83;"Até 5 mil"
4202099;"SC";"Barra Bonita";12,58;13,57;4,05;1,68;11,15;10,44;31,08;33,77;"Até 5 mil"
2201176;"PI";"Barra D'Alcântara";42,38;31,12;17,57;4,31;47,28;28,68;81,29;72,08;"Até 5 mil"
4301859;"RS";"Barra do Guarita";14,67;9,92;3,56;0,77;11,49;7,12;42,82;29,75;"Até 5 mil"
4102703;"PR";"Barra do Jacaré";15,16;11,81;2,34;0,45;12,88;8,53;45,86;32,39;"Até 5 mil"
1703073;"TO";"Barra do Ouro";28,27;22,53;10,24;5,5;29,37;21,42;65,84;61,68;"Até 5 mil"
4301875;"RS";"Barra do Quaraí";9,22;7,43;2,7;2,33;9,17;6,53;28,75;20,94;"Até 5 mil"
4301925;"RS";"Barra do Rio Azul";8,86;7,96;0,76;1,4;6,69;4,84;29,89;21,98;"Até 5 mil"
4301958;"RS";"Barra Funda";6,87;5,07;0,26;0,26;5,43;2,85;25,11;17,4;"Até 5 mil"
2201309;"PI";"Barreiras do Piauí";21,39;21,67;10,37;7,74;19,79;21,53;52,71;46,87;"Até 5 mil"
4102752;"PR";"Bela Vista da Caroba";14,09;14,22;2,93;2,66;13,45;11,9;35,75;33,45;"Até 5 mil"
2201556;"PI";"Bela Vista do Piauí";20,17;22,75;10,57;4,32;21,59;22,76;39,64;55,26;"Até 5 mil"
2700805;"AL";"Belém";40,68;33,33;20,31;9,12;43,58;34,07;75,47;67,99;"Até 5 mil"
2201572;"PI";"Belém do Piauí";48,81;36,77;29,81;6,96;53,11;39,41;71,43;70,3;"Até 5 mil"
3106101;"MG";"Belmiro Braga";15,5;12,81;3,75;2,29;14,3;9,75;35,75;32,03;"Até 5 mil"
4202156;"SC";"Belmonte";10,96;9,39;2,07;2,71;9,31;7,99;34,43;21,56;"Até 5 mil"
4302055;"RS";"Benjamin Constant do Sul";19,62;13,81;9,27;2,11;18,34;14,35;42,11;28,96;"Até 5 mil"
3506201;"SP";"Bento de Abreu";10,04;7,87;1,9;1,85;5,99;5,24;38,46;25,97;"Até 5 mil"
3106655;"MG";"Berizal";32,11;24,84;8,32;2,92;35,46;22,8;81,33;70,22;"Até 5 mil"
2502052;"PB";"Bernardino Batista";42,27;30,83;16,6;4,92;48,32;32,63;72,73;67,34;"Até 5 mil"
1703206;"TO";"Bernardo Sayão";17,54;17,99;5,78;2,74;19,56;16,83;45,83;54,09;"Até 5 mil"
3106606;"MG";"Bertópolis";36,06;29,61;15,94;13,02;37,61;25,11;73,22;65,31;"Até 5 mil"
3106804;"MG";"Bias Fortes";18,32;15,05;6,59;2,21;17,61;13,13;39,16;31,74;"Até 5 mil"
3107000;"MG";"Biquinhas";16,67;10,88;2,98;1,02;13,48;6,35;44,66;29,46;"Até 5 mil"
4103008;"PR";"Boa Esperança";14,93;13,31;2,62;0,99;13,32;9,02;44,55;40,8;"Até 5 mil"
4103024;"PR";"Boa Esperança do Iguaçu";14,16;8,39;2,7;1,8;14,81;6,39;39,76;27;"Até 5 mil"
4302154;"RS";"Boa Vista das Missões";9,92;9;1,93;2,01;7,07;5,7;34,36;29,82;"Até 5 mil"
4302220;"RS";"Boa Vista do Cadeado";NA;5,25;NA;1,11;NA;3,87;NA;12,96;"Até 5 mil"
4302238;"RS";"Boa Vista do Incra";NA;5,01;NA;0,78;NA;1,89;NA;21,13;"Até 5 mil"
4302253;"RS";"Boa Vista do Sul";7,26;7,36;0,96;0,28;4,33;2,96;23,31;21,44;"Até 5 mil"
2201804;"PI";"Bocaina";31,63;22,86;9,52;5,18;31,38;19,41;66,33;48,1;"Até 5 mil"
4202438;"SC";"Bocaina do Sul";16,01;11,26;7,61;2,52;14,47;9,81;35,67;27,87;"Até 5 mil"
2401651;"RN";"Bodó";39,78;24,86;19,18;4,81;43,19;25,66;73,64;58,17;"Até 5 mil"
4202503;"SC";"Bom Jardim da Serra";10,44;8,39;3,77;1,27;9,03;8,24;28,61;19,92;"Até 5 mil"
2502201;"PB";"Bom Jesus";36,14;25,16;13,42;3,93;41,06;23,94;64;56,29;"Até 5 mil"
4202537;"SC";"Bom Jesus";16;10,55;3,66;1,64;13,37;7,4;54,84;39,47;"Até 5 mil"
3107604;"MG";"Bom Jesus da Penha";13,21;11,1;2,31;1,18;10,91;7,75;38,96;33,21;"Até 5 mil"
4202578;"SC";"Bom Jesus do Oeste";7,47;7,16;1,49;0,58;6,54;5,41;19,75;18,28;"Até 5 mil"
4103156;"PR";"Bom Jesus do Sul";17,82;10,1;3,81;0,66;17,02;6,3;48,78;29,98;"Até 5 mil"
1703305;"TO";"Bom Jesus do Tocantins";25,94;14,98;8,6;4,21;29,23;13,75;51,79;48,63;"Até 5 mil"
4302378;"RS";"Bom Progresso";12,4;10,21;1,97;3,4;10,36;6,85;38,35;28,82;"Até 5 mil"
3507159;"SP";"Bom Sucesso de Itararé";14,18;11,33;4,49;1,76;12,17;10,2;53,77;39,79;"Até 5 mil"
4103222;"PR";"Bom Sucesso do Sul";13,32;1,86;2,38;0,35;10,73;1,21;43,15;5,8;"Até 5 mil"
5203575;"GO";"Bonópolis";20,49;18,81;6,54;2,51;22,77;17,59;45,81;52,75;"Até 5 mil"
3507209;"SP";"Borá";11,09;9,58;4,14;2,08;6,76;7,19;38,04;33,72;"Até 5 mil"
3507308;"SP";"Boracéia";11,62;7,62;1,75;1,3;9,25;5,46;38,48;23,8;"Até 5 mil"
3507456;"SP";"Borebi";15,42;9,18;1,37;1,67;15,27;7,41;42,93;29,44;"Até 5 mil"
4202701;"SC";"Botuverá";7,44;5,79;1,44;0,73;5,58;4,19;24,88;18,86;"Até 5 mil"
4302584;"RS";"Bozano";NA;5,16;NA;0,66;NA;3,5;NA;11,96;"Até 5 mil"
4202859;"SC";"Braço do Trombudo";8,79;3,37;1,95;0,35;7,21;2,34;24;10,43;"Até 5 mil"
4302600;"RS";"Braga";18,31;13,78;3,45;1,04;15,15;10,36;48,76;35,68;"Até 5 mil"
3108701;"MG";"Brás Pires";14,29;13,53;2,76;1,62;11,83;8,98;39,87;37,14;"Até 5 mil"
4103370;"PR";"Brasilândia do Sul";23,15;15,44;5,88;0,91;22,16;12,17;55;41,37;"Até 5 mil"
1703602;"TO";"Brasilândia do Tocantins";19,4;16,82;9,59;1,9;18,18;15,41;49,04;48,58;"Até 5 mil"
5203609;"GO";"Brazabrantes";15,81;11,06;2,89;1,09;14,04;8,21;51,26;34,86;"Até 5 mil"
3507753;"SP";"Brejo Alegre";15,99;11,25;2,47;1,46;14,83;7,29;46,98;38,21;"Até 5 mil"
2201988;"PI";"Brejo do Piauí";43,52;38,08;24,58;11,98;48,64;39,54;72,65;70,85;"Até 5 mil"
4302659;"RS";"Brochier";5,09;3,33;0,78;1,01;4,47;2,75;10,34;6,51;"Até 5 mil"
4202875;"SC";"Brunópolis";16,11;13,63;4,01;2,54;13,11;9,55;52,58;39,9;"Até 5 mil"
3109253;"MG";"Bugre";26,9;18,74;5,15;2,99;26,62;13,46;63,03;52,37;"Até 5 mil"
5203939;"GO";"Buriti de Goiás";14,88;13,8;1,94;2,51;13,96;9,89;47,48;42,06;"Até 5 mil"
5203962;"GO";"Buritinópolis";32,69;18,69;8,54;3,62;38,49;14,26;82,25;66,97;"Até 5 mil"
3508207;"SP";"Buritizal";8,93;5,8;1,9;0,77;7,03;4,89;26,26;14,08;"Até 5 mil"
3508306;"SP";"Cabrália Paulista";11,36;9,61;1,73;1,7;10,16;6,85;36,56;31,52;"Até 5 mil"
3109600;"MG";"Cachoeira da Prata";5,81;3,89;1,47;0,52;4,59;2,25;16,74;12;"Até 5 mil"
5204201;"GO";"Cachoeira de Goiás";19,96;14,25;6,97;0,87;17,45;11,35;52,35;38,73;"Até 5 mil"
3109808;"MG";"Cachoeira Dourada";20,15;12,2;4,87;0,95;17,24;8,35;51,51;39,47;"Até 5 mil"
1703826;"TO";"Cachoeirinha";24,64;18,2;8,58;2,55;24,41;16,14;72,37;58,16;"Até 5 mil"
2503407;"PB";"Cacimba de Areia";39,32;26,83;23,2;7,64;39,8;27,75;68,91;53,47;"Até 5 mil"
4303202;"RS";"Cacique Doble";13,32;10,13;3,27;2,12;10,42;7,51;38,45;25,91;"Até 5 mil"
4103404;"PR";"Cafeara";22,06;15,58;3,17;1,26;19,94;12,17;58,62;46,17;"Até 5 mil"
4103479;"PR";"Cafezal do Sul";20,01;15,32;3,7;1,95;16,26;11,39;52,22;39,66;"Até 5 mil"
3508900;"SP";"Caiabu";16,36;12,48;2,09;1,12;11,28;7,02;53,69;42,04;"Até 5 mil"
3110103;"MG";"Caiana";20,32;13,4;9,37;2,44;19,7;12,63;42,19;35,14;"Até 5 mil"
4303301;"RS";"Caibaté";8,08;6,95;1,81;0,97;6,64;4,56;21,13;18,82;"Até 5 mil"
2401909;"RN";"Caiçara do Rio do Vento";33,47;25,65;14,68;6,13;35,96;23,81;62,54;63,94;"Até 5 mil"
2202075;"PI";"Cajazeiras do Piauí";41,5;30,61;20,46;5,26;45,22;30,12;78,21;72,49;"Até 5 mil"
2503753;"PB";"Cajazeirinhas";44,65;34,81;25,38;6,81;50,94;40,48;63,27;58,24;"Até 5 mil"
3110202;"MG";"Cajuri";16,46;11,53;4,98;0,71;14;9,05;48,88;32,59;"Até 5 mil"
5204557;"GO";"Caldazinha";13,34;10,49;2,38;0,76;10,41;7,75;54,03;34,49;"Até 5 mil"
4203154;"SC";"Calmon";18,23;11,88;6,8;2,02;18,61;12,03;51,56;35,56;"Até 5 mil"
3110400;"MG";"Camacho";21,31;13,09;3,27;0,94;22,33;9,27;55,2;41,14;"Até 5 mil"
4303558;"RS";"Camargo";10,35;8,57;1,78;0,76;6,7;5,22;34,94;24,83;"Até 5 mil"
3110806;"MG";"Campanário";23,38;17,74;7,87;1,85;20,79;15,39;61,34;48,03;"Até 5 mil"
4303673;"RS";"Campestre da Serra";9,83;6,42;1,41;0,95;6,22;3,05;33,92;20,66;"Até 5 mil"
5204607;"GO";"Campestre de Goiás";20,98;12,68;4,57;0,99;20,31;10,33;64,88;39,85;"Até 5 mil"
4103958;"PR";"Campina do Simão";13,99;11,93;3,92;2,25;13,92;11,18;46,42;32,8;"Até 5 mil"
5204656;"GO";"Campinaçu";21,78;13,3;4,98;2,34;22,06;10,61;57,96;37,22;"Até 5 mil"
2202117;"PI";"Campo Alegre do Fidalgo";44,19;32,83;26,83;7,93;49,59;36,6;67,09;70,85;"Até 5 mil"
3111150;"MG";"Campo Azul";25,8;21,54;4,38;2,21;24,73;15,95;64,95;60;"Até 5 mil"
4104055;"PR";"Campo Bonito";20,84;13,08;4,96;1,64;21,69;11,6;53,16;36,15;"Até 5 mil"
4304101;"RS";"Campos Borges";12,69;9,59;1,62;1,92;9,93;5,8;39,78;26,46;"Até 5 mil"
3509809;"SP";"Campos Novos Paulista";13,14;9,98;3,36;1,58;11,65;8,24;34,47;24,46;"Até 5 mil"
3111705;"MG";"Canaã";20,91;14,63;6,75;1,9;21,36;13,11;44,1;34,01;"Até 5 mil"
5102694;"MT";"Canabrava do Norte";16,71;11,51;5,26;1,54;18,29;9,86;52,13;42,38;"Até 5 mil"
3509957;"SP";"Canas";9,87;6,15;2,99;3,14;7,85;3,78;35,86;24,3;"Até 5 mil"
2202251;"PI";"Canavieira";32;26,93;19,32;8,66;31,59;25,09;63,31;57,84;"Até 5 mil"
3510104;"SP";"Cândido Rodrigues";10,74;8,62;1,47;1,14;6,73;4,65;32,19;24,47;"Até 5 mil"
2801108;"SE";"Canhoba";36,63;32,18;20,66;12,14;40,14;34,62;60,74;62,04;"Até 5 mil"
3510153;"SP";"Canitar";16,13;10,35;3,77;0,69;15,62;8,77;48,47;35,4;"Até 5 mil"
3112059;"MG";"Cantagalo";22,22;15,38;7,04;2,3;22,48;14,61;49,88;38,96;"Até 5 mil"
4304614;"RS";"Canudos do Vale";NA;10,66;NA;2,02;NA;6,52;NA;28,03;"Até 5 mil"
4203253;"SC";"Capão Alto";13,2;9,89;5,21;1;12,06;7,95;27,27;24,58;"Até 5 mil"
4304622;"RS";"Capão Bonito do Sul";NA;9,68;NA;1,89;NA;6,08;NA;26,06;"Até 5 mil"
4304655;"RS";"Capão do Cipó";NA;6,42;NA;0,85;NA;4,38;NA;20,75;"Até 5 mil"
3112208;"MG";"Capela Nova";14,42;10,76;3,66;0,84;11,99;8,2;36,54;27,22;"Até 5 mil"
4304697;"RS";"Capitão";5,88;5,32;1,28;0,5;3,46;3,47;19,43;15,07;"Até 5 mil"
3112653;"MG";"Capitão Andrade";26,75;17,65;5,77;2,8;26,62;13,72;56,87;46,5;"Até 5 mil"
2202455;"PI";"Capitão Gervásio Oliveira";37,48;31,92;16,67;6,47;41,52;33,84;67,18;63,33;"Até 5 mil"
4304671;"RS";"Capivari do Sul";9,03;7,9;2,33;1,96;7,44;5,17;31,76;28,57;"Até 5 mil"
3113107;"MG";"Caranaíba";14,72;9,05;3,47;0,36;13,53;6,19;40,88;29,56;"Até 5 mil"
2504074;"PB";"Caraúbas";30,21;19,09;13,11;4,55;29,42;16,92;54,2;39,72;"Até 5 mil"
2202554;"PI";"Caridade do Piauí";39,89;32,15;22,39;8,53;45,42;35,82;67,61;66,94;"Até 5 mil"
1703867;"TO";"Cariri do Tocantins";17,67;14,43;5,36;2,28;18,05;13,44;49,54;42,82;"Até 5 mil"
4304853;"RS";"Carlos Gomes";6,47;4,74;0,68;0,44;3,57;2,84;23,89;13,27;"Até 5 mil"
3113800;"MG";"Carmésia";20,84;15,19;4,21;0,49;19,42;12,89;52,67;39,77;"Até 5 mil"
1703883;"TO";"Carmolândia";28,34;19,02;11,98;3,3;31,33;18,49;64,75;56,65;"Até 5 mil"
3114600;"MG";"Carrancas";12,16;8;2,11;1,12;10,57;4,6;33,26;26,06;"Até 5 mil"
2504108;"PB";"Carrapateira";39,91;28,08;16,25;3,89;47,75;30,33;64,44;65,15;"Até 5 mil"
1703891;"TO";"Carrasco Bonito";39,32;28,95;16,27;4,54;46,83;33,49;82,8;74,39;"Até 5 mil"
3114709;"MG";"Carvalhópolis";10,35;8,35;1,84;1,7;6,93;4,86;31,59;24,22;"Até 5 mil"
3114808;"MG";"Carvalhos";18,81;15,2;5,5;2,61;16,83;13,05;43,02;35,08;"Até 5 mil"
3114907;"MG";"Casa Grande";11,6;5,89;2,97;0,85;10,86;5,12;28,36;13,57;"Até 5 mil"
3115003;"MG";"Cascalho Rico";7,56;6,53;0,65;0,5;4,8;4,63;28,66;17,27;"Até 5 mil"
1703909;"TO";"Caseara";21,61;17,95;5,77;2,54;22,43;17,58;62,4;48,23;"Até 5 mil"
4304952;"RS";"Caseiros";12,1;10,11;4,19;1,23;9,28;7,69;32,39;24,06;"Até 5 mil"
3510906;"SP";"Cássia dos Coqueiros";11,11;10,11;1,81;2,12;9,32;8,07;31,91;25;"Até 5 mil"
1100908;"RO";"Castanheiras";14,72;14,29;3,64;2,07;15,76;11,53;38,78;43,9;"Até 5 mil"
5205059;"GO";"Castelândia";22,51;25,25;7,26;4,53;21,99;22,77;56,35;62,72;"Até 5 mil"
3115359;"MG";"Catas Altas";14,1;6,17;3,56;1,11;14,15;4,57;39,88;21,46;"Até 5 mil"
3115409;"MG";"Catas Altas da Noruega";17,02;13,56;4,86;1,66;16,25;11,7;46,01;37,67;"Até 5 mil"
2504207;"PB";"Catingueira";42,15;35,77;23,37;9,93;45,49;39,12;71,07;63,56;"Até 5 mil"
2907400;"BA";"Catolândia";32,45;25,71;10,99;6,99;37,1;23,73;67,08;53,83;"Até 5 mil"
5205208;"GO";"Caturaí";18,81;12,6;6,33;0,64;19,51;11,33;44,6;36,52;"Até 5 mil"
2504355;"PB";"Caturité";29,36;22,44;12,52;4,25;29,83;22,18;57,79;48,73;"Até 5 mil"
4204103;"SC";"Caxambu do Sul";14,9;10,77;4,32;1,25;12,35;8,82;42,11;26,91;"Até 5 mil"
3115607;"MG";"Cedro do Abaeté";18,22;14,16;4,98;1,72;15,45;8,36;45,68;40;"Até 5 mil"
4204152;"SC";"Celso Ramos";10,89;8,69;1,72;0,83;9,05;6,42;35,69;26,17;"Até 5 mil"
1704105;"TO";"Centenário";27,39;28,55;8,38;7,96;27,12;28,25;66,49;63,7;"Até 5 mil"
