"Codigo";"UF";"Municipio";"Analf_2000";"Analf_2010";"Inadequado_2000";"Inadequado_2010";"AnalfEInadequado_2000";"AnalfEInadequado_2010";"Classe"
4215075;"SC";"Riqueza";14,7;11,58;72,13;22,03;12,67;3,67;"Até 5 mil"
3156106;"MG";"Ritápolis";17,97;8,28;24,5;23,51;4,54;2,65;"Até 5 mil"
5007505;"MS";"Rochedo";18,52;6,07;41,72;23,15;10,14;1,12;"Até 5 mil"
3156205;"MG";"Rochedo de Minas";17,7;12,73;8,41;6,06;1,33;3,03;"Até 5 mil"
2411007;"RN";"Rodolfo Fernandes";56,1;45,05;13,7;7,92;11,44;4,21;"Até 5 mil"
4315958;"RS";"Rolador";NA;8,55;NA;3,29;NA;0;"Até 5 mil"
3156403;"MG";"Romaria";14,65;8,21;31,35;16,79;3,43;2,14;"Até 5 mil"
5107578;"MT";"Rondolândia";NA;21,15;NA;79,7;NA;20,09;"Até 5 mil"
3156452;"MG";"Rosário da Limeira";29,05;14,92;53,1;38,31;16,9;7,12;"Até 5 mil"
3544400;"SP";"Rubiácea";10,62;8,3;15,04;2,18;1,77;0;"Até 5 mil"
3544509;"SP";"Rubinéia";10,05;2,92;17,35;5,85;1,83;0;"Até 5 mil"
2411106;"RN";"Ruy Barbosa";63,39;41,86;56,89;37,21;39,76;20,6;"Até 5 mil"
4316428;"RS";"Sagrada Família";16,04;14,66;74,63;10,47;15,3;2,09;"Até 5 mil"
3544707;"SP";"Sagres";11,97;10,12;25,48;1,79;3,86;0;"Até 5 mil"
4316436;"RS";"Saldanha Marinho";6,81;2,6;29,36;6,49;2,13;0;"Até 5 mil"
2513000;"PB";"Salgadinho";65,27;39,81;57,7;63,83;40,34;29,61;"Até 5 mil"
4122800;"PR";"Salgado Filho";20,11;11,97;56,49;24,6;13,12;4,53;"Até 5 mil"
3545100;"SP";"Salmourão";20,55;9,84;5,77;6,74;1,62;1,3;"Até 5 mil"
4215356;"SC";"Saltinho";28,94;17,35;81,44;44,41;24,55;9,12;"Até 5 mil"
5107750;"MT";"Salto do Céu";28,83;10,46;35,86;43,08;15,14;4;"Até 5 mil"
4215406;"SC";"Salto Veloso";14,65;7,01;7,21;4,14;2,79;0;"Até 5 mil"
4316477;"RS";"Salvador das Missões";4,29;6,72;1,9;0;1,43;0;"Até 5 mil"
1718808;"TO";"Sampaio";49,5;31,15;26,84;6,35;17,3;2,18;"Até 5 mil"
1718840;"TO";"Sandolândia";29,5;21,47;51,44;32,82;17,23;7,98;"Até 5 mil"
3545506;"SP";"Sandovalina";9,87;8,58;19,75;18,05;0,76;0,59;"Até 5 mil"
4123105;"PR";"Santa Amélia";30,57;12,58;20,75;18,55;5,85;2,83;"Até 5 mil"
3157278;"MG";"Santa Bárbara do Monte Verde";26,85;15,18;35,02;20,09;8,17;4,02;"Até 5 mil"
3157302;"MG";"Santa Bárbara do Tugúrio";23,64;12,62;58,72;28;17,05;4,31;"Até 5 mil"
5107248;"MT";"Santa Carmem";17,8;11,19;22,2;14,99;3,9;1,12;"Até 5 mil"
4123204;"PR";"Santa Cecília do Pavão";29,84;16,55;24,83;11,82;9,34;2,03;"Até 5 mil"
4316733;"RS";"Santa Cecília do Sul";NA;3,75;NA;10;NA;0;"Até 5 mil"
3546108;"SP";"Santa Clara d'Oeste";15,58;4,84;25,63;20,97;1,51;0;"Até 5 mil"
3546207;"SP";"Santa Cruz da Conceição";13,23;6,9;34,77;4,14;7,69;0;"Até 5 mil"
3546256;"SP";"Santa Cruz da Esperança";8,7;7,83;28,5;10,84;2,42;3,01;"Até 5 mil"
5219209;"GO";"Santa Cruz de Goiás";17,16;17,6;59,17;51,07;10,36;9,01;"Até 5 mil"
3157377;"MG";"Santa Cruz de Salinas";38,39;27,83;57,89;40,89;24,15;16,26;"Até 5 mil"
3157401;"MG";"Santa Cruz do Escalvado";32,97;16,1;49,73;21,36;17,3;4,33;"Até 5 mil"
5107743;"MT";"Santa Cruz do Xingu";NA;15,28;NA;30,09;NA;7,41;"Até 5 mil"
2209153;"PI";"Santa Cruz dos Milagres";47,93;41,78;48,18;28,98;26,76;13,32;"Até 5 mil"
3157500;"MG";"Santa Efigênia de Minas";43,08;24,4;52,57;35,02;26,28;14,73;"Até 5 mil"
5219258;"GO";"Santa Fé de Goiás";23,41;9,76;25;19,29;6,35;1,67;"Até 5 mil"
3157609;"MG";"Santa Fé de Minas";42,18;24,61;51,7;40,05;26,02;12,04;"Até 5 mil"
4215554;"SC";"Santa Helena";17,22;12,42;64,1;23,53;13,55;2,61;"Até 5 mil"
2513356;"PB";"Santa Inês";68,93;43,34;71,55;53,82;56,24;33,14;"Até 5 mil"
4123600;"PR";"Santa Inês";17,39;10,77;24,15;9,23;4,35;0,77;"Até 5 mil"
5219357;"GO";"Santa Isabel";13,14;7,35;35,71;32,65;4,29;2,86;"Até 5 mil"
4123824;"PR";"Santa Lúcia";19,06;12,16;41,25;25,23;7,31;2,13;"Até 5 mil"
4316972;"RS";"Santa Margarida do Sul";NA;10,64;NA;24,82;NA;2,84;"Até 5 mil"
2409332;"RN";"Santa Maria";57,34;39,92;29,98;26,28;22,74;12,45;"Até 5 mil"
1718881;"TO";"Santa Maria do Tocantins";30,79;21,15;63,41;46,22;24,39;14,5;"Até 5 mil"
3547106;"SP";"Santa Mercedes";15,87;9,36;17,34;8,09;2,21;0,43;"Até 5 mil"
4123956;"PR";"Santa Mônica";22,02;10,97;14,77;12,26;2,85;0,65;"Até 5 mil"
3159407;"MG";"Santa Rita de Ibitipoca";25,82;21,37;36,15;30,53;10,33;10,31;"Até 5 mil"
3159308;"MG";"Santa Rita de Jacutinga";20,12;12,2;29,48;13,11;8,76;2,13;"Até 5 mil"
5219456;"GO";"Santa Rita do Novo Destino";29,94;26,42;58,33;8,94;21,3;4,88;"Até 5 mil"
1718899;"TO";"Santa Rita do Tocantins";25,66;18,34;49,06;31,44;15,09;7,86;"Até 5 mil"
5107768;"MT";"Santa Rita do Trivelato";NA;4,3;NA;28,67;NA;1,79;"Até 5 mil"
3547403;"SP";"Santa Rita d'Oeste";12,57;7,5;42,08;26,67;4,92;0,83;"Até 5 mil"
3159704;"MG";"Santa Rosa da Serra";23,4;8,05;17,27;13,41;4,46;2,3;"Até 5 mil"
5219506;"GO";"Santa Rosa de Goiás";16,88;14,04;37,99;24,16;6,82;2,25;"Até 5 mil"
2806503;"SE";"Santa Rosa de Lima";56,39;37,2;25,35;6,4;19,88;4,27;"Até 5 mil"
4215604;"SC";"Santa Rosa de Lima";9,05;2,4;45,73;11,2;6,03;0;"Até 5 mil"
1200435;"AC";"Santa Rosa do Purus";76,48;35,98;79,63;68,5;66,85;24,77;"Até 5 mil"
1718907;"TO";"Santa Rosa do Tocantins";34,38;16,67;68,93;42,39;27,29;10,69;"Até 5 mil"
3547650;"SP";"Santa Salete";5,88;1,25;54,12;12,5;2,35;1,25;"Até 5 mil"
2513802;"PB";"Santa Teresinha";61,31;44,05;66,15;10,54;45,77;7,03;"Até 5 mil"
4317251;"RS";"Santa Tereza";1,68;5,19;9,24;0;0;0;"Até 5 mil"
5219605;"GO";"Santa Tereza de Goiás";20,08;10,6;17,89;13,18;2,78;1,43;"Até 5 mil"
1719004;"TO";"Santa Tereza do Tocantins";31;17,19;37,33;26,88;17,67;5,94;"Até 5 mil"
4215687;"SC";"Santa Terezinha do Progresso";19,42;14,67;83,25;47,11;17,72;8,89;"Até 5 mil"
1720002;"TO";"Santa Terezinha do Tocantins";32,09;21,96;34,22;18,82;13,1;5,1;"Até 5 mil"
3547205;"SP";"Santana da Ponte Pensa";6,3;8,14;44,09;23,26;1,57;3,49;"Até 5 mil"
3158409;"MG";"Santana de Cataguases";16,49;10,12;22,68;10,89;2,06;2,72;"Até 5 mil"
3158607;"MG";"Santana do Deserto";25;8,42;16,93;7,41;6,25;0,34;"Até 5 mil"
3158706;"MG";"Santana do Garambéu";26,04;20,25;32,29;20,86;14,58;3,68;"Até 5 mil"
3158805;"MG";"Santana do Jacaré";31,05;18,12;4,57;5,83;1,6;1,62;"Até 5 mil"
2209351;"PI";"Santana do Piauí";61,17;35,27;17,48;3,94;15,73;2,09;"Até 5 mil"
3159001;"MG";"Santana do Riacho";34,2;17,75;33,16;15,02;14,77;4,44;"Até 5 mil"
2411429;"RN";"Santana do Seridó";41,81;25,82;36,21;31,46;18,53;8,45;"Até 5 mil"
3159100;"MG";"Santana dos Montes";20;12,36;44,65;27,64;11,16;5,82;"Até 5 mil"
2513653;"PB";"Santarém";57,3;38,79;22,78;13,55;12,46;5,14;"Até 5 mil"
4215695;"SC";"Santiago do Sul";17,98;14,56;46,63;12,62;10,11;4,85;"Até 5 mil"
5107263;"MT";"Santo Afonso";18,62;6,81;57,59;36,92;13,18;3,58;"Até 5 mil"
2513851;"PB";"Santo André";49,82;34,7;79,7;59,36;44,65;27,85;"Até 5 mil"
5219712;"GO";"Santo Antônio da Barra";33,61;16,93;20,38;16,67;7,14;2,86;"Até 5 mil"
5219738;"GO";"Santo Antônio de Goiás";16,76;6,86;14,45;5,03;3,76;1,37;"Até 5 mil"
3160009;"MG";"Santo Antônio do Aventureiro";23,47;13,28;24,76;14,52;6,75;1,66;"Até 5 mil"
4124202;"PR";"Santo Antônio do Caiuá";21,1;6,49;16,51;2,7;3,36;0;"Até 5 mil"
3160108;"MG";"Santo Antônio do Grama";34,89;16,44;23,4;12,08;8,09;0,67;"Até 5 mil"
3160207;"MG";"Santo Antônio do Itambé";47,61;25,92;73,38;42,54;35,92;17,11;"Até 5 mil"
5107792;"MT";"Santo Antônio do Leste";NA;14,4;NA;43,7;NA;13,11;"Até 5 mil"
4317558;"RS";"Santo Antônio do Palma";10,33;2,56;76,63;0;9,78;0;"Até 5 mil"
4124301;"PR";"Santo Antônio do Paraíso";18,99;7,77;29,84;17,1;5,81;2,07;"Até 5 mil"
4317756;"RS";"Santo Antônio do Planalto";8,96;12,06;42,79;7,09;3,98;2,13;"Até 5 mil"
3160504;"MG";"Santo Antônio do Rio Abaixo";30,48;27,14;58,29;49,29;26,74;21,43;"Até 5 mil"
2209450;"PI";"Santo Antônio dos Milagres";53,26;28,06;21,01;53,75;13,04;18,97;"Até 5 mil"
3548302;"SP";"Santo Expedito";9,95;8,13;4,52;4,31;0,45;0;"Até 5 mil"
4317954;"RS";"Santo Expedito do Sul";10,65;5,99;20,83;5,39;1,39;0,6;"Até 5 mil"
3160603;"MG";"Santo Hipólito";29,51;19,6;40,98;22,4;12,41;6;"Até 5 mil"
2209500;"PI";"Santo Inácio do Piauí";54,86;27,39;52,12;10,56;34,66;4,95;"Até 5 mil"
3548401;"SP";"Santópolis do Aguapeí";15,34;7,61;3,7;1,84;0;0,26;"Até 5 mil"
2513927;"PB";"São Bentinho";50,95;41,99;32,52;27,56;19,51;13,12;"Até 5 mil"
3160801;"MG";"São Bento Abade";24,13;16,09;6,81;4,29;1,47;1,07;"Até 5 mil"
2411601;"RN";"São Bento do Norte";53,49;43,19;63,1;10,96;38,43;2,66;"Até 5 mil"
1720101;"TO";"São Bento do Tocantins";41,16;26,33;61,97;39;26,92;11,83;"Até 5 mil"
2411700;"RN";"São Bento do Trairí";59,91;37,35;54,8;21,28;38,17;11,11;"Até 5 mil"
4215752;"SC";"São Bernardino";20,81;12,92;83,76;62,68;20,05;10,05;"Até 5 mil"
4215901;"SC";"São Bonifácio";5,73;2,87;54,48;5,17;3,23;0;"Até 5 mil"
3160900;"MG";"São Brás do Suaçuí";16,72;1,19;17,35;5,56;3,47;0;"Até 5 mil"
2209559;"PI";"São Braz do Piauí";53,22;29,81;96,87;74,53;52,3;27,1;"Até 5 mil"
2513968;"PB";"São Domingos";65,15;51,58;64,02;63,8;45,08;37,1;"Até 5 mil"
2513943;"PB";"São Domingos do Cariri";41,9;36,02;57,71;47,39;27,27;21,8;"Até 5 mil"
4318051;"RS";"São Domingos do Sul";7,3;0,58;41,2;0;5,58;0;"Até 5 mil"
2110807;"MA";"São Félix de Balsas";50,35;46,52;83,12;81,73;45,75;41,62;"Até 5 mil"
3161056;"MG";"São Félix de Minas";32,55;23,26;57,55;32,99;21,09;10,42;"Até 5 mil"
2209609;"PI";"São Félix do Piauí";50,15;34,82;34,12;29,15;21,66;17,41;"Até 5 mil"
1720150;"TO";"São Félix do Tocantins";33,17;37,5;47,8;28,13;19,02;15,63;"Até 5 mil"
2411809;"RN";"São Fernando";55,35;41,73;35,47;17,72;26,3;11,02;"Até 5 mil"
2513984;"PB";"São Francisco";50,67;38,22;49,66;24,32;26,17;12,36;"Até 5 mil"
2806909;"SE";"São Francisco";45,96;30,77;17,55;3,38;9,75;1,54;"Até 5 mil"
3549003;"SP";"São Francisco";14,11;7,22;19,09;7,73;2,07;0;"Até 5 mil"
2411908;"RN";"São Francisco do Oeste";48,31;37,7;8,05;11,18;4,94;5,43;"Até 5 mil"
3161601;"MG";"São Geraldo da Piedade";42,39;22,44;31,59;20,2;16,37;5,24;"Até 5 mil"
3161650;"MG";"São Geraldo do Baixio";30,38;18,92;43,67;31,76;14,87;5,74;"Até 5 mil"
2209757;"PI";"São Gonçalo do Gurguéia";48,03;37,62;61,15;45,45;30,97;21;"Até 5 mil"
2209807;"PI";"São Gonçalo do Piauí";44,39;36,75;5,61;3,82;3,47;1,41;"Até 5 mil"
3125507;"MG";"São Gonçalo do Rio Preto";46,05;25,31;27,63;30,71;15,79;9,54;"Até 5 mil"
2209856;"PI";"São João da Canabrava";60,18;43,61;45,32;10,53;30,83;6,77;"Até 5 mil"
3162252;"MG";"São João da Lagoa";36,79;17,99;51,47;29,63;21,07;6,08;"Até 5 mil"
3162302;"MG";"São João da Mata";14,52;10,06;33,87;15,64;8,87;2,23;"Até 5 mil"
5220058;"GO";"São João da Paraúna";12,38;8,2;8,91;9,02;0,5;0,82;"Até 5 mil"
4318424;"RS";"São João da Urtiga";10,07;5,6;63,62;13,6;9,15;1,2;"Até 5 mil"
2209955;"PI";"São João da Varjota";65,02;44,6;44,03;62,67;30,72;33,99;"Até 5 mil"
3549201;"SP";"São João das Duas Pontes";17,5;12,07;18,21;18,39;5;1,15;"Até 5 mil"
3549250;"SP";"São João de Iracema";12,23;10,94;24,46;3,13;2,16;0;"Até 5 mil"
2514008;"PB";"São João do Cariri";37,48;18,84;55,34;27,54;23,88;4,93;"Até 5 mil"
4216354;"SC";"São João do Itaperiú";9,17;7,12;23,21;1,42;4,87;1,07;"Até 5 mil"
3162658;"MG";"São João do Pacuí";58,61;24,28;28,1;26,37;18,3;7,57;"Até 5 mil"
3549300;"SP";"São João do Pau d'Alho";11,96;6,09;19,57;15,65;3,26;0;"Até 5 mil"
4318432;"RS";"São João do Polêsine";16,74;9,23;28,63;5,38;10,13;0,77;"Até 5 mil"
2514107;"PB";"São João do Tigre";67,62;43,38;73,37;56,18;56,14;29,72;"Até 5 mil"
4318440;"RS";"São Jorge";6,16;2,87;11,85;2,3;0,95;2,3;"Até 5 mil"
3163003;"MG";"São José da Safira";40,7;28,34;28,95;20,84;15,44;9,84;"Até 5 mil"
3163102;"MG";"São José da Varginha";18,13;7,31;35,49;7,89;7,77;0,58;"Até 5 mil"
4318457;"RS";"São José das Missões";11,74;7,94;68,12;11,64;10,4;1,59;"Até 5 mil"
4125456;"PR";"São José das Palmeiras";35,31;14,39;36,73;16,97;9,95;1,85;"Até 5 mil"
2514404;"PB";"São José de Espinharas";56,18;47,61;69,29;65,87;44,01;37,61;"Até 5 mil"
2514552;"PB";"São José de Princesa";55,99;42,11;92,27;81,58;53,31;36,58;"Até 5 mil"
3163201;"MG";"São José do Alegre";14,25;6,62;23,99;9,06;3,33;0,7;"Até 5 mil"
3549607;"SP";"São José do Barreiro";18,65;14,41;34,83;15,85;10,56;4,9;"Até 5 mil"
2514602;"PB";"São José do Bonfim";62,5;43,57;68,18;29,15;50,28;17,24;"Até 5 mil"
2514651;"PB";"São José do Brejo do Cruz";66,84;41,82;63,68;36,97;44,74;23,03;"Até 5 mil"
3163300;"MG";"São José do Divino";47,22;24,71;29,28;12,06;17,94;2,35;"Até 5 mil"
4318465;"RS";"São José do Herval";37,54;20,25;63,16;21,47;31,23;7,98;"Até 5 mil"
4318481;"RS";"São José do Hortêncio";3,5;0,34;0,7;0,34;0,7;0;"Até 5 mil"
4318499;"RS";"São José do Inhacorá";2,86;2,56;15,43;0;0,57;0;"Até 5 mil"
3163607;"MG";"São José do Mantimento";31,95;13,83;34,59;16,49;10,53;1,6;"Até 5 mil"
2210102;"PI";"São José do Peixe";53,62;39,14;52,25;29,76;33,66;17,16;"Até 5 mil"
5107297;"MT";"São José do Povo";24,9;13,06;38,13;24,08;9,34;3,67;"Até 5 mil"
2514701;"PB";"São José do Sabugi";47,56;39,09;39,11;12,42;20,89;6,06;"Até 5 mil"
2412401;"RN";"São José do Seridó";31,74;22,25;10,33;13,87;4,79;1,73;"Até 5 mil"
4318614;"RS";"São José do Sul";NA;2,42;NA;0,81;NA;0;"Até 5 mil"
4318622;"RS";"São José dos Ausentes";15,28;10,36;41,2;15,36;3,24;1,79;"Até 5 mil"
2514800;"PB";"São José dos Cordeiros";47,15;31,09;64,27;44,56;34,04;15,03;"Até 5 mil"
2210359;"PI";"São Lourenço do Piauí";41;28,73;95,61;68,51;41;23,48;"Até 5 mil"
2210375;"PI";"São Luis do Piauí";70,28;43,93;61,61;3,35;47,99;2,51;"Até 5 mil"
5220157;"GO";"São Luíz do Norte";24,55;13,46;32,05;9,51;9,09;1,62;"Até 5 mil"
4125555;"PR";"São Manoel do Paraná";16,92;8,44;40,51;9,09;6,67;1,3;"Até 5 mil"
4217105;"SC";"São Martinho";8,87;4,72;30,5;3,77;1,77;0,47;"Até 5 mil"
4319125;"RS";"São Martinho da Serra";15,64;10,34;78,83;36,45;13,36;4,43;"Até 5 mil"
2210383;"PI";"São Miguel da Baixa Grande";67,09;48,3;50;35,8;41,03;25;"Até 5 mil"
4217154;"SC";"São Miguel da Boa Vista";25;7,09;62,23;32,28;20,21;3,15;"Até 5 mil"
2807006;"SE";"São Miguel do Aleixo";63,89;52,19;58,12;35,02;42,95;18,86;"Até 5 mil"
2210391;"PI";"São Miguel do Fidalgo";56,7;49,11;65,63;35,21;41,74;20,71;"Até 5 mil"
5220264;"GO";"São Miguel do Passa Quatro";11,99;9,91;60,25;33,93;7,57;4,8;"Até 5 mil"
5220280;"GO";"São Patrício";13,19;6,35;57,14;23,81;8,24;0;"Até 5 mil"
5107404;"MT";"São Pedro da Cipa";29,86;15,01;15,4;6,54;6,87;1,21;"Até 5 mil"
4319356;"RS";"São Pedro da Serra";5,88;1,38;11,76;4,13;3,27;0;"Até 5 mil"
4319364;"RS";"São Pedro das Missões";NA;10;NA;14,62;NA;1,54;"Até 5 mil"
4217253;"SC";"São Pedro de Alcântara";9,32;5,26;16,4;1,44;2,89;0,48;"Até 5 mil"
4319372;"RS";"São Pedro do Butiá";2,61;2,82;2,61;0;0;0;"Até 5 mil"
4125902;"PR";"São Pedro do Paraná";25,8;11,24;28,27;22,49;8,13;4,14;"Até 5 mil"
2111573;"MA";"São Pedro dos Crentes";36,25;30,43;63,28;40,51;23,75;11,86;"Até 5 mil"
1720259;"TO";"São Salvador do Tocantins";43,1;20,71;64,05;23,62;32,62;7,44;"Até 5 mil"
3164407;"MG";"São Sebastião da Bela Vista";27,18;15,04;15,15;6,42;5,39;3,1;"Até 5 mil"
3164431;"MG";"São Sebastião da Vargem Alegre";23,26;10,36;53,82;33,33;9,38;4,95;"Até 5 mil"
3164803;"MG";"São Sebastião do Rio Preto";26,58;14,62;56,33;35,38;20,89;3,85;"Até 5 mil"
3164902;"MG";"São Sebastião do Rio Verde";11,39;7,95;48,1;15,89;5,7;1,32;"Até 5 mil"
1720309;"TO";"São Sebastião do Tocantins";51,2;33,52;38,12;20,83;24,86;7,2;"Até 5 mil"
2515203;"PB";"São Sebastião do Umbuzeiro";56,04;28,75;30,96;32,59;20,12;12,46;"Até 5 mil"
4319703;"RS";"São Valentim";15,24;9,14;57,06;36;10,53;7,43;"Até 5 mil"
4319711;"RS";"São Valentim do Sul";6,45;0,93;37,9;8,33;3,23;0;"Até 5 mil"
1720499;"TO";"São Valério";31,48;23,52;48,19;27,25;18,83;14,51;"Até 5 mil"
4319737;"RS";"São Valério do Sul";40,64;32,79;18,13;0,81;6,43;0;"Até 5 mil"
4319752;"RS";"São Vendelino";2,67;0;8;0,87;1,33;0;"Até 5 mil"
3551207;"SP";"Sarutaiá";15,07;12,94;14,11;0,97;3,83;0;"Até 5 mil"
3551306;"SP";"Sebastianópolis do Sul";4,55;6;1,14;3;0;0;"Até 5 mil"
2210623;"PI";"Sebastião Barros";46,94;33,93;87,28;61,83;43,8;24,55;"Até 5 mil"
2210631;"PI";"Sebastião Leal";45,06;26,74;71,19;26,97;35,39;7,87;"Até 5 mil"
4320230;"RS";"Sede Nova";11,11;8,49;43,21;14,15;5,25;3,77;"Até 5 mil"
4320305;"RS";"Selbach";9,55;4,64;32,91;3,97;2,01;0,33;"Até 5 mil"
3165560;"MG";"Sem-Peixe";31,41;11,17;53,07;41,34;15,88;3,91;"Até 5 mil"
3165602;"MG";"Senador Cortes";25,33;11,22;30,22;17,86;10,67;3,57;"Até 5 mil"
2413201;"RN";"Senador Georgino Avelino";52,49;41,07;7,38;0,82;5,21;0;"Até 5 mil"
3165800;"MG";"Senador José Bento";8,98;2,27;67,66;19,32;5,99;1,14;"Até 5 mil"
3165909;"MG";"Senador Modestino Gonçalves";44,28;32,31;67,65;49,86;35,13;19,5;"Até 5 mil"
4320321;"RS";"Senador Salgado Filho";12,82;1,63;64,1;4,89;9,89;0;"Até 5 mil"
3166105;"MG";"Senhora do Porto";42,54;30,42;62,19;44,88;27,36;16,57;"Até 5 mil"
4320453;"RS";"Sério";18,42;12,96;77,19;24,07;16,23;4,63;"Até 5 mil"
3166402;"MG";"Seritinga";17,93;7,69;17,93;16,15;7,07;3,08;"Até 5 mil"
4217550;"SC";"Serra Alta";12,69;3,72;56,5;24,19;11,48;0,93;"Até 5 mil"
3166501;"MG";"Serra Azul de Minas";54,55;39,68;57,38;52,38;37,7;22,22;"Até 5 mil"
2515609;"PB";"Serra da Raiz";56,84;41,29;34,43;21,61;22,17;10,65;"Até 5 mil"
3166600;"MG";"Serra da Saudade";21,13;8,47;42,25;10,17;8,45;1,69;"Até 5 mil"
1600055;"AP";"Serra do Navio";20;11,96;36,81;9,19;10,76;2,6;"Até 5 mil"
2515708;"PB";"Serra Grande";66,76;33,45;61,41;39,72;48,45;16,03;"Até 5 mil"
5107883;"MT";"Serra Nova Dourada";NA;9,45;NA;33,86;NA;3,15;"Até 5 mil"
3166956;"MG";"Serranópolis de Minas";43,66;27,8;42,2;50,24;26,2;16,34;"Até 5 mil"
4126355;"PR";"Serranópolis do Iguaçu";8,27;4,25;24,56;4,58;0,75;0,98;"Até 5 mil"
3167004;"MG";"Serranos";34,58;27,07;19,16;24,81;2,8;6,77;"Até 5 mil"
2413557;"RN";"Serrinha dos Pintos";45,75;35,06;52,18;7,27;30,8;5,71;"Até 5 mil"
2515930;"PB";"Sertãozinho";52,91;33,08;28,1;20,55;21,52;11,78;"Até 5 mil"
4320578;"RS";"Sete de Setembro";5,62;0,74;26,4;0;1,69;0;"Até 5 mil"
4320602;"RS";"Severiano de Almeida";5,95;7,24;49,58;22,62;3,97;2,71;"Até 5 mil"
4320651;"RS";"Silveira Martins";12,23;5,48;22,34;2,74;4,79;0;"Até 5 mil"
3167301;"MG";"Silveirânia";19,05;5,07;22,86;30,43;6,19;1,45;"Até 5 mil"
3167509;"MG";"Simão Pereira";21,35;17,2;26,69;19,35;7,83;2,15;"Até 5 mil"
5220702;"GO";"Sítio d'Abadia";52,05;31,5;40,06;37,8;21,77;16,14;"Até 5 mil"
2210904;"PI";"Socorro do Piauí";59,41;35,19;68;43,06;46,22;20,14;"Até 5 mil"
2516151;"PB";"Sossêgo";67,94;37,68;42,65;38,55;30,88;15,65;"Até 5 mil"
1720853;"TO";"Sucupira";31,43;15,03;48,57;33,53;19,43;4,05;"Até 5 mil"
2111953;"MA";"Sucupira do Riachão";54,18;53,22;47,91;13,26;26,21;6,04;"Até 5 mil"
4217758;"SC";"Sul Brasil";16,16;17,68;71,95;27,62;10,98;9,39;"Até 5 mil"
4126652;"PR";"Sulina";19,16;8,37;54,33;28,9;11,29;3,42;"Até 5 mil"
3552551;"SP";"Suzanápolis";14,29;6,74;17,86;30,34;2,78;2,25;"Até 5 mil"
4320859;"RS";"Tabaí";15,25;6,36;41,06;7,27;6,45;1,52;"Até 5 mil"
2413805;"RN";"Taboleiro Grande";57,45;25,34;26,38;21,27;21,7;8,6;"Até 5 mil"
3167905;"MG";"Tabuleiro";26,83;13,87;19,29;20,8;6,65;2,19;"Até 5 mil"
1720937;"TO";"Taipas do Tocantins";39,85;32,44;33,72;14,22;21,84;8,44;"Até 5 mil"
1720978;"TO";"Talismã";20,45;18,83;37,92;41,42;10,41;8,79;"Até 5 mil"
4126702;"PR";"Tamboara";13,73;7;16,06;9,62;1,04;1,46;"Até 5 mil"
2210953;"PI";"Tamboril do Piauí";62,43;35,99;52,82;42,56;39,27;20,07;"Até 5 mil"
2210979;"PI";"Tanque do Piauí";53,29;32,68;79,24;5,06;44,98;0,39;"Até 5 mil"
3168051;"MG";"Taparuba";26,95;12,82;40,23;27,78;12,11;4,7;"Até 5 mil"
3168101;"MG";"Tapira";8,46;5,11;30,82;28,43;3,02;1,28;"Até 5 mil"
3168200;"MG";"Tapiraí";19,59;13,28;33,51;23,44;7,73;0,78;"Até 5 mil"
3168309;"MG";"Taquaraçu de Minas";26,7;17,61;64,99;36,79;23,43;10,69;"Até 5 mil"
3553658;"SP";"Taquaral";14,89;4,39;6,11;3,9;0,76;0,49;"Até 5 mil"
5221007;"GO";"Taquaral de Goiás";18,81;4,86;40;19,46;12,84;1,08;"Até 5 mil"
4321329;"RS";"Taquaruçu do Sul";15,79;11,29;66,54;2,15;12,03;1,61;"Até 5 mil"
5007976;"MS";"Taquarussu";20,9;11,76;36,12;18,58;7,76;1,86;"Até 5 mil"
1101559;"RO";"Teixeirópolis";21,63;8,37;82,51;63,4;19,83;6,7;"Até 5 mil"
3554201;"SP";"Tejupá";28,97;21,7;36,01;25,73;10,41;5,82;"Até 5 mil"
2807303;"SE";"Telha";50,41;31,71;4,68;4,18;1,93;1,74;"Até 5 mil"
2516755;"PB";"Tenório";53,05;42,53;75,61;37,93;47,87;20,31;"Até 5 mil"
5221080;"GO";"Teresina de Goiás";42,03;22,56;32,14;34,26;23,35;13,09;"Até 5 mil"
5108105;"MT";"Tesouro";14,56;9,76;32,28;27,87;7,91;2,44;"Até 5 mil"
2411056;"RN";"Tibau";50,53;28,14;15;8,47;7,37;4,1;"Até 5 mil"
4217956;"SC";"Tigrinhos";16,57;6,67;66,85;9,52;13,81;1,9;"Até 5 mil"
2414308;"RN";"Timbaúba dos Batistas";45,91;33,75;15;1,25;10,45;0,63;"Até 5 mil"
3554607;"SP";"Timburi";18,47;6,15;37,35;10,26;7,23;0;"Até 5 mil"
4321469;"RS";"Tio Hugo";NA;4,17;NA;5,21;NA;0;"Até 5 mil"
3169059;"MG";"Tocos do Moji";8,26;6,9;59,59;8,87;5,6;1,97;"Até 5 mil"
5108204;"MT";"Torixoréu";13,22;8,37;26,87;22,05;3,08;2,28;"Até 5 mil"
4321493;"RS";"Toropi";10,21;1,99;76,6;11,26;8,51;1,99;"Até 5 mil"
3554656;"SP";"Torre de Pedra";15,23;3,51;9,14;2,92;0,51;0;"Até 5 mil"
3554755;"SP";"Trabiju";21,29;15,75;7,74;6,3;0,65;2,36;"Até 5 mil"
