"Codigo";"UF";"Municipio";"Analf_2000";"Analf_2010";"Inadequado_2000";"Inadequado_2010";"AnalfEInadequado_2000";"AnalfEInadequado_2010";"Classe"
3502606;"SP";"Aparecida d'Oeste";11;5,84;28,61;16,34;2,2;1,56;"Até 5 mil"
5201504;"GO";"Aporé";22,07;11,5;47,14;17,65;8,72;2,94;"Até 5 mil"
4201273;"SC";"Arabutã";7,06;3,96;62,65;5,61;4,71;0,66;"Até 5 mil"
3103207;"MG";"Araçaí";17,36;14,37;19,01;29,34;5,37;4,79;"Até 5 mil"
3103306;"MG";"Aracitaba";25,14;12,5;21,23;13,39;6,7;5,36;"Até 5 mil"
5201603;"GO";"Araçu";20,86;11,79;18,23;8,94;2,88;1,22;"Até 5 mil"
5101001;"MT";"Araguaiana";19,65;11,94;44,33;34,7;8,56;4,48;"Até 5 mil"
5101209;"MT";"Araguainha";25,63;2,35;16,88;5,88;6,25;0;"Até 5 mil"
4300851;"RS";"Arambaré";18,65;9,4;23,32;7,26;6,22;0,85;"Até 5 mil"
3103603;"MG";"Arantina";20,26;7,49;3,92;1,07;0,33;0,53;"Até 5 mil"
3503158;"SP";"Arapeí";16,19;4,37;30,58;7,77;4,68;0,49;"Até 5 mil"
3103801;"MG";"Arapuá";4,7;1,7;30,77;15,34;2,14;0,57;"Até 5 mil"
4101655;"PR";"Arapuã";25;11,16;51,82;34,66;12,05;3,19;"Até 5 mil"
4300877;"RS";"Araricá";7,4;3,74;1,9;1,5;0,19;0;"Até 5 mil"
3503356;"SP";"Arco-Íris";12,85;5,65;54,19;20,16;7,82;1,61;"Até 5 mil"
2501153;"PB";"Areia de Baraúnas";63,32;47,95;44,98;32,75;27,07;15,79;"Até 5 mil"
3503505;"SP";"Areias";20,75;10,59;28,04;17,65;7,06;3,82;"Até 5 mil"
5202353;"GO";"Arenópolis";18,42;7,2;33,95;8,47;8,42;1,27;"Até 5 mil"
3104403;"MG";"Argirita";19,49;12,71;31,63;18,23;8,95;4,42;"Até 5 mil"
3104452;"MG";"Aricanduva";39,47;23,74;75,4;56,51;31,33;16,18;"Até 5 mil"
4101853;"PR";"Ariranha do Ivaí";25,59;12,09;60,63;39,56;16,14;3,3;"Até 5 mil"
2200954;"PI";"Aroeiras do Itaim";NA;54,39;NA;30,99;NA;16,96;"Até 5 mil"
2201002;"PI";"Arraial";61,22;41,63;66,34;29,19;48,75;14,25;"Até 5 mil"
