"Codigo";"UF";"Municipio";"ValMedio";"Q2";"Mediana";"Q3";"Classe"
5104500;"MT";"Indiavaí";422;170;283;503;"Até 5 mil"
3130804;"MG";"Ingaí";543;223;346;533;"Até 5 mil"
2607109;"PE";"Ingazeira";242;75;162;310;"Até 5 mil"
4310413;"RS";"Inhacorá";444;170;311;510;"Até 5 mil"
3520806;"SP";"Inúbia Paulista";558;293;443;635;"Até 5 mil"
4207577;"SC";"Iomerê";807;467;667;1000;"Até 5 mil"
3131406;"MG";"Ipiaçu";496;238;378;542;"Até 5 mil"
3521150;"SP";"Ipiguá";614;300;465;686;"Até 5 mil"
4207601;"SC";"Ipira";610;300;500;700;"Até 5 mil"
5210158;"GO";"Ipiranga de Goiás";431;200;340;510;"Até 5 mil"
4310462;"RS";"Ipiranga do Sul";1152;455;743;1405;"Até 5 mil"
3521200;"SP";"Iporanga";352;119;225;425;"Até 5 mil"
2404804;"RN";"Ipueira";367;174;279;494;"Até 5 mil"
1709807;"TO";"Ipueiras";320;128;239;375;"Até 5 mil"
4110656;"PR";"Iracema do Oeste";466;202;348;555;"Até 5 mil"
4207759;"SC";"Iraceminha";540;255;420;646;"Até 5 mil"
4207858;"SC";"Irati";514;220;404;621;"Até 5 mil"
5210307;"GO";"Israelândia";487;204;350;518;"Até 5 mil"
2803104;"SE";"Itabi";266;90;170;330;"Até 5 mil"
3132008;"MG";"Itacambira";275;102;208;375;"Até 5 mil"
2607406;"PE";"Itacuruba";261;102;184;325;"Até 5 mil"
4310553;"RS";"Itacurubi";419;146;267;510;"Até 5 mil"
4110904;"PR";"Itaguajé";486;222;353;555;"Até 5 mil"
5210562;"GO";"Itaguari";479;250;386;510;"Até 5 mil"
3522000;"SP";"Itaju";529;267;450;640;"Até 5 mil"
3132602;"MG";"Itamarati de Minas";492;255;387;565;"Até 5 mil"
3132800;"MG";"Itambé do Mato Dentro";339;143;255;433;"Até 5 mil"
3522158;"SP";"Itaóca";335;117;216;403;"Até 5 mil"
3522653;"SP";"Itapirapuã Paulista";293;102;171;333;"Até 5 mil"
1710904;"TO";"Itapiratins";355;107;213;384;"Até 5 mil"
1711100;"TO";"Itaporã do Tocantins";486;150;253;398;"Até 5 mil"
4310579;"RS";"Itapuca";480;200;362;600;"Até 5 mil"
3523008;"SP";"Itapura";484;228;370;585;"Até 5 mil"
4310652;"RS";"Itati";480;192;356;525;"Até 5 mil"
4310702;"RS";"Itatiba do Sul";481;180;370;573;"Até 5 mil"
5104559;"MT";"Itaúba";553;204;335;530;"Até 5 mil"
1600253;"AP";"Itaubal";217;64;114;225;"Até 5 mil"
4111308;"PR";"Itaúna do Sul";430;204;340;510;"Até 5 mil"
3134509;"MG";"Itutinga";539;192;340;575;"Até 5 mil"
4111605;"PR";"Ivatuba";628;300;470;720;"Até 5 mil"
5211602;"GO";"Ivolândia";465;225;340;510;"Até 5 mil"
4310751;"RS";"Ivorá";608;260;445;700;"Até 5 mil"
4208609;"SC";"Jaborá";674;308;510;785;"Até 5 mil"
4111704;"PR";"Jaboti";491;203;340;510;"Até 5 mil"
4310850;"RS";"Jaboticaba";412;133;273;510;"Até 5 mil"
4310876;"RS";"Jacuizinho";487;128;270;510;"Até 5 mil"
4310900;"RS";"Jacutinga";604;302;504;708;"Até 5 mil"
3135001;"MG";"Jaguaraçu";455;216;340;530;"Até 5 mil"
3135308;"MG";"Japaraíba";508;255;412;600;"Até 5 mil"
4112306;"PR";"Japira";473;185;318;510;"Até 5 mil"
4311122;"RS";"Jaquirana";389;155;263;508;"Até 5 mil"
2405504;"RN";"Jardim de Angicos";225;67;153;283;"Até 5 mil"
2205250;"PI";"Jardim do Mulato";200;55;136;255;"Até 5 mil"
4112603;"PR";"Jardim Olinda";462;200;342;551;"Até 5 mil"
4208955;"SC";"Jardinópolis";560;270;460;717;"Até 5 mil"
4311130;"RS";"Jari";431;146;267;510;"Até 5 mil"
5005103;"MS";"Jateí";558;200;340;534;"Até 5 mil"
2205276;"PI";"Jatobá do Piauí";216;69;159;306;"Até 5 mil"
1711506;"TO";"Jaú do Tocantins";451;128;253;470;"Até 5 mil"
5212006;"GO";"Jaupaci";472;200;340;510;"Até 5 mil"
3525409;"SP";"Jeriquara";500;225;383;583;"Até 5 mil"
2205300;"PI";"Jerumenha";266;102;193;340;"Até 5 mil"
3135902;"MG";"Jesuânia";474;170;303;510;"Até 5 mil"
5212055;"GO";"Jesúpolis";403;170;284;507;"Até 5 mil"
2205359;"PI";"João Costa";192;56;128;255;"Até 5 mil"
2405900;"RN";"João Dias";199;33;128;255;"Até 5 mil"
3525607;"SP";"João Ramalho";537;255;402;625;"Até 5 mil"
3136405;"MG";"Joaquim Felício";383;139;255;437;"Até 5 mil"
4209151;"SC";"José Boiteux";545;228;437;693;"Até 5 mil"
3136520;"MG";"José Gonçalves de Minas";299;136;230;367;"Até 5 mil"
3136553;"MG";"José Raydan";293;107;204;356;"Até 5 mil"
3136579;"MG";"Josenópolis";221;85;162;287;"Até 5 mil"
1711803;"TO";"Juarina";268;100;178;318;"Até 5 mil"
2205516;"PI";"Juazeiro do Piauí";206;60;146;255;"Até 5 mil"
3525805;"SP";"Júlio Mesquita";447;204;340;517;"Até 5 mil"
3525854;"SP";"Jumirim";652;330;510;762;"Até 5 mil"
2105658;"MA";"Junco do Maranhão";209;75;138;255;"Até 5 mil"
2406155;"RN";"Jundiá";269;102;183;306;"Até 5 mil"
2703908;"AL";"Jundiá";238;92;163;262;"Até 5 mil"
4112900;"PR";"Jundiaí do Sul";433;167;287;510;"Até 5 mil"
4209177;"SC";"Jupiá";574;243;400;637;"Até 5 mil"
3136801;"MG";"Juramento";302;133;234;380;"Até 5 mil"
2205532;"PI";"Jurema";193;40;128;255;"Até 5 mil"
4113106;"PR";"Kaloré";481;250;383;528;"Até 5 mil"
4209201;"SC";"Lacerdópolis";789;383;628;987;"Até 5 mil"
2918704;"BA";"Lafaiete Coutinho";256;90;170;324;"Até 5 mil"
2508109;"PB";"Lagoa";231;85;170;308;"Até 5 mil"
4311239;"RS";"Lagoa Bonita do Sul";497;182;375;655;"Até 5 mil"
2406403;"RN";"Lagoa de Velhos";244;92;177;340;"Até 5 mil"
2205565;"PI";"Lagoa do Barro do Piauí";161;28;97;213;"Até 5 mil"
2205581;"PI";"Lagoa do Piauí";231;73;163;277;"Até 5 mil"
2205599;"PI";"Lagoa do Sítio";187;41;122;255;"Até 5 mil"
1711951;"TO";"Lagoa do Tocantins";223;62;140;256;"Até 5 mil"
3137304;"MG";"Lagoa dos Patos";290;129;211;353;"Até 5 mil"
4311270;"RS";"Lagoa dos Três Cantos";903;383;578;1020;"Até 5 mil"
5212253;"GO";"Lagoa Santa";694;262;467;750;"Até 5 mil"
3526308;"SP";"Lagoinha";490;202;337;510;"Até 5 mil"
