"Codigo";"UF";"Municipio";"Total";"Ate70R$";"Ate1/4";"Ate1/2";"Ate60%";"Classe"
4200051;"SC";"Abdon Batista";710;11,27;27,75;54,79;48,87;"Até 5 mil"
1700251;"TO";"Abreulândia";708;23,31;39,12;73,16;61,86;"Até 5 mil"
3100401;"MG";"Acaiaca";805;7,95;26,83;59,25;48,7;"Até 5 mil"
4300034;"RS";"Aceguá";664;9,94;20,33;48,49;42,32;"Até 5 mil"
5200159;"GO";"Adelândia";237;2,53;13,08;43,88;32,91;"Até 5 mil"
3500204;"SP";"Adolfo";92;NA;9,78;26,09;17,39;"Até 5 mil"
4200309;"SC";"Agronômica";1043;NA;3,74;20,52;15,34;"Até 5 mil"
3100708;"MG";"Água Comprida";200;2,5;5,5;30,5;23;"Até 5 mil"
5200209;"GO";"Água Limpa";545;0,18;3,85;28,26;16,51;"Até 5 mil"
2400406;"RN";"Água Nova";404;40,59;61,88;80,94;75,74;"Até 5 mil"
4300059;"RS";"Água Santa";199;NA;8,04;29,15;22,11;"Até 5 mil"
3100807;"MG";"Aguanil";709;0,42;14,53;55,57;41,33;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";NA;NA;NA;NA;NA;"Até 5 mil"
4200556;"SC";"Águas Frias";596;1,34;5,87;28,69;22,32;"Até 5 mil"
2900603;"BA";"Aiquara";1193;12,41;39,31;75,69;69,07;"Até 5 mil"
3101300;"MG";"Alagoa";520;11,73;29,04;60,58;52,31;"Até 5 mil"
3500758;"SP";"Alambari";337;9,5;16,62;51,34;39,17;"Até 5 mil"
3101409;"MG";"Albertina";421;NA;5,23;27,79;16,63;"Até 5 mil"
5000252;"MS";"Alcinópolis";1392;0,14;2,08;27,3;17,31;"Até 5 mil"
4300455;"RS";"Alegria";626;3,99;14,06;36,74;28,91;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";395;1,01;4,05;23,8;17,97;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";879;25,48;45,62;76,45;68,15;"Até 5 mil"
2400604;"RN";"Almino Afonso";1131;29,53;45,98;73,12;65,87;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";357;1,4;5,6;23,53;16,81;"Até 5 mil"
5200506;"GO";"Aloândia";251;NA;4,78;22,31;17,13;"Até 5 mil"
3500907;"SP";"Altair";5;NA;NA;NA;0;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";1825;9,37;27,95;68,22;59,67;"Até 5 mil"
3501103;"SP";"Alto Alegre";616;1,14;6,66;27,11;20,13;"Até 5 mil"
4300554;"RS";"Alto Alegre";77;9,09;14,29;27,27;22,08;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";425;0,71;7,53;28,24;22,35;"Até 5 mil"
4300570;"RS";"Alto Feliz";83;3,61;7,23;20,48;7,23;"Até 5 mil"
5200555;"GO";"Alto Horizonte";614;0,33;11,24;44,46;35,34;"Até 5 mil"
4128625;"PR";"Alto Paraíso";841;0,48;4,16;30,68;16,88;"Até 5 mil"
3102209;"MG";"Alvarenga";1746;22,62;42,5;72,85;66,55;"Até 5 mil"
3501202;"SP";"Álvares Florence";581;0,86;3,1;29,78;15,66;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";181;3,31;17,13;49,17;34,25;"Até 5 mil"
3501509;"SP";"Alvinlândia";129;NA;10,08;42,64;40,31;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";1611;25,39;56,36;78,9;73,93;"Até 5 mil"
5200829;"GO";"Amaralina";1580;8,86;33,61;69,49;62,53;"Até 5 mil"
5200902;"GO";"Amorinópolis";896;1,9;7,25;26,34;18,75;"Até 5 mil"
2500734;"PB";"Amparo";959;29,2;50,36;75,81;70,49;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";345;36,81;58,26;84,06;79,42;"Até 5 mil"
4101051;"PR";"Anahy";606;NA;14,19;42,74;35,15;"Até 5 mil"
3502002;"SP";"Analândia";597;NA;11,89;38,69;29,98;"Até 5 mil"
4300661;"RS";"André da Rocha";71;NA;14,08;26,76;26,76;"Até 5 mil"
1701051;"TO";"Angico";661;31,16;48,11;82;75,49;"Até 5 mil"
4101150;"PR";"Ângulo";270;NA;1,85;32,22;19,26;"Até 5 mil"
5201207;"GO";"Anhanguera";63;NA;7,94;46,03;46,03;"Até 5 mil"
3502408;"SP";"Anhumas";445;1,12;3,82;28,76;20,9;"Até 5 mil"
4201109;"SC";"Anitápolis";204;6,37;20,59;35,78;27,45;"Até 5 mil"
2200806;"PI";"Antônio Almeida";439;35,54;50,57;74,26;67,65;"Até 5 mil"
3103108;"MG";"Antônio Prado de Minas";288;NA;11,46;55,21;51,04;"Até 5 mil"
5201454;"GO";"Aparecida do Rio Doce";254;NA;1,57;22,83;9,84;"Até 5 mil"
1701101;"TO";"Aparecida do Rio Negro";910;8,57;27,36;67,14;55,27;"Até 5 mil"
3502606;"SP";"Aparecida d'Oeste";674;0,15;9,35;37,98;30,42;"Até 5 mil"
5201504;"GO";"Aporé";739;NA;1,08;26,12;15,7;"Até 5 mil"
4201273;"SC";"Arabutã";359;8,36;11,42;27,02;23,68;"Até 5 mil"
3103207;"MG";"Araçaí";443;NA;16,25;54,63;41,08;"Até 5 mil"
3103306;"MG";"Aracitaba";379;7,92;24,01;62,8;55,41;"Até 5 mil"
5201603;"GO";"Araçu";301;2,99;19,6;48,17;43,52;"Até 5 mil"
5101001;"MT";"Araguaiana";946;0,95;5,29;38,27;25,9;"Até 5 mil"
5101209;"MT";"Araguainha";133;NA;5,26;36,09;24,06;"Até 5 mil"
4300851;"RS";"Arambaré";237;1,27;6,33;41,35;28,69;"Até 5 mil"
3103603;"MG";"Arantina";131;3,05;14,5;47,33;30,53;"Até 5 mil"
3503158;"SP";"Arapeí";177;5,65;11,3;62,71;48,59;"Até 5 mil"
3103801;"MG";"Arapuá";601;2,66;10,65;34,28;25,96;"Até 5 mil"
4101655;"PR";"Arapuã";1077;11,33;29,06;56,92;48,65;"Até 5 mil"
4300877;"RS";"Araricá";47;NA;12,77;21,28;21,28;"Até 5 mil"
3503356;"SP";"Arco-Íris";502;1;12,75;38,05;28,88;"Até 5 mil"
2501153;"PB";"Areia de Baraúnas";889;11,02;28,23;61,42;53,54;"Até 5 mil"
3503505;"SP";"Areias";609;3,61;22;61,25;53,53;"Até 5 mil"
5202353;"GO";"Arenópolis";323;2,17;8,67;43,65;30,65;"Até 5 mil"
3104403;"MG";"Argirita";572;0,52;9,79;45,8;35,49;"Até 5 mil"
3104452;"MG";"Aricanduva";2401;28,95;47,65;75,18;69,01;"Até 5 mil"
4101853;"PR";"Ariranha do Ivaí";1126;6,31;18,12;46,09;38,9;"Até 5 mil"
2200954;"PI";"Aroeiras do Itaim";724;24,72;46,27;79,56;70,86;"Até 5 mil"
2201002;"PI";"Arraial";1286;38,96;58,09;82,81;75,82;"Até 5 mil"
4301073;"RS";"Arroio do Padre";559;4,29;15,03;30,23;24,87;"Até 5 mil"
4201604;"SC";"Arroio Trinta";290;1,03;4,48;24,14;18,62;"Até 5 mil"
4201653;"SC";"Arvoredo";957;2,61;6,48;21,63;17,55;"Até 5 mil"
3503950;"SP";"Aspásia";350;NA;6,86;27,14;24,86;"Até 5 mil"
2501351;"PB";"Assunção";732;17,21;39,75;75,41;70,36;"Até 5 mil"
4102208;"PR";"Atalaia";297;NA;2,69;26,94;19,87;"Até 5 mil"
4201802;"SC";"Atalanta";367;3,54;17,98;39,24;32,97;"Até 5 mil"
3104809;"MG";"Augusto de Lima";1497;0,8;19,04;57,38;47,09;"Até 5 mil"
4301552;"RS";"Áurea";466;3,65;12,66;27,9;25,75;"Até 5 mil"
5202601;"GO";"Aurilândia";481;NA;7,9;34,72;20,17;"Até 5 mil"
1702703;"TO";"Aurora do Tocantins";739;14,75;26,66;60,08;46,55;"Até 5 mil"
3504305;"SP";"Avaí";548;NA;15,15;47,99;38,5;"Até 5 mil"
5202809;"GO";"Avelinópolis";226;NA;7,52;42,48;23,45;"Até 5 mil"
3504701;"SP";"Balbinos";86;NA;4,65;20,93;20,93;"Até 5 mil"
5203104;"GO";"Baliza";1692;14,72;37,17;65,48;57,62;"Até 5 mil"
3105202;"MG";"Bandeira";2027;15,24;41,29;70,84;64,04;"Até 5 mil"
4202081;"SC";"Bandeirante";1215;5,51;14,4;35,14;29,3;"Até 5 mil"
1703057;"TO";"Bandeirantes do Tocantins";869;3,57;22,78;59,03;45,34;"Até 5 mil"
1501253;"PA";"Bannach";1629;15,53;31,8;58,87;52,24;"Até 5 mil"
3505005;"SP";"Barão de Antonina";218;3,67;14,22;47,25;39,91;"Até 5 mil"
2501534;"PB";"Baraúna";977;32,34;48,11;78,61;71,24;"Até 5 mil"
2401503;"RN";"Barcelona";823;29,65;48,72;77,89;72,05;"Até 5 mil"
4202099;"SC";"Barra Bonita";531;3,58;15,25;36,35;31,64;"Até 5 mil"
2201176;"PI";"Barra D'Alcântara";274;36,86;50,36;72,63;70,07;"Até 5 mil"
4301859;"RS";"Barra do Guarita";674;9,64;27,89;53,71;46,14;"Até 5 mil"
4102703;"PR";"Barra do Jacaré";432;0,93;9,95;32,64;27,08;"Até 5 mil"
1703073;"TO";"Barra do Ouro";1216;35,44;52,71;80,18;73,52;"Até 5 mil"
4301875;"RS";"Barra do Quaraí";392;2,81;11,22;64,54;53,57;"Até 5 mil"
4301925;"RS";"Barra do Rio Azul";312;2,88;4,49;19,87;16,03;"Até 5 mil"
4301958;"RS";"Barra Funda";21;NA;NA;38,1;38,1;"Até 5 mil"
2201309;"PI";"Barreiras do Piauí";601;46,76;64,06;88,19;83,69;"Até 5 mil"
4102752;"PR";"Bela Vista da Caroba";1852;10,48;26,3;49,24;44,55;"Até 5 mil"
2201556;"PI";"Bela Vista do Piauí";324;32,1;54,94;81,48;76,54;"Até 5 mil"
2700805;"AL";"Belém";1700;26,41;44,35;73,53;66,29;"Até 5 mil"
2201572;"PI";"Belém do Piauí";1193;34,03;54,74;84,91;78,12;"Até 5 mil"
3106101;"MG";"Belmiro Braga";578;0,52;20,42;56,57;41,35;"Até 5 mil"
4202156;"SC";"Belmonte";621;4,83;14,01;32,37;27,21;"Até 5 mil"
4302055;"RS";"Benjamin Constant do Sul";206;23,79;36,41;59,22;51,94;"Até 5 mil"
3506201;"SP";"Bento de Abreu";52;NA;NA;44,23;23,08;"Até 5 mil"
3106655;"MG";"Berizal";1186;17,54;34,15;68,63;62,48;"Até 5 mil"
2502052;"PB";"Bernardino Batista";1705;43,17;61,76;81,82;76,48;"Até 5 mil"
1703206;"TO";"Bernardo Sayão";1475;4,95;23,46;63,53;52,14;"Até 5 mil"
3106606;"MG";"Bertópolis";1485;22,02;46,26;74,61;66,26;"Até 5 mil"
3106804;"MG";"Bias Fortes";985;9,44;24,87;60,3;52,59;"Até 5 mil"
3107000;"MG";"Biquinhas";866;NA;1,5;28,52;17,67;"Até 5 mil"
4103008;"PR";"Boa Esperança";815;4,17;13,5;40,12;29,45;"Até 5 mil"
4103024;"PR";"Boa Esperança do Iguaçu";804;6,59;17,54;43,41;35,95;"Até 5 mil"
4302154;"RS";"Boa Vista das Missões";126;NA;3,17;22,22;9,52;"Até 5 mil"
4302220;"RS";"Boa Vista do Cadeado";573;2,62;10,3;32,11;20,77;"Até 5 mil"
4302238;"RS";"Boa Vista do Incra";434;2,07;6,68;24,19;19,59;"Até 5 mil"
4302253;"RS";"Boa Vista do Sul";115;7,83;11,3;16,52;11,3;"Até 5 mil"
2201804;"PI";"Bocaina";234;23,08;32,91;52,14;46,15;"Até 5 mil"
4202438;"SC";"Bocaina do Sul";1093;3,29;17,11;50,41;41,26;"Até 5 mil"
2401651;"RN";"Bodó";423;32,86;45,63;77,54;68,09;"Até 5 mil"
4202503;"SC";"Bom Jardim da Serra";1080;0,74;14,26;44,17;31,3;"Até 5 mil"
2502201;"PB";"Bom Jesus";715;22,1;44,76;74,55;72,17;"Até 5 mil"
4202537;"SC";"Bom Jesus";546;11,9;20,88;43,41;34,98;"Até 5 mil"
3107604;"MG";"Bom Jesus da Penha";443;1,81;9,48;26,19;20,54;"Até 5 mil"
4202578;"SC";"Bom Jesus do Oeste";338;NA;6,51;18,64;13,61;"Até 5 mil"
4103156;"PR";"Bom Jesus do Sul";552;15,4;35,87;63,59;57,97;"Até 5 mil"
1703305;"TO";"Bom Jesus do Tocantins";804;12,31;31,97;65,92;55,97;"Até 5 mil"
4302378;"RS";"Bom Progresso";262;6,11;21,37;52,67;45,8;"Até 5 mil"
3507159;"SP";"Bom Sucesso de Itararé";122;9,02;34,43;77,87;65,57;"Até 5 mil"
4103222;"PR";"Bom Sucesso do Sul";822;5,84;13,87;37,35;30,17;"Até 5 mil"
5203575;"GO";"Bonópolis";1174;4,51;17,38;55,71;45,23;"Até 5 mil"
3507209;"SP";"Borá";97;NA;3,09;11,34;6,19;"Até 5 mil"
3507308;"SP";"Boracéia";234;NA;14,1;30,34;29,49;"Até 5 mil"
3507456;"SP";"Borebi";152;13,16;20,39;42,76;40,79;"Até 5 mil"
4202701;"SC";"Botuverá";108;NA;NA;15,74;8,33;"Até 5 mil"
4302584;"RS";"Bozano";267;NA;4,87;18,35;13,48;"Até 5 mil"
4202859;"SC";"Braço do Trombudo";69;NA;NA;17,39;8,7;"Até 5 mil"
4302600;"RS";"Braga";1004;21,02;37,45;60,06;52,79;"Até 5 mil"
3108701;"MG";"Brás Pires";1416;17,44;37,99;68,57;60,73;"Até 5 mil"
4103370;"PR";"Brasilândia do Sul";432;NA;5,32;35,88;26,39;"Até 5 mil"
1703602;"TO";"Brasilândia do Tocantins";231;9,09;22,51;58,44;49,78;"Até 5 mil"
5203609;"GO";"Brazabrantes";494;0,2;4,45;30,77;24,09;"Até 5 mil"
3507753;"SP";"Brejo Alegre";117;NA;NA;11,97;6,84;"Até 5 mil"
2201988;"PI";"Brejo do Piauí";2218;45,76;61;83,27;78,76;"Até 5 mil"
4302659;"RS";"Brochier";127;2,36;11,81;28,35;27,56;"Até 5 mil"
4202875;"SC";"Brunópolis";858;6,53;27,62;60,61;50,93;"Até 5 mil"
3109253;"MG";"Bugre";1243;6,19;26,23;63,64;53,82;"Até 5 mil"
5203939;"GO";"Buriti de Goiás";391;1,28;9,97;34,02;24,81;"Até 5 mil"
5203962;"GO";"Buritinópolis";948;17,3;33,65;69,73;61,92;"Até 5 mil"
3508207;"SP";"Buritizal";299;NA;NA;28,09;21,4;"Até 5 mil"
3508306;"SP";"Cabrália Paulista";430;3,02;20,7;56,05;39,07;"Até 5 mil"
3109600;"MG";"Cachoeira da Prata";NA;NA;NA;NA;NA;"Até 5 mil"
5204201;"GO";"Cachoeira de Goiás";226;NA;5,31;42,92;22,12;"Até 5 mil"
3109808;"MG";"Cachoeira Dourada";191;NA;2,09;32,98;26,18;"Até 5 mil"
1703826;"TO";"Cachoeirinha";260;18,85;48,46;78,46;68,08;"Até 5 mil"
2503407;"PB";"Cacimba de Areia";1587;26,4;43,35;72,21;65,72;"Até 5 mil"
4303202;"RS";"Cacique Doble";613;18,92;32,14;52,2;48,12;"Até 5 mil"
4103404;"PR";"Cafeara";276;NA;1,81;26,45;22,83;"Até 5 mil"
4103479;"PR";"Cafezal do Sul";751;2,26;9,99;35,82;25,97;"Até 5 mil"
3508900;"SP";"Caiabu";452;2,88;8,63;27,21;19,03;"Até 5 mil"
3110103;"MG";"Caiana";799;4,26;21,15;57,07;48,81;"Até 5 mil"
4303301;"RS";"Caibaté";72;NA;6,94;40,28;29,17;"Até 5 mil"
2401909;"RN";"Caiçara do Rio do Vento";325;27,38;57,23;87,08;82,46;"Até 5 mil"
2202075;"PI";"Cajazeiras do Piauí";815;51,29;65,52;83,56;81,6;"Até 5 mil"
2503753;"PB";"Cajazeirinhas";1307;41,09;59,53;88,45;81,56;"Até 5 mil"
3110202;"MG";"Cajuri";797;7,4;34,76;75,66;61,73;"Até 5 mil"
5204557;"GO";"Caldazinha";474;NA;8,44;32,7;26,58;"Até 5 mil"
4203154;"SC";"Calmon";728;16,21;36,68;63,19;56,04;"Até 5 mil"
3110400;"MG";"Camacho";708;4,24;24,15;53,67;42,8;"Até 5 mil"
4303558;"RS";"Camargo";33;21,21;21,21;36,36;21,21;"Até 5 mil"
3110806;"MG";"Campanário";822;2,31;34,67;76,03;64,72;"Até 5 mil"
4303673;"RS";"Campestre da Serra";319;2,82;11,29;30,41;22,26;"Até 5 mil"
5204607;"GO";"Campestre de Goiás";922;1,19;15,18;48,81;37,74;"Até 5 mil"
4103958;"PR";"Campina do Simão";2142;16,85;34,31;66,34;56,4;"Até 5 mil"
5204656;"GO";"Campinaçu";1247;6,01;18,93;57,5;46,59;"Até 5 mil"
2202117;"PI";"Campo Alegre do Fidalgo";3216;48,04;63,37;86,57;81,69;"Até 5 mil"
3111150;"MG";"Campo Azul";1069;26,85;52,67;78,95;70,63;"Até 5 mil"
4104055;"PR";"Campo Bonito";1045;2,78;17,32;49,38;40,96;"Até 5 mil"
4304101;"RS";"Campos Borges";837;8,84;22,1;43,97;37,75;"Até 5 mil"
3509809;"SP";"Campos Novos Paulista";843;2,14;12,34;41,76;34,28;"Até 5 mil"
3111705;"MG";"Canaã";2058;13,7;37,61;62,83;55,15;"Até 5 mil"
5102694;"MT";"Canabrava do Norte";1591;7,79;22,88;56,38;46,64;"Até 5 mil"
3509957;"SP";"Canas";58;NA;50;81,03;72,41;"Até 5 mil"
2202251;"PI";"Canavieira";1105;35,38;48,05;72,85;67,96;"Até 5 mil"
3510104;"SP";"Cândido Rodrigues";239;NA;2,09;15,06;12,97;"Até 5 mil"
2801108;"SE";"Canhoba";450;47,78;64,67;89,56;85,78;"Até 5 mil"
