"Codigo";"UF";"Municipio";"Total";"Taxa";"Classe"
4200051;"SC";"Abdon Batista";NA;NA;"Até 5 mil"
1700251;"TO";"Abreulândia";5;10,42;"Até 5 mil"
3100401;"MG";"Acaiaca";NA;NA;"Até 5 mil"
4300034;"RS";"Aceguá";3;3,66;"Até 5 mil"
5200159;"GO";"Adelândia";3;7,69;"Até 5 mil"
3500204;"SP";"Adolfo";1;1,56;"Até 5 mil"
4200309;"SC";"Agronômica";3;3;"Até 5 mil"
3100708;"MG";"Água Comprida";1;3,03;"Até 5 mil"
5200209;"GO";"Água Limpa";1;2,44;"Até 5 mil"
2400406;"RN";"Água Nova";5;7,81;"Até 5 mil"
4300059;"RS";"Água Santa";NA;NA;"Até 5 mil"
3100807;"MG";"Aguanil";NA;NA;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";3;10;"Até 5 mil"
4200556;"SC";"Águas Frias";NA;NA;"Até 5 mil"
2900603;"BA";"Aiquara";11;13,92;"Até 5 mil"
3101300;"MG";"Alagoa";2;3,92;"Até 5 mil"
3500758;"SP";"Alambari";1;1,11;"Até 5 mil"
3101409;"MG";"Albertina";2;5,26;"Até 5 mil"
5000252;"MS";"Alcinópolis";1;1,59;"Até 5 mil"
4300455;"RS";"Alegria";4;7,55;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";1;1,96;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";6;12,24;"Até 5 mil"
2400604;"RN";"Almino Afonso";12;13,79;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";NA;NA;"Até 5 mil"
5200506;"GO";"Aloândia";2;6,67;"Até 5 mil"
3500907;"SP";"Altair";2;3,64;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";2;2,5;"Até 5 mil"
3501103;"SP";"Alto Alegre";1;2;"Até 5 mil"
4300554;"RS";"Alto Alegre";1;4,55;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";NA;NA;"Até 5 mil"
4300570;"RS";"Alto Feliz";NA;NA;"Até 5 mil"
5200555;"GO";"Alto Horizonte";4;5,63;"Até 5 mil"
4128625;"PR";"Alto Paraíso";NA;NA;"Até 5 mil"
3102209;"MG";"Alvarenga";NA;NA;"Até 5 mil"
3501202;"SP";"Álvares Florence";NA;NA;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";3;6,38;"Até 5 mil"
3501509;"SP";"Alvinlândia";2;2,9;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";4;4,94;"Até 5 mil"
5200829;"GO";"Amaralina";4;7,14;"Até 5 mil"
5200902;"GO";"Amorinópolis";2;3,51;"Até 5 mil"
2500734;"PB";"Amparo";2;6,25;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";3;8,11;"Até 5 mil"
4101051;"PR";"Anahy";1;1,92;"Até 5 mil"
3502002;"SP";"Analândia";NA;NA;"Até 5 mil"
4300661;"RS";"André da Rocha";NA;NA;"Até 5 mil"
1701051;"TO";"Angico";6;7,69;"Até 5 mil"
4101150;"PR";"Ângulo";1;2,13;"Até 5 mil"
5201207;"GO";"Anhanguera";NA;NA;"Até 5 mil"
3502408;"SP";"Anhumas";3;4,84;"Até 5 mil"
4201109;"SC";"Anitápolis";3;5,56;"Até 5 mil"
2200806;"PI";"Antônio Almeida";5;9,8;"Até 5 mil"
3103108;"MG";"Antônio Prado de Minas";NA;NA;"Até 5 mil"
5201454;"GO";"Aparecida do Rio Doce";NA;NA;"Até 5 mil"
1701101;"TO";"Aparecida do Rio Negro";4;4,71;"Até 5 mil"
3502606;"SP";"Aparecida d'Oeste";NA;NA;"Até 5 mil"
5201504;"GO";"Aporé";NA;NA;"Até 5 mil"
4201273;"SC";"Arabutã";NA;NA;"Até 5 mil"
3103207;"MG";"Araçaí";2;5,26;"Até 5 mil"
3103306;"MG";"Aracitaba";NA;NA;"Até 5 mil"
5201603;"GO";"Araçu";NA;NA;"Até 5 mil"
5101001;"MT";"Araguaiana";NA;NA;"Até 5 mil"
5101209;"MT";"Araguainha";1;5,26;"Até 5 mil"
4300851;"RS";"Arambaré";2;2,6;"Até 5 mil"
3103603;"MG";"Arantina";1;2,13;"Até 5 mil"
3503158;"SP";"Arapeí";2;4,35;"Até 5 mil"
3103801;"MG";"Arapuá";1;2,44;"Até 5 mil"
4101655;"PR";"Arapuã";NA;NA;"Até 5 mil"
4300877;"RS";"Araricá";1;1,01;"Até 5 mil"
3503356;"SP";"Arco-Íris";1;2,63;"Até 5 mil"
2501153;"PB";"Areia de Baraúnas";5;20;"Até 5 mil"
3503505;"SP";"Areias";2;2,04;"Até 5 mil"
5202353;"GO";"Arenópolis";NA;NA;"Até 5 mil"
3104403;"MG";"Argirita";1;2,33;"Até 5 mil"
3104452;"MG";"Aricanduva";3;2,34;"Até 5 mil"
4101853;"PR";"Ariranha do Ivaí";2;5,71;"Até 5 mil"
2200954;"PI";"Aroeiras do Itaim";8;19,51;"Até 5 mil"
2201002;"PI";"Arraial";22;18,49;"Até 5 mil"
4301073;"RS";"Arroio do Padre";2;4,76;"Até 5 mil"
4201604;"SC";"Arroio Trinta";NA;NA;"Até 5 mil"
4201653;"SC";"Arvoredo";NA;NA;"Até 5 mil"
3503950;"SP";"Aspásia";NA;NA;"Até 5 mil"
2501351;"PB";"Assunção";4;5,33;"Até 5 mil"
4102208;"PR";"Atalaia";NA;NA;"Até 5 mil"
4201802;"SC";"Atalanta";NA;NA;"Até 5 mil"
3104809;"MG";"Augusto de Lima";9;10,84;"Até 5 mil"
4301552;"RS";"Áurea";1;1,89;"Até 5 mil"
5202601;"GO";"Aurilândia";1;3,03;"Até 5 mil"
1702703;"TO";"Aurora do Tocantins";2;2,9;"Até 5 mil"
3504305;"SP";"Avaí";2;2,67;"Até 5 mil"
5202809;"GO";"Avelinópolis";NA;NA;"Até 5 mil"
3504701;"SP";"Balbinos";1;5;"Até 5 mil"
5203104;"GO";"Baliza";2;2,63;"Até 5 mil"
3105202;"MG";"Bandeira";7;6,54;"Até 5 mil"
4202081;"SC";"Bandeirante";NA;NA;"Até 5 mil"
1703057;"TO";"Bandeirantes do Tocantins";8;10,81;"Até 5 mil"
1501253;"PA";"Bannach";7;8,64;"Até 5 mil"
3505005;"SP";"Barão de Antonina";NA;NA;"Até 5 mil"
2501534;"PB";"Baraúna";3;4;"Até 5 mil"
2401503;"RN";"Barcelona";25;26,04;"Até 5 mil"
4202099;"SC";"Barra Bonita";3;10;"Até 5 mil"
2201176;"PI";"Barra D'Alcântara";10;12,66;"Até 5 mil"
4301859;"RS";"Barra do Guarita";NA;NA;"Até 5 mil"
4102703;"PR";"Barra do Jacaré";NA;NA;"Até 5 mil"
1703073;"TO";"Barra do Ouro";18;15,38;"Até 5 mil"
4301875;"RS";"Barra do Quaraí";2;2,74;"Até 5 mil"
4301925;"RS";"Barra do Rio Azul";1;3,13;"Até 5 mil"
4301958;"RS";"Barra Funda";NA;NA;"Até 5 mil"
2201309;"PI";"Barreiras do Piauí";24;29,27;"Até 5 mil"
4102752;"PR";"Bela Vista da Caroba";3;4,23;"Até 5 mil"
2201556;"PI";"Bela Vista do Piauí";6;8,96;"Até 5 mil"
2700805;"AL";"Belém";21;21,21;"Até 5 mil"
2201572;"PI";"Belém do Piauí";6;8,7;"Até 5 mil"
3106101;"MG";"Belmiro Braga";2;3,28;"Até 5 mil"
4202156;"SC";"Belmonte";NA;NA;"Até 5 mil"
4302055;"RS";"Benjamin Constant do Sul";1;1,59;"Até 5 mil"
3506201;"SP";"Bento de Abreu";1;2,33;"Até 5 mil"
3106655;"MG";"Berizal";1;1,19;"Até 5 mil"
2502052;"PB";"Bernardino Batista";6;9,23;"Até 5 mil"
1703206;"TO";"Bernardo Sayão";5;5,95;"Até 5 mil"
3106606;"MG";"Bertópolis";18;20,45;"Até 5 mil"
3106804;"MG";"Bias Fortes";1;2,04;"Até 5 mil"
3107000;"MG";"Biquinhas";3;6,98;"Até 5 mil"
4103008;"PR";"Boa Esperança";1;1,47;"Até 5 mil"
4103024;"PR";"Boa Esperança do Iguaçu";NA;NA;"Até 5 mil"
4302154;"RS";"Boa Vista das Missões";1;3,33;"Até 5 mil"
4302220;"RS";"Boa Vista do Cadeado";NA;NA;"Até 5 mil"
4302238;"RS";"Boa Vista do Incra";NA;NA;"Até 5 mil"
4302253;"RS";"Boa Vista do Sul";NA;NA;"Até 5 mil"
2201804;"PI";"Bocaina";9;11,84;"Até 5 mil"
4202438;"SC";"Bocaina do Sul";1;1,52;"Até 5 mil"
2401651;"RN";"Bodó";6;18,18;"Até 5 mil"
4202503;"SC";"Bom Jardim da Serra";4;4,76;"Até 5 mil"
2502201;"PB";"Bom Jesus";4;6,78;"Até 5 mil"
4202537;"SC";"Bom Jesus";NA;NA;"Até 5 mil"
3107604;"MG";"Bom Jesus da Penha";NA;NA;"Até 5 mil"
4202578;"SC";"Bom Jesus do Oeste";2;5,56;"Até 5 mil"
4103156;"PR";"Bom Jesus do Sul";NA;NA;"Até 5 mil"
1703305;"TO";"Bom Jesus do Tocantins";5;5,81;"Até 5 mil"
4302378;"RS";"Bom Progresso";1;2,33;"Até 5 mil"
3507159;"SP";"Bom Sucesso de Itararé";5;5,56;"Até 5 mil"
4103222;"PR";"Bom Sucesso do Sul";NA;NA;"Até 5 mil"
5203575;"GO";"Bonópolis";1;1,49;"Até 5 mil"
3507209;"SP";"Borá";NA;NA;"Até 5 mil"
3507308;"SP";"Boracéia";NA;NA;"Até 5 mil"
3507456;"SP";"Borebi";NA;NA;"Até 5 mil"
4202701;"SC";"Botuverá";2;3,33;"Até 5 mil"
4302584;"RS";"Bozano";NA;NA;"Até 5 mil"
4202859;"SC";"Braço do Trombudo";NA;NA;"Até 5 mil"
4302600;"RS";"Braga";1;1,16;"Até 5 mil"
3108701;"MG";"Brás Pires";3;3,57;"Até 5 mil"
4103370;"PR";"Brasilândia do Sul";1;2,33;"Até 5 mil"
1703602;"TO";"Brasilândia do Tocantins";1;2,7;"Até 5 mil"
5203609;"GO";"Brazabrantes";1;1,82;"Até 5 mil"
3507753;"SP";"Brejo Alegre";1;2,44;"Até 5 mil"
2201988;"PI";"Brejo do Piauí";30;33,71;"Até 5 mil"
4302659;"RS";"Brochier";1;1,61;"Até 5 mil"
4202875;"SC";"Brunópolis";NA;NA;"Até 5 mil"
3109253;"MG";"Bugre";NA;NA;"Até 5 mil"
5203939;"GO";"Buriti de Goiás";NA;NA;"Até 5 mil"
5203962;"GO";"Buritinópolis";NA;NA;"Até 5 mil"
3508207;"SP";"Buritizal";NA;NA;"Até 5 mil"
3508306;"SP";"Cabrália Paulista";1;1,52;"Até 5 mil"
3109600;"MG";"Cachoeira da Prata";1;1,79;"Até 5 mil"
5204201;"GO";"Cachoeira de Goiás";NA;NA;"Até 5 mil"
3109808;"MG";"Cachoeira Dourada";1;2,22;"Até 5 mil"
1703826;"TO";"Cachoeirinha";2;3,08;"Até 5 mil"
2503407;"PB";"Cacimba de Areia";7;10,14;"Até 5 mil"
4303202;"RS";"Cacique Doble";NA;NA;"Até 5 mil"
4103404;"PR";"Cafeara";NA;NA;"Até 5 mil"
4103479;"PR";"Cafezal do Sul";5;8,06;"Até 5 mil"
3508900;"SP";"Caiabu";3;4,48;"Até 5 mil"
3110103;"MG";"Caiana";4;4,12;"Até 5 mil"
4303301;"RS";"Caibaté";NA;NA;"Até 5 mil"
2401909;"RN";"Caiçara do Rio do Vento";13;24,53;"Até 5 mil"
2202075;"PI";"Cajazeiras do Piauí";10;14,93;"Até 5 mil"
2503753;"PB";"Cajazeirinhas";4;6,78;"Até 5 mil"
3110202;"MG";"Cajuri";2;2,7;"Até 5 mil"
5204557;"GO";"Caldazinha";5;8,47;"Até 5 mil"
4203154;"SC";"Calmon";NA;NA;"Até 5 mil"
3110400;"MG";"Camacho";2;3,39;"Até 5 mil"
4303558;"RS";"Camargo";NA;NA;"Até 5 mil"
3110806;"MG";"Campanário";2;2,56;"Até 5 mil"
4303673;"RS";"Campestre da Serra";NA;NA;"Até 5 mil"
5204607;"GO";"Campestre de Goiás";1;1,27;"Até 5 mil"
4103958;"PR";"Campina do Simão";1;0,98;"Até 5 mil"
5204656;"GO";"Campinaçu";4;6,06;"Até 5 mil"
2202117;"PI";"Campo Alegre do Fidalgo";33;27,05;"Até 5 mil"
3111150;"MG";"Campo Azul";NA;NA;"Até 5 mil"
4104055;"PR";"Campo Bonito";1;0,94;"Até 5 mil"
4304101;"RS";"Campos Borges";NA;NA;"Até 5 mil"
3509809;"SP";"Campos Novos Paulista";1;1,16;"Até 5 mil"
3111705;"MG";"Canaã";NA;NA;"Até 5 mil"
5102694;"MT";"Canabrava do Norte";5;4,42;"Até 5 mil"
3509957;"SP";"Canas";2;2,38;"Até 5 mil"
2202251;"PI";"Canavieira";14;17,5;"Até 5 mil"
3510104;"SP";"Cândido Rodrigues";2;7,69;"Até 5 mil"
2801108;"SE";"Canhoba";27;31,76;"Até 5 mil"
3510153;"SP";"Canitar";NA;NA;"Até 5 mil"
3112059;"MG";"Cantagalo";2;2,35;"Até 5 mil"
4304614;"RS";"Canudos do Vale";1;4;"Até 5 mil"
4203253;"SC";"Capão Alto";NA;NA;"Até 5 mil"
4304622;"RS";"Capão Bonito do Sul";3;9,68;"Até 5 mil"
4304655;"RS";"Capão do Cipó";NA;NA;"Até 5 mil"
3112208;"MG";"Capela Nova";NA;NA;"Até 5 mil"
4304697;"RS";"Capitão";3;8,82;"Até 5 mil"
3112653;"MG";"Capitão Andrade";NA;NA;"Até 5 mil"
2202455;"PI";"Capitão Gervásio Oliveira";13;18,06;"Até 5 mil"
4304671;"RS";"Capivari do Sul";1;1,25;"Até 5 mil"
3113107;"MG";"Caranaíba";1;1,72;"Até 5 mil"
2504074;"PB";"Caraúbas";4;7,27;"Até 5 mil"
2202554;"PI";"Caridade do Piauí";17;19,32;"Até 5 mil"
1703867;"TO";"Cariri do Tocantins";5;7,14;"Até 5 mil"
4304853;"RS";"Carlos Gomes";NA;NA;"Até 5 mil"
3113800;"MG";"Carmésia";2;4,26;"Até 5 mil"
1703883;"TO";"Carmolândia";7;14;"Até 5 mil"
3114600;"MG";"Carrancas";NA;NA;"Até 5 mil"
2504108;"PB";"Carrapateira";1;2,94;"Até 5 mil"
1703891;"TO";"Carrasco Bonito";15;16,67;"Até 5 mil"
3114709;"MG";"Carvalhópolis";NA;NA;"Até 5 mil"
3114808;"MG";"Carvalhos";2;2,41;"Até 5 mil"
3114907;"MG";"Casa Grande";NA;NA;"Até 5 mil"
3115003;"MG";"Cascalho Rico";1;2;"Até 5 mil"
1703909;"TO";"Caseara";9;8,18;"Até 5 mil"
4304952;"RS";"Caseiros";NA;NA;"Até 5 mil"
3510906;"SP";"Cássia dos Coqueiros";NA;NA;"Até 5 mil"
1100908;"RO";"Castanheiras";NA;NA;"Até 5 mil"
5205059;"GO";"Castelândia";2;3,64;"Até 5 mil"
3115359;"MG";"Catas Altas";3;3,23;"Até 5 mil"
3115409;"MG";"Catas Altas da Noruega";1;1,64;"Até 5 mil"
2504207;"PB";"Catingueira";15;14,71;"Até 5 mil"
2907400;"BA";"Catolândia";3;5,45;"Até 5 mil"
5205208;"GO";"Caturaí";NA;NA;"Até 5 mil"
2504355;"PB";"Caturité";4;4,44;"Até 5 mil"
4204103;"SC";"Caxambu do Sul";3;4,17;"Até 5 mil"
3115607;"MG";"Cedro do Abaeté";NA;NA;"Até 5 mil"
4204152;"SC";"Celso Ramos";2;4,08;"Até 5 mil"
1704105;"TO";"Centenário";7;10,77;"Até 5 mil"
4305116;"RS";"Centenário";NA;NA;"Até 5 mil"
4305132;"RS";"Cerro Branco";1;1,69;"Até 5 mil"
4305157;"RS";"Cerro Grande";NA;NA;"Até 5 mil"
4204178;"SC";"Cerro Negro";4;6,06;"Até 5 mil"
3115904;"MG";"Chácara";1;2;"Até 5 mil"
1705102;"TO";"Chapada da Natividade";3;4,17;"Até 5 mil"
1704600;"TO";"Chapada de Areia";4;16;"Até 5 mil"
4204194;"SC";"Chapadão do Lageado";1;2,13;"Até 5 mil"
4305371;"RS";"Charrua";1;1,16;"Até 5 mil"
3116209;"MG";"Chiador";2;4,88;"Até 5 mil"
4305405;"RS";"Chiapetta";3;4,55;"Até 5 mil"
4305447;"RS";"Chuvisca";NA;NA;"Até 5 mil"
4305504;"RS";"Ciríaco";NA;NA;"Até 5 mil"
3116407;"MG";"Claraval";1;1,27;"Até 5 mil"
2202711;"PI";"Cocal de Telha";10;10,2;"Até 5 mil"
2202737;"PI";"Coivaras";10;15,15;"Até 5 mil"
4305587;"RS";"Colinas";NA;NA;"Até 5 mil"
5205521;"GO";"Colinas do Sul";3;4,41;"Até 5 mil"
4305603;"RS";"Colorado";NA;NA;"Até 5 mil"
1705557;"TO";"Combinado";3;3,19;"Até 5 mil"
3116902;"MG";"Comendador Gomes";3;6,82;"Até 5 mil"
3115201;"MG";"Conceição da Barra de Minas";1;1,28;"Até 5 mil"
3117207;"MG";"Conceição das Pedras";NA;NA;"Até 5 mil"
3117405;"MG";"Conceição de Ipanema";NA;NA;"Até 5 mil"
2202802;"PI";"Conceição do Canindé";22;22,45;"Até 5 mil"
1705607;"TO";"Conceição do Tocantins";17;14,53;"Até 5 mil"
2504702;"PB";"Congo";21;22,83;"Até 5 mil"
3118106;"MG";"Congonhas do Norte";11;9,4;"Até 5 mil"
5103361;"MT";"Conquista D'Oeste";3;4,55;"Até 5 mil"
4106100;"PR";"Conselheiro Mairinck";1;1,75;"Até 5 mil"
3118502;"MG";"Consolação";NA;NA;"Até 5 mil"
2908804;"BA";"Contendas do Sincorá";7;7,29;"Até 5 mil"
4305835;"RS";"Coqueiro Baixo";NA;NA;"Até 5 mil"
4305850;"RS";"Coqueiros do Sul";1;2,38;"Até 5 mil"
4204350;"SC";"Cordilheira Alta";NA;NA;"Até 5 mil"
3119005;"MG";"Cordislândia";3;4,84;"Até 5 mil"
5003108;"MS";"Corguinho";8;8,89;"Até 5 mil"
4305871;"RS";"Coronel Barros";NA;NA;"Até 5 mil"
2402907;"RN";"Coronel João Pessoa";35;29,17;"Até 5 mil"
2202851;"PI";"Coronel José Dias";13;15,66;"Até 5 mil"
4204459;"SC";"Coronel Martins";1;2,04;"Até 5 mil"
3119609;"MG";"Coronel Pacheco";2;4,65;"Até 5 mil"
4305934;"RS";"Coronel Pilar";NA;NA;"Até 5 mil"
3119708;"MG";"Coronel Xavier Chaves";1;2,5;"Até 5 mil"
3119807;"MG";"Córrego Danta";1;2,13;"Até 5 mil"
3119906;"MG";"Córrego do Bom Jesus";1;1,49;"Até 5 mil"
5205703;"GO";"Córrego do Ouro";3;5,66;"Até 5 mil"
3120003;"MG";"Córrego Novo";1;2,13;"Até 5 mil"
3512704;"SP";"Corumbataí";2;2,94;"Até 5 mil"
4106555;"PR";"Corumbataí do Sul";3;4,55;"Até 5 mil"
4305959;"RS";"Cotiporã";NA;NA;"Até 5 mil"
3120102;"MG";"Couto de Magalhães de Minas";NA;NA;"Até 5 mil"
4305975;"RS";"Coxilha";1;2,08;"Até 5 mil"
2504850;"PB";"Coxixola";NA;NA;"Até 5 mil"
4306072;"RS";"Cristal do Sul";1;1,79;"Até 5 mil"
5206305;"GO";"Cristianópolis";2;4,26;"Até 5 mil"
1706258;"TO";"Crixás do Tocantins";3;8,11;"Até 5 mil"
5206503;"GO";"Cromínia";NA;NA;"Até 5 mil"
3120607;"MG";"Crucilândia";2;2,82;"Até 5 mil"
3513306;"SP";"Cruzália";NA;NA;"Até 5 mil"
4306130;"RS";"Cruzaltense";NA;NA;"Até 5 mil"
3120706;"MG";"Cruzeiro da Fortaleza";NA;NA;"Até 5 mil"
4106571;"PR";"Cruzeiro do Iguaçu";NA;NA;"Até 5 mil"
4106704;"PR";"Cruzeiro do Sul";NA;NA;"Até 5 mil"
4106852;"PR";"Cruzmaltina";NA;NA;"Até 5 mil"
5206602;"GO";"Cumari";1;2,04;"Até 5 mil"
2801900;"SE";"Cumbe";3;4;"Até 5 mil"
4204756;"SC";"Cunhataí";1;2,86;"Até 5 mil"
3120839;"MG";"Cuparaque";2;2,08;"Até 5 mil"
2203230;"PI";"Currais";31;30,69;"Até 5 mil"
2203271;"PI";"Curral Novo do Piauí";29;22,14;"Até 5 mil"
2505303;"PB";"Curral Velho";8;14,81;"Até 5 mil"
2203255;"PI";"Curralinhos";18;20,69;"Até 5 mil"
5103437;"MT";"Curvelândia";6;5,66;"Até 5 mil"
1600212;"AP";"Cutias";11;8,46;"Até 5 mil"
5206701;"GO";"Damianópolis";NA;NA;"Até 5 mil"
2505352;"PB";"Damião";20;20;"Até 5 mil"
5206800;"GO";"Damolândia";1;2,63;"Até 5 mil"
4306304;"RS";"David Canabarro";1;1,43;"Até 5 mil"
5206909;"GO";"Davinópolis";NA;NA;"Até 5 mil"
4306320;"RS";"Derrubadas";NA;NA;"Até 5 mil"
3121308;"MG";"Descoberto";NA;NA;"Até 5 mil"
3121506;"MG";"Desterro do Melo";NA;NA;"Até 5 mil"
4306353;"RS";"Dezesseis de Novembro";1;2,33;"Até 5 mil"
4107124;"PR";"Diamante do Sul";NA;NA;"Até 5 mil"
4306379;"RS";"Dilermando de Aguiar";NA;NA;"Até 5 mil"
3121704;"MG";"Diogo de Vasconcelos";1;1,47;"Até 5 mil"
5207105;"GO";"Diorama";NA;NA;"Até 5 mil"
3513850;"SP";"Dirce Reis";1;5,56;"Até 5 mil"
2802007;"SE";"Divina Pastora";15;11,81;"Até 5 mil"
3121902;"MG";"Divinésia";1;2,56;"Até 5 mil"
3122108;"MG";"Divino das Laranjeiras";1;1;"Até 5 mil"
3201803;"ES";"Divino de São Lourenço";1;1,14;"Até 5 mil"
5208301;"GO";"Divinópolis de Goiás";NA;NA;"Até 5 mil"
4306429;"RS";"Dois Irmãos das Missões";3;7,5;"Até 5 mil"
4306452;"RS";"Dois Lajeados";NA;NA;"Até 5 mil"
3514205;"SP";"Dolcinópolis";NA;NA;"Até 5 mil"
3122470;"MG";"Dom Bosco";3;4,23;"Até 5 mil"
3122603;"MG";"Dom Joaquim";2;2,41;"Até 5 mil"
2910206;"BA";"Dom Macedo Costa";8;9,76;"Até 5 mil"
4306551;"RS";"Dom Pedro de Alcântara";NA;NA;"Até 5 mil"
3122801;"MG";"Dom Viçoso";NA;NA;"Até 5 mil"
2203420;"PI";"Domingos Mourão";6;5,45;"Até 5 mil"
4205100;"SC";"Dona Emma";1;1,64;"Até 5 mil"
4306700;"RS";"Dona Francisca";NA;NA;"Até 5 mil"
3123304;"MG";"Dores do Turvo";NA;NA;"Até 5 mil"
3123403;"MG";"Doresópolis";NA;NA;"Até 5 mil"
3123502;"MG";"Douradoquara";1;5,26;"Até 5 mil"
4205159;"SC";"Doutor Pedrinho";NA;NA;"Até 5 mil"
4306759;"RS";"Doutor Ricardo";1;3,03;"Até 5 mil"
2505808;"PB";"Duas Estradas";7;11,86;"Até 5 mil"
1707306;"TO";"Dueré";7;7,87;"Até 5 mil"
5207352;"GO";"Edealina";2;2,86;"Até 5 mil"
2203602;"PI";"Eliseu Martins";2;2,11;"Até 5 mil"
3514924;"SP";"Elisiário";NA;NA;"Até 5 mil"
2505907;"PB";"Emas";10;14,29;"Até 5 mil"
3514957;"SP";"Embaúba";NA;NA;"Até 5 mil"
3515129;"SP";"Emilianópolis";NA;NA;"Até 5 mil"
4306924;"RS";"Engenho Velho";NA;NA;"Até 5 mil"
4205175;"SC";"Entre Rios";1;1,39;"Até 5 mil"
4107538;"PR";"Entre Rios do Oeste";NA;NA;"Até 5 mil"
4306957;"RS";"Entre Rios do Sul";1;1,67;"Até 5 mil"
4306973;"RS";"Erebango";1;1,75;"Até 5 mil"
4205191;"SC";"Ermo";NA;NA;"Até 5 mil"
4307054;"RS";"Ernestina";1;1,96;"Até 5 mil"
4205209;"SC";"Erval Velho";1;1,47;"Até 5 mil"
4307401;"RS";"Esmeralda";3;4,69;"Até 5 mil"
4307450;"RS";"Esperança do Sul";2;3,7;"Até 5 mil"
4107520;"PR";"Esperança Nova";NA;NA;"Até 5 mil"
4107546;"PR";"Espigão Alto do Iguaçu";1;1,08;"Até 5 mil"
3124401;"MG";"Espírito Santo do Dourado";NA;NA;"Até 5 mil"
3515194;"SP";"Espírito Santo do Turvo";3;3,8;"Até 5 mil"
3124609;"MG";"Estrela Dalva";1;3,03;"Até 5 mil"
3124708;"MG";"Estrela do Indaiá";1;1,79;"Até 5 mil"
3515301;"SP";"Estrela do Norte";1;2,27;"Até 5 mil"
5207501;"GO";"Estrela do Norte";2;3,33;"Até 5 mil"
4307815;"RS";"Estrela Velha";1;1,92;"Até 5 mil"
4307831;"RS";"Eugênio de Castro";1;2,63;"Até 5 mil"
3125002;"MG";"Ewbank da Câmara";1;1,56;"Até 5 mil"
4307864;"RS";"Fagundes Varela";NA;NA;"Até 5 mil"
3125200;"MG";"Fama";1;2,78;"Até 5 mil"
3125309;"MG";"Faria Lemos";1;1,69;"Até 5 mil"
4107553;"PR";"Farol";NA;NA;"Até 5 mil"
1707553;"TO";"Fátima";4;4,21;"Até 5 mil"
4308052;"RS";"Faxinalzinho";NA;NA;"Até 5 mil"
4308078;"RS";"Fazenda Vilanova";NA;NA;"Até 5 mil"
2702702;"AL";"Feliz Deserto";12;14,12;"Até 5 mil"
4107702;"PR";"Fênix";3;4,11;"Até 5 mil"
3125804;"MG";"Fernandes Tourinho";1;1,69;"Até 5 mil"
2605459;"PE";"Fernando de Noronha";1;2,5;"Até 5 mil"
2403756;"RN";"Fernando Pedroza";10;19,23;"Até 5 mil"
3515657;"SP";"Fernão";NA;NA;"Até 5 mil"
5003900;"MS";"Figueirão";1;2,44;"Até 5 mil"
5103809;"MT";"Figueirópolis D'Oeste";3;5;"Até 5 mil"
4107850;"PR";"Flor da Serra do Sul";NA;NA;"Até 5 mil"
4205357;"SC";"Flor do Sertão";NA;NA;"Até 5 mil"
3515806;"SP";"Flora Rica";NA;NA;"Até 5 mil"
3515905;"SP";"Floreal";NA;NA;"Até 5 mil"
2203800;"PI";"Flores do Piauí";15;17,65;"Até 5 mil"
2203859;"PI";"Floresta do Piauí";11;19,64;"Até 5 mil"
4308250;"RS";"Floriano Peixoto";NA;NA;"Até 5 mil"
4108106;"PR";"Flórida";1;3,13;"Até 5 mil"
3516101;"SP";"Florínia";1;2,56;"Até 5 mil"
4205431;"SC";"Formosa do Sul";3;5,26;"Até 5 mil"
5208103;"GO";"Formoso";1;1,33;"Até 5 mil"
4308433;"RS";"Forquetinha";NA;NA;"Até 5 mil"
3126307;"MG";"Fortaleza de Minas";NA;NA;"Até 5 mil"
1708254;"TO";"Fortaleza do Tabocão";2;4,35;"Até 5 mil"
4308458;"RS";"Fortaleza dos Valos";1;1,39;"Até 5 mil"
3126406;"MG";"Fortuna de Minas";NA;NA;"Até 5 mil"
2204105;"PI";"Francisco Ayres";18;23,38;"Até 5 mil"
2403905;"RN";"Francisco Dantas";11;26,19;"Até 5 mil"
3126604;"MG";"Francisco Dumont";8;7,34;"Até 5 mil"
2204154;"PI";"Francisco Macedo";9;16,36;"Até 5 mil"
3126950;"MG";"Frei Lagonegro";2;3,39;"Até 5 mil"
2506202;"PB";"Frei Martinho";1;2,17;"Até 5 mil"
4205555;"SC";"Frei Rogério";NA;NA;"Até 5 mil"
3127057;"MG";"Fronteira dos Vales";5;5,05;"Até 5 mil"
2404002;"RN";"Frutuoso Gomes";8;12,9;"Até 5 mil"
3127206;"MG";"Funilândia";1;1,37;"Até 5 mil"
3516507;"SP";"Gabriel Monteiro";NA;NA;"Até 5 mil"
2404101;"RN";"Galinhos";8;16,33;"Até 5 mil"
4205605;"SC";"Galvão";2;3,64;"Até 5 mil"
5208152;"GO";"Gameleira de Goiás";1;1,59;"Até 5 mil"
