"Codigo";"UF";"Municipio";"PopTotal";"Urbana";"Rural";"Homem";"Mulher";"H.M";"Classe";"Pop15";"Taxa";"Pop15.24";"Taxa15.24";"Pop25.39";"Taxa25.39";"Pop40.59";"Taxa40.59";"Pop60.";"Taxa60.";"TotalDomPartPerm";"Adequado";"Semi.Adequado";"Inadequado";"ValMedio";"Q2";"Mediana";"Q3";"MediaHomens";"MediaMulheres";"MedianaHomens";"MedianaMulheres";"mediaH.M";"medianaH.M";"Branca";"Preta";"Parda";"Amarela";"Indigena";"TotalIndq";"Ate70R.Indq";"Ate1.4Indq";"Ate1.2Indq";"Ate60.Indq";"Total10";"Taxa10";"Microrregiao";"Mesorregiao";"RGI";"RGInt"
3303856;"RJ";"Paty do Alferes";26359;70,51;29,49;48,62;51,38;94,6282600233554;"De 20 a 50 mil";667;6,74;17;0,8;96;3,06;222;6,99;332;22,72;8002;43,75;46,98;9,27;432;170;299;503;864;682;510;510;1,27;1;965;600;642;757;876;2521;7,81;28,56;63,78;53,67;17;3,39;"Vassouras";"Metropolitana do Rio de Janeiro";"Valença";"Volta Redonda - Barra Mansa"
3303906;"RJ";"Petrópolis";295917;95,06;4,94;47,65;52,35;91,0219675262655;"De 100 a 500 mil";5847;5,68;449;1,82;858;2,55;1979;6,24;2561;19,74;96319;52,04;47,68;0,28;766;264;475;770;1456;1060;800;600;1,37;1,33;1497;739;858;1137;1347;782;8,06;23,15;52,94;43,86;90;1,87;"Serrana";"Metropolitana do Rio de Janeiro";"Petrópolis";"Petrópolis"
3303955;"RJ";"Pinheiral";22719;89,84;10,16;48,57;51,43;94,4390433599067;"De 20 a 50 mil";1359;8,84;47;1,32;171;3,74;529;10,68;612;26,94;7105;83,15;15,96;0,89;561;225;383;650;1199;758;800;510;1,58;1,57;1133;785;914;1070;707;190;5,79;20;56,84;51,05;17;4,19;"Vale do Paraíba Fluminense";"Sul Fluminense";"Volta Redonda - Barra Mansa";"Volta Redonda - Barra Mansa"
3304003;"RJ";"Piraí";26314;79,18;20,82;49,09;50,91;96,4250638381458;"De 20 a 50 mil";3938;4,21;163;0,82;535;1,77;1316;4,36;1924;14,57;7948;71,5;24,61;3,89;567;233;390;643;1145;822;700;510;1,39;1,37;1232;723;829;768;713;1020;2,45;17,35;54,12;40,88;12;2,39;"Vale do Paraíba Fluminense";"Sul Fluminense";"Volta Redonda - Barra Mansa";"Volta Redonda - Barra Mansa"
3304102;"RJ";"Porciúncula";17760;78,21;21,79;49,97;50,03;99,8800719568259;"De 10 a 20 mil";3423;7,89;101;1,1;475;3,45;1296;9,4;1551;23,36;5721;69,46;14,98;15,56;540;170;340;592;1030;835;510;510;1,23;1;1243;618;719;1007;1318;2177;12,22;36,79;69,5;60,91;11;3,77;"Itaperuna";"Noroeste Fluminense";"Itaperuna";"Campos dos Goytacazes"
3304110;"RJ";"Porto Real";16592;99,43;0,57;49,67;50,33;98,6886548778065;"De 10 a 20 mil";1366;10,23;37;1,4;182;4,4;504;11,44;643;29,6;4959;90,14;9,34;0,52;534;242;390;625;1121;746;800;510;1,5;1,57;1158;779;842;995;762;80;NA;16,25;52,5;45;9;2,9;"Vale do Paraíba Fluminense";"Sul Fluminense";"Resende";"Volta Redonda - Barra Mansa"
3304128;"RJ";"Quatis";12793;94,03;5,97;48,76;51,24;95,160031225605;"De 10 a 20 mil";566;8,65;14;0,97;58;3,01;188;9;306;28,18;4010;73,89;20,92;5,19;516;213;370;605;1053;753;720;510;1,4;1,41;1101;712;774;606;892;672;2,98;25,3;61,31;48,81;5;2,07;"Vale do Paraíba Fluminense";"Sul Fluminense";"Resende";"Volta Redonda - Barra Mansa"
3304144;"RJ";"Queimados";137962;100;NA;48,26;51,74;93,2740626207963;"De 100 a 500 mil";3009;3,73;118;0,69;536;1,85;1176;4,64;1179;12,82;42209;70,69;27,7;1,6;432;186;325;510;962;700;700;510;1,38;1,37;948;752;806;787;958;2020;12,48;31,39;65,2;56,19;182;6,8;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3304151;"RJ";"Quissamã";20242;64,2;35,8;49,61;50,39;98,4520738241715;"De 20 a 50 mil";147549;2,9;10463;1,08;25857;1,67;49710;3,04;61519;6,54;6228;69,2;27,26;3,53;512;193;328;543;1074;775;650;510;1,39;1,27;1137;817;842;759;664;624;5,13;14,1;52,08;39,9;8;2,14;"Macaé";"Norte Fluminense";"Macaé - Rio das Ostras";"Macaé - Rio das Ostras - Cabo Frio"
3304201;"RJ";"Resende";119769;93,79;6,21;48,65;51,35;94,7419668938656;"De 100 a 500 mil";1074;13,36;24;1,48;143;6,56;416;15,48;491;31,74;38744;92,6;6,9;0,5;784;270;500;850;1607;1062;1000;600;1,51;1,67;1698;923;1008;1744;1219;593;0,34;30,69;67,62;60,2;45;2,28;"Vale do Paraíba Fluminense";"Sul Fluminense";"Resende";"Volta Redonda - Barra Mansa"
3304300;"RJ";"Rio Bonito";55551;74,27;25,73;49,18;50,82;96,7729240456513;"De 50 a 100 mil";2985;9,25;72;1,13;318;3,4;1018;9,73;1577;25,87;17171;48,77;45,68;5,56;563;224;375;605;1122;826;650;510;1,36;1,27;1283;660;787;941;1039;3086;5,22;24,66;61,73;50;24;2,22;"Macacu-Caceribu";"Metropolitana do Rio de Janeiro";"Rio Bonito";"Rio de Janeiro"
3304409;"RJ";"Rio Claro";17425;79,02;20,98;50,32;49,68;101,288244766506;"De 10 a 20 mil";5896;18,75;233;3,24;1054;11,21;2375;24,21;2234;44,3;5498;50,73;40,67;8,6;541;216;383;625;1096;759;750;510;1,44;1,47;1081;707;805;860;1215;1490;1,54;22,48;58,39;47,05;8;2,58;"Vale do Paraíba Fluminense";"Sul Fluminense";"Volta Redonda - Barra Mansa";"Volta Redonda - Barra Mansa"
3304508;"RJ";"Rio das Flores";8561;69,61;30,39;49,19;50,81;96,811651249754;"De 5 a 10 mil";3058;10,23;84;1,42;362;4,35;1051;10,89;1561;26;2505;62,71;31,18;6,11;561;190;306;510;1217;710;510;510;1,71;1;1484;564;642;831;300;497;3,42;15,09;50,3;37,83;5;3,13;"Barra do Piraí";"Sul Fluminense";"Valença";"Volta Redonda - Barra Mansa"
3304524;"RJ";"Rio das Ostras";105676;94,54;5,46;49,4;50,6;97,6284584980237;"De 100 a 500 mil";28381;3,58;1397;0,88;3400;1,35;9268;3,53;14316;11,9;34666;55,87;43,85;0,28;871;290;510;1000;1843;1188;1000;700;1,55;1,43;1845;1146;1289;1386;1781;291;12,03;36,77;59,45;48,8;51;2,68;"Bacia de São João";"Baixadas";"Macaé - Rio das Ostras";"Macaé - Rio das Ostras - Cabo Frio"
3304557;"RJ";"Rio de Janeiro";6320446;100;NA;46,83;53,17;88,0759826970096;"Acima de 500 mil";2534;9,84;131;2,35;443;5,93;962;11,57;998;22,75;2144445;93,48;6,48;0,04;1204;300;563;1250;2288;1698;1000;800;1,35;1,25;2663;1142;1249;1778;1861;2665;11,86;29,16;63,86;54,11;3241;3,34;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3304607;"RJ";"Santa Maria Madalena";10321;57,48;42,52;51,11;48,89;104,540805890775;"De 10 a 20 mil";11982;3,38;801;1,05;1589;1,45;3715;3,2;5877;11,29;3462;40,58;46,13;13,29;491;192;340;540;893;750;510;510;1,19;1;1012;571;677;631;443;1395;4,59;23,8;60,93;48,75;8;3,92;"Santa Maria Madalena";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3304706;"RJ";"Santo Antônio de Pádua";40589;76,62;23,38;49,18;50,82;96,7729240456513;"De 20 a 50 mil";823;14,71;20;1,81;119;7,02;318;17,52;366;37,46;13514;73,18;18,7;8,12;547;204;340;553;1037;796;510;510;1,3;1;1129;610;705;764;1156;3224;1,77;20,78;56,73;43,7;6;0,92;"Santo Antônio de Pádua";"Noroeste Fluminense";"Santo Antônio de Pádua";"Campos dos Goytacazes"
3304755;"RJ";"São Francisco de Itabapoana";41354;51;49;50,32;49,68;101,288244766506;"De 20 a 50 mil";1572;10,12;43;1,24;244;5,05;609;12,17;676;30,41;13497;3,25;78,6;18,15;338;128;251;407;742;556;510;510;1,33;1;744;562;603;863;967;6479;11,39;33,62;69,69;57,83;56;7,21;"Campos dos Goytacazes";"Norte Fluminense";"Campos dos Goytacazes";"Campos dos Goytacazes"
3304805;"RJ";"São Fidélis";37543;79,05;20,95;48,99;51,01;96,0399921584003;"De 20 a 50 mil";4110;6,17;177;1,24;590;2,76;1600;7,45;1743;18,43;12809;69,51;16,92;13,57;496;204;340;524;924;758;510;510;1,22;1;947;638;717;847;753;4888;6,14;21,34;57,02;45,21;15;2,37;"Campos dos Goytacazes";"Norte Fluminense";"Campos dos Goytacazes";"Campos dos Goytacazes"
3304904;"RJ";"São Gonçalo";999728;99,93;0,07;47,54;52,46;90,6214258482653;"Acima de 500 mil";1019;14,49;36;2,67;115;5,67;383;16,32;485;37,02;325882;68,04;29,85;2,11;572;255;425;674;1162;822;800;510;1,41;1,57;1134;874;910;991;1539;20354;3,72;18,02;51,3;40,12;430;2,51;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3305000;"RJ";"São João da Barra";32747;78,46;21,54;49,56;50,44;98,2553528945282;"De 20 a 50 mil";1384;10,15;63;2,22;221;5,66;490;10,64;610;26,61;10629;33,63;60,6;5,77;485;188;310;510;990;721;600;510;1,37;1,18;906;739;836;1029;588;1754;5,3;22,35;56,9;44,7;26;4,81;"Campos dos Goytacazes";"Norte Fluminense";"Campos dos Goytacazes";"Campos dos Goytacazes"
3305109;"RJ";"São João de Meriti";458673;100;NA;47,55;52,45;90,6577693040991;"De 100 a 500 mil";3613;6,26;141;1,15;454;2,68;1401;7,47;1617;16,61;147450;87,42;12,36;0,23;515;240;388;623;1073;767;800;510;1,4;1,57;1048;843;878;876;964;1107;7,14;22,49;61,79;52,03;336;3,98;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3305133;"RJ";"São José de Ubá";7003;44,24;55,76;49,95;50,05;99,8001998001998;"De 5 a 10 mil";3521;5,9;189;1,3;512;2,78;1176;6,28;1644;20,51;2285;43,89;43,85;12,25;389;150;255;489;728;629;510;510;1,16;1;845;551;545;1290;370;783;1,66;27,59;68,33;53,77;1;1,08;"Santo Antônio de Pádua";"Noroeste Fluminense";"Itaperuna";"Campos dos Goytacazes"
3305158;"RJ";"São José do Vale do Rio Preto";20251;44,48;55,52;50,1;49,9;100,400801603206;"De 20 a 50 mil";2107;13,25;63;1,75;330;6,6;807;16,43;907;37,76;6501;26,15;71,1;2,75;437;184;318;510;871;625;600;510;1,39;1,18;837;582;600;1985;708;596;8,05;21,81;62,08;50,67;4;1,05;"Serrana";"Metropolitana do Rio de Janeiro";"Petrópolis";"Petrópolis"
3305208;"RJ";"São Pedro da Aldeia";87875;93,48;6,52;49,42;50,58;97,7066034005536;"De 50 a 100 mil";1861;16;48;1,8;355;9,72;827;22,08;631;40,09;27743;76,22;21,84;1,95;630;224;400;690;1351;917;800;510;1,47;1,57;1365;866;1014;988;1047;1714;10,04;28,06;61,84;53,5;55;3,31;"Lagos";"Baixadas";"Cabo Frio";"Macaé - Rio das Ostras - Cabo Frio"
3305307;"RJ";"São Sebastião do Alto";8895;51,85;48,15;50,22;49,78;100,883889112093;"De 5 a 10 mil";2090;8,92;64;1,24;284;3,67;724;10,05;1018;30,66;2757;38,85;31,66;29,49;403;166;255;510;734;697;510;510;1,05;1;874;534;561;453;515;2609;5,44;26,26;67,65;56,31;6;3,9;"Santa Maria Madalena";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3305406;"RJ";"Sapucaia";17525;75,74;24,26;50,02;49,98;100,080032012805;"De 10 a 20 mil";8272;6,48;246;0,91;1054;2,79;3118;7,54;3854;17,86;5559;61,76;23,69;14,55;517;200;352;590;1002;784;650;510;1,28;1,27;1040;687;778;833;NA;2429;17,04;45,12;76,78;69,04;17;5,31;"Três Rios";"Centro Fluminense";"Três Rios - Paraíba do Sul";"Petrópolis"
3305505;"RJ";"Saquarema";74234;94,91;5,09;49,65;50,35;98,609731876862;"De 50 a 100 mil";1170;14,54;31;1,91;204;9,07;457;17,13;478;31,72;23103;25,41;70,57;4,02;566;220;350;594;1145;870;700;510;1,32;1,37;1226;743;828;934;1025;2951;6,44;21,72;57,61;47,81;24;1,74;"Lagos";"Baixadas";"Rio de Janeiro";"Rio de Janeiro"
3305554;"RJ";"Seropédica";78186;82,22;17,78;49,16;50,84;96,6955153422502;"De 50 a 100 mil";3311;5,47;156;1,23;401;2,26;1121;5,57;1633;16,4;24256;61,95;35,56;2,49;528;204;358;600;1111;803;800;510;1,38;1,57;1147;842;869;862;828;1888;5,46;19,92;48,36;40,89;52;3,6;"Itaguaí";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3305604;"RJ";"Silva Jardim";21349;75,51;24,49;50,63;49,37;102,552157180474;"De 20 a 50 mil";3397;6;134;1,17;370;2,4;1065;5,67;1828;16,8;6713;33,32;58,19;8,49;439;170;293;510;921;672;580;510;1,37;1,14;1000;640;721;695;376;1507;3,32;24,42;63,84;53,88;35;7,16;"Bacia de São João";"Baixadas";"Rio Bonito";"Rio de Janeiro"
3305703;"RJ";"Sumidouro";14900;36,51;63,49;51,36;48,64;105,592105263158;"De 10 a 20 mil";818;11,6;21;1,27;137;6,04;339;15,61;321;33,37;5073;16,72;69,21;14,07;442;167;300;510;785;634;510;510;1,24;1;771;523;651;776;863;1947;8,89;24,91;61,79;49,97;5;2,3;"Nova Friburgo";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3305752;"RJ";"Tanguá";30732;89,25;10,75;49,75;50,25;99,0049751243781;"De 20 a 50 mil";2070;7,68;83;1,41;256;3,3;696;8,06;1035;21,97;9658;25,54;68,58;5,88;404;175;300;510;829;630;600;510;1,32;1,18;891;648;683;710;1107;1623;6,9;17,68;49,29;40,23;18;3,28;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3305802;"RJ";"Teresópolis";163746;89,29;10,71;47,8;52,2;91,5708812260536;"De 100 a 500 mil";6834;3,3;263;0,63;680;1,13;2235;3,09;3656;11,21;53782;56,09;41,6;2,31;723;255;416;702;1394;1046;765;510;1,33;1,5;1453;737;826;1346;1056;4170;3,76;16;49,4;38,15;68;2,31;"Serrana";"Metropolitana do Rio de Janeiro";"Petrópolis";"Petrópolis"
3305901;"RJ";"Trajano de Moraes";10289;46,46;53,54;51,1;48,9;104,498977505112;"De 10 a 20 mil";1777;6,35;44;0,81;137;1,89;353;3,77;1243;20,95;3283;21,5;51,81;26,68;481;170;315;510;849;776;510;510;1,09;1;968;545;665;627;365;2654;9,27;27,17;56,82;48,64;6;3,39;"Santa Maria Madalena";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3306008;"RJ";"Três Rios";77432;97,07;2,93;47,8;52,2;91,5708812260536;"De 50 a 100 mil";234;8,13;5;0,9;18;2,4;55;5,47;156;27,61;24108;80,4;18,34;1,25;622;242;400;667;1181;918;700;510;1,29;1,37;1365;723;837;804;949;1138;2,9;21,35;59,75;49,38;44;3,41;"Três Rios";"Centro Fluminense";"Três Rios - Paraíba do Sul";"Petrópolis"
3306107;"RJ";"Valença";71843;86,61;13,39;47,95;52,05;92,1229586935639;"De 50 a 100 mil";1925;7,73;119;2,07;413;5,32;664;8,73;729;19,3;23132;66,2;29,7;4,1;587;216;378;630;1096;883;600;510;1,24;1,18;1244;666;752;857;960;2861;2,41;24,22;59,84;49,95;34;2,93;"Barra do Piraí";"Sul Fluminense";"Valença";"Volta Redonda - Barra Mansa"
3306156;"RJ";"Varre-Sai";9475;61,11;38,89;50,2;49,8;100,803212851406;"De 5 a 10 mil";378;6,08;7;0,6;45;2,86;94;4,56;232;16,52;2852;44,67;31,84;23,49;386;170;262;473;771;651;510;510;1,18;1;794;534;634;502;NA;2440;4,26;31,72;67,91;60,41;2;1,02;"Itaperuna";"Noroeste Fluminense";"Itaperuna";"Campos dos Goytacazes"
3306206;"RJ";"Vassouras";34410;67,42;32,58;47,63;52,37;90,9490166125645;"De 20 a 50 mil";825;5,96;26;0,97;83;2;256;5,79;460;17,58;11049;62,01;35,89;2,1;609;204;375;630;1146;928;600;510;1,23;1,18;1370;672;811;824;764;781;14,47;37,77;71,96;63,38;32;5,42;"Vassouras";"Metropolitana do Rio de Janeiro";"Valença";"Volta Redonda - Barra Mansa"
3306305;"RJ";"Volta Redonda";257803;99,95;0,05;47,68;52,32;91,131498470948;"De 100 a 500 mil";223;5,14;11;1,3;39;3,14;75;5,31;98;11,74;84307;95,62;4,25;0,13;781;300;510;900;1595;1024;1000;600;1,56;1,67;1606;945;1044;1367;1027;297;2,69;20,88;56,57;45,12;53;1,32;"Vale do Paraíba Fluminense";"Sul Fluminense";"Volta Redonda - Barra Mansa";"Volta Redonda - Barra Mansa"
